Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
1,15:56:03,9,shade,young,10,41.0,0,1.53,0.041,315,1.56,3.67,33.14,6,1.42,1,2.84,30.52,33.14,29.94,400.26,397.04,12.105,14.405,27.17,32.34,400.1,1999,9,98.57,8.29,-0.0494,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
2,15:58:22,9,shade,young,10,210.5,0,-0.393,0.0419,110,1.54,3.54,32.69,6,1.42,1,2.84,30.52,32.69,29.94,100.76,101.11,12.133,14.404,27.24,32.34,400.1,2000,9,98.56,6.26,-0.0483,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
3,16:00:21,9,shade,young,10,330.0,0,-0.699,0.0439,70.1,1.57,3.48,32.46,6,1.42,1,2.84,30.53,32.46,29.94,46.82,47.76,12.136,14.463,27.23,32.45,400.1,2000,9,98.56,5.61,-0.0548,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,16:02:20,9,shade,young,10,448.5,0,-0.316,0.0461,105,1.65,3.47,32.47,6,1.42,1,2.84,30.53,32.47,29.94,99.40,99.63,12.149,14.585,27.27,32.73,400.1,2000,9,98.55,6.16,-0.0562,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,16:04:19,9,shade,young,10,567.5,0,-0.0131,0.0461,141,1.74,3.66,33.20,6,1.42,1,2.84,30.56,33.20,29.94,149.95,149.58,12.162,14.734,27.24,33.01,400.1,2000,8,98.55,6.79,-0.0628,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,16:06:18,9,shade,young,10,686.5,0,0.762,0.0491,210,1.74,3.45,32.47,6,1.42,1,2.84,30.54,32.47,29.95,250.65,248.85,12.176,14.754,27.30,33.08,400.1,2000,9,98.54,7.51,-0.0574,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,16:08:17,9,shade,young,10,805.5,0,1.32,0.0457,282,1.72,3.65,33.16,6,1.42,1,2.84,30.54,33.16,29.94,350.54,347.66,12.204,14.745,27.36,33.06,400.1,2000,8,98.54,8.06,-0.057,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,16:10:16,9,shade,young,10,924.5,0,2.5,0.0433,422,1.64,3.65,33.16,6,1.42,1,2.84,30.52,33.16,29.94,550.47,545.38,12.233,14.654,27.46,32.89,400.1,2001,7,98.53,8.56,-0.0544,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,16:12:16,9,shade,young,10,1045.0,0,3.52,0.0414,565,1.57,3.66,33.16,6,1.42,1,2.84,30.53,33.16,29.94,750.17,743.14,12.266,14.584,27.52,32.72,400.1,2000,7,98.53,8.09,-0.0531,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,16:14:30,9,shade,young,10,1178.5,0,4.07,0.0399,773,1.51,3.67,33.17,6,1.42,1,2.84,30.55,33.17,29.94,1001.05,992.70,12.312,14.550,27.59,32.60,400.1,2000,6,98.53,7.18,-0.0461,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,16:16:29,9,shade,young,10,1297.5,0,4.91,0.0408,982,1.45,3.44,32.36,6,1.42,1,2.84,30.50,32.36,29.93,1250.46,1240.40,12.370,14.517,27.79,32.62,400.1,2001,5,98.52,5.19,-0.0486,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,16:18:32,9,shade,young,10,1420.5,0,5.61,0.0404,1.19E+03,1.44,3.44,32.34,6,1.42,1,2.84,30.50,32.34,29.93,1499.62,1488.00,12.412,14.535,27.90,32.67,400.1,2001,4,98.52,2.6,-0.0428,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,16:20:31,9,shade,young,10,1539.5,0,5.86,0.0402,1.41E+03,1.42,3.42,32.26,6,1.42,1,2.84,30.46,32.26,29.94,1750.15,1737.66,12.440,14.535,28.01,32.72,400.1,2000,4,98.51,-0.347,-0.0429,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,16:22:42,9,shade,young,10,1670.5,0,6.49,0.04,1.62E+03,1.41,3.4,32.23,6,1.42,1,2.84,30.44,32.23,29.94,1999.30,1985.37,12.476,14.554,28.13,32.82,400.1,2000,4,98.51,-4.56,-0.0459,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,16:24:43,9,shade,young,10,1791.5,0,6.81,0.0379,1.82E+03,1.41,3.58,32.89,6,1.42,1,2.84,30.43,32.89,29.94,2249.98,2235.04,12.521,14.601,28.25,32.95,400.1,2001,4,98.51,-8.87,-0.0472,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
