Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,9:40:04,9,sun,old,1,423,0,3.03,0.0652,210,1.55,2.34,29.64,6,1.42,1,2.84,29.94,29.64,30.13,299.43,295.24,16.542,18.366,38.81,43.09,499.6,1000,2,99.61,-4.8,0.0426,1,-0.22,2.74,1,0,0.16,111115,OK
3,9:42:34,9,sun,old,1,573,0,1.76,0.0615,143,1.5,2.41,29.91,6,1.42,1,2.84,29.95,29.91,30.13,199.2,196.72,16.581,18.353,38.89,43.04,499.5,999,3,99.61,-2.91,0.0472,1,-0.22,2.74,1,0,0.16,111115,OK
4,9:45:04,9,sun,old,1,722.5,0,0.353,0.0613,85.4,1.5,2.41,29.92,6,1.42,1,2.84,29.95,29.92,30.13,99.05,98.45,16.636,18.401,39.01,43.15,499.5,999,4,99.6,-1.32,0.0461,1,-0.22,2.74,1,0,0.16,111115,OK
5,9:47:34,9,sun,old,1,872.5,0,-0.393,0.0616,57.3,1.5,2.41,29.94,6,1.42,1,2.84,29.95,29.94,30.13,48.62,49,16.699,18.469,39.16,43.31,499.5,999,5,99.6,-0.714,0.0411,1,-0.22,2.74,1,0,0.16,111115,OK
6,9:50:04,9,sun,old,1,1022.5,0,1.95,0.0635,142,1.54,2.39,29.91,6,1.42,1,2.84,29.95,29.91,30.13,201.17,198.47,16.736,18.551,39.24,43.5,499.5,999,2,99.6,-2.98,0.0431,1,-0.22,2.74,1,0,0.16,111115,OK
7,9:52:34,9,sun,old,1,1173,0,4.73,0.0659,264,1.59,2.38,29.89,6,1.42,1,2.84,29.94,29.89,30.13,401.08,394.64,16.74,18.612,39.27,43.66,499.6,1000,3,99.6,-7.04,0.0544,1,-0.22,2.74,1,0,0.16,111115,OK
8,9:55:04,9,sun,old,1,1323,0,6.77,0.068,408,1.63,2.37,29.87,6,1.42,1,2.84,29.94,29.87,30.13,599.14,589.86,16.743,18.663,39.28,43.78,499.6,1000,4,99.6,-11.7,0.0503,1,-0.22,2.74,1,0,0.16,111115,OK
9,9:59:20,9,sun,old,1,1577.5,0,8.24,0.0698,568,1.67,2.36,29.86,6,1.42,1,2.84,29.95,29.88,30.13,798.98,787.12,16.822,18.811,39.45,44.11,499.3,999,4,99.6,-16.8,0.0567,1,-0.22,2.74,1,0,0.16,111115,OK
10,10:01:50,9,sun,old,1,1728.5,0,9.71,0.0703,728,1.68,2.36,29.91,6,1.42,1,2.84,29.96,29.91,30.13,1000.15,986.49,16.885,18.863,39.57,44.21,499.5,999,2,99.6,-22.4,0.0511,1,-0.22,2.74,1,0,0.16,111115,OK
11,10:04:29,9,sun,old,1,1886.5,0,10.5,0.0692,897,1.66,2.37,29.96,6,1.42,1,2.84,29.97,29.96,30.13,1200.33,1185.47,16.939,18.888,39.68,44.25,499.3,999,3,99.61,-27.9,0.054,1,-0.22,2.74,1,0,0.16,111115,OK
12,10:06:59,9,sun,old,1,2037.5,0,12.3,0.0666,1.61E+03,1.6,2.37,29.98,6,1.42,1,2.84,29.98,29.98,30.13,1999.17,1980.6,17.002,18.889,39.8,44.22,499.5,999,3,99.61,-52.4,0.0659,0.7,-0.22,2.74,1,0,0.16,111115,OK
