Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,9:44:39,118,dappled,old,1,1666.5,0,0.225,0.0403,86.6,0.969,2.35,29.71,6,1.42,1,2.84,29.83,29.71,30.13,99.67,99.29,17.305,18.448,40.82,43.51,499.4,999,6,99.55,-1.11,0.0389,0.7,-0.22,2.74,1,0,0.16,111115,OK
3,9:51:47,118,dappled,old,1,2097,0,-0.305,0.0474,57.8,1.13,2.33,29.78,6,1.42,1,2.84,29.86,29.78,30.13,49.07,49.37,17.49,18.818,41.19,44.32,499.3,1001,19,99.54,-0.542,0.0307,1,-0.22,2.74,1,0,0.16,111135,OK
4,9:56:47,118,dappled,old,1,2397.5,0,0.547,0.0533,79.7,1.24,2.29,29.72,6,1.42,1,2.84,29.88,29.72,30.13,100.54,99.73,17.675,19.138,41.59,45.03,499.1,1000,5,99.53,-1.15,0.0318,0.7,-0.22,2.74,1,0,0.16,111115,OK
5,10:00:42,118,dappled,old,1,2633,0,1.41,0.057,103,1.33,2.29,29.81,6,1.42,1,2.84,29.89,29.81,30.13,150.07,148.15,17.766,19.325,41.76,45.42,500.3,1000,17,99.53,-1.87,0.0366,0.7,-0.22,2.74,1,0,0.16,111115,OK
6,10:04:25,118,dappled,old,1,2856,0,3.23,0.059,150,1.36,2.27,29.83,6,1.42,1,2.84,29.91,29.83,30.13,250.36,246.09,17.961,19.562,42.18,45.94,500.4,999,21,99.53,-3.58,0.0265,0.7,-0.22,2.74,1,0,0.16,111115,OK
7,10:07:52,118,dappled,old,1,3063,0,5.08,0.0624,200,1.43,2.25,29.82,6,1.42,1,2.84,29.92,29.82,30.13,349.66,342.98,18.048,19.727,42.36,46.3,500.3,999,7,99.53,-5.58,0.0369,1,-0.22,2.74,1,0,0.16,111115,OK
8,10:11:47,118,dappled,old,1,3298,0,8.3,0.0651,315,1.49,2.25,29.88,6,1.42,1,2.84,29.93,29.88,30.13,550.05,539.14,18.133,19.88,42.53,46.63,500.4,999,5,99.53,-9.89,0.0402,0.7,-0.22,2.74,1,0,0.16,111115,OK
9,10:20:23,118,dappled,old,1,3813.5,0,10.8,0.0662,447,1.51,2.25,29.9,6,1.42,1,2.84,29.95,29.9,30.13,749.37,735.09,18.19,19.962,42.61,46.77,500.3,1000,5,99.53,-14.8,0.0503,1,-0.22,2.74,1,0,0.16,111115,OK
10,10:24:35,118,dappled,old,1,4066,0,12,0.0646,650,1.48,2.25,29.92,6,1.42,1,2.84,29.94,29.92,30.13,1000.8,984.61,18.232,19.969,42.73,46.8,500.3,1001,5,99.53,-21.6,0.0562,1,-0.22,2.74,1,0,0.16,111115,OK
11,10:29:08,118,dappled,old,1,4339.5,0,12.5,0.0609,812,1.4,2.26,29.94,6,1.42,1,2.84,29.95,29.94,30.13,1200.37,1183.43,18.258,19.904,42.77,46.63,500.2,1001,5,99.52,-27.2,0.0604,0.7,-0.22,2.74,1,0,0.16,111115,OK
12,10:33:22,118,dappled,old,1,4592,0,13,0.0557,1.05E+03,1.3,2.29,30,6,1.42,1,2.84,29.97,30,30.13,1500.38,1482.46,18.303,19.825,42.84,46.4,500.4,1001,5,99.52,-35.9,0.0657,0.3,-0.22,2.74,1,0,0.16,111115,OK
13,10:39:15,118,dappled,old,1,4946,0,13.5,0.0483,1.46E+03,1.14,2.32,30.07,6,1.42,1,2.84,29.98,30.07,30.13,1999.49,1980.58,18.356,19.699,42.92,46.06,500.5,1001,6,99.52,-51.4,0.0827,0.7,-0.22,2.74,1,0,0.16,111115,OK
14,10:43:43,118,dappled,old,1,5211.5,0,14.1,0.0425,1.57E+03,1.02,2.34,30.13,6,1.42,1,2.84,29.99,30.13,30.13,2201.22,2181.71,18.413,19.608,43.02,45.81,500.5,1000,6,99.51,-57.9,0.0922,0.7,-0.22,2.74,1,0,0.16,111115,OK
15,10:50:13,118,dappled,old,1,5604,0,14.1,0.0365,1.68E+03,0.884,2.37,30.2,6,1.42,1,2.84,30.01,30.2,30.13,2398.24,2378.83,18.489,19.528,43.15,45.57,500.5,1000,8,99.51,-64,0.103,0.7,-0.22,2.74,1,0,0.16,111115,OK
16,10:59:38,118,dappled,young,2,6126.5,0,-0.126,0.00529,420,0.14,2.56,30.66,6,1.42,1,2.84,30.09,30.66,30.13,398.79,398.88,18.6,18.766,43.21,43.6,499.5,999,6,99.5,-6.39,0.127,1,-0.22,2.74,1,0,0.16,111115,OK
