Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,9:24:05,504,shade,y/m,1,2677,0,-0.0416,0.0193,98.6,0.47,2.37,29.88,6,1.42,1,2.84,29.88,29.88,30.13,99.02,99.01,18.057,18.75,42.42,44.05,399,1000,6,99.39,0.552,0.075,0.5,-0.22,2.74,1,0,0.16,111115,OK
3,9:26:13,504,shade,y/m,1,2805.5,0,-0.168,0.0214,58.4,0.519,2.36,29.92,6,1.42,1,2.84,29.89,29.92,30.13,47.64,47.85,18.179,18.945,42.67,44.47,399,1000,5,99.4,0.926,0.0727,0.8,-0.22,2.74,1,0,0.16,111135,OK
4,9:28:23,504,shade,y/m,1,2933.5,0,0.112,0.0251,88.1,0.601,2.33,29.88,6,1.42,1,2.84,29.9,29.88,30.13,99.17,98.91,18.288,19.175,42.92,45,398.6,999,4,99.39,0.537,0.0772,0.8,-0.22,2.74,1,0,0.16,111115,OK
5,9:30:50,504,shade,y/m,1,3081.5,0,0.664,0.03,109,0.711,2.3,29.9,6,1.42,1,2.84,29.91,29.9,30.13,150.42,149.27,18.404,19.45,43.16,45.62,399.8,999,4,99.39,-0.105,0.0693,0.5,-0.22,2.74,1,0,0.16,111115,OK
6,9:36:47,504,shade,y/m,1,3437.5,0,3.44,0.0497,222,1.13,2.22,29.89,6,1.42,1,2.84,29.92,29.89,30.13,350.78,345.03,18.63,20.285,43.67,47.55,399.8,999,5,99.39,-3.37,0.0644,0.8,-0.22,2.74,1,0,0.16,111115,OK
7,9:38:50,504,shade,y/m,1,3561.5,0,5.94,0.0582,358,1.29,2.19,29.89,6,1.42,1,2.84,29.92,29.89,30.13,550.88,540.91,18.695,20.596,43.81,48.27,399.9,999,6,99.39,-7.52,0.0595,0.5,-0.22,2.74,1,0,0.16,111115,OK
8,9:41:08,504,shade,y/m,1,3698.5,0,7.26,0.0668,538,1.46,2.15,29.85,6,1.42,1,2.84,29.92,29.85,30.13,750.61,738.1,18.771,20.909,44,49.01,399.9,999,4,99.4,-12.1,0.0579,0.5,-0.22,2.74,1,0,0.16,111115,OK
9,9:44:53,504,shade,y/m,1,3923,0,8.9,0.0774,766,1.65,2.11,29.85,6,1.42,1,2.84,29.92,29.85,30.13,1000.87,985.08,18.87,21.294,44.23,49.91,400,999,5,99.4,-18.4,0.0534,0.5,-0.22,2.74,1,0,0.16,111115,OK
10,9:47:18,504,shade,y/m,1,4069.5,0,9.66,0.0826,954,1.75,2.09,29.86,6,1.42,1,2.84,29.93,29.86,30.13,1200.36,1182.79,18.92,21.482,44.32,50.32,400,999,4,99.4,-23.7,0.0553,0.5,-0.22,2.74,1,0,0.16,111115,OK
11,9:49:48,504,shade,y/m,1,4220.5,0,10.3,0.0859,1.24E+03,1.8,2.08,29.87,6,1.42,1,2.84,29.94,29.87,30.13,1500.38,1480.91,18.96,21.608,44.39,50.59,399.8,999,5,99.4,-32.1,0.0559,0.8,-0.22,2.74,1,0,0.16,111115,OK
12,9:52:50,504,shade,y/m,1,4401.5,0,10.9,0.0878,1.71E+03,1.84,2.08,29.89,6,1.42,1,2.84,29.94,29.89,30.13,1999.77,1978.01,19.021,21.717,44.52,50.83,400,1001,4,99.4,-46.9,0.0565,0.8,-0.22,2.74,1,0,0.16,111115,OK
13,9:55:47,504,shade,y/m,1,4579,0,11.4,0.0888,1.99E+03,1.85,2.07,29.9,6,1.42,1,2.84,29.95,29.9,30.13,2300.14,2276.7,19.057,21.777,44.58,50.95,400,1001,6,99.4,-56.3,0.0613,0.5,-0.22,2.74,1,0,0.16,111115,OK
