Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,10:42:17,504,sun,mature,2,4405.5,0,-0.0667,0.108,61.3,3.29,3.08,29.99,6,1.42,1,2.84,26.28,29.99,30.13,63.64,63.42,6.947,11.837,20.18,34.38,399.5,1001,4,99.64,2.31,0.255,1,-0.22,2.74,1,0,0.16,111135,OK
17,10:46:21,504,sun,mature,2,4658,0,1.08,0.117,78.7,3.5,3.03,29.92,6,1.42,1,2.84,26.23,29.92,30.13,100.52,98.39,6.965,12.16,20.29,35.42,399.4,1001,5,99.63,2.26,0.255,1,-0.22,2.74,1,0,0.16,111115,OK
18,10:51:13,504,sun,mature,2,4948,0,3.04,0.137,101,3.97,2.95,29.88,6,1.42,1,2.84,27.68,29.88,30.13,149.58,144.15,7.01,12.904,18.75,34.51,399.4,1000,4,99.62,1.59,0.212,0.7,-0.22,2.74,1,0,0.16,111115,OK
19,10:54:24,504,sun,mature,2,5139.5,0,6.37,0.149,158,4.24,2.89,29.84,6,1.42,1,2.84,28.13,29.84,30.13,250.18,239.1,7.034,13.316,18.33,34.7,399.5,1000,5,99.62,0.77,0.216,0.7,-0.22,2.74,1,0,0.16,111115,OK
20,10:57:52,504,sun,mature,2,5347.5,0,9.27,0.143,213,4.12,2.92,29.89,6,1.42,1,2.84,28.37,29.89,30.13,349.77,333.77,7.058,13.165,18.13,33.83,399.3,1000,5,99.62,-0.454,0.223,0.7,-0.22,2.74,1,0,0.16,111115,OK
21,11:00:30,504,sun,mature,2,5506,0,14.4,0.127,317,3.76,2.99,29.97,6,1.42,1,2.84,27.81,29.97,30.13,550.26,525.69,7.076,12.654,18.78,33.58,399.3,1001,5,99.62,-3.53,0.233,0.7,-0.22,2.74,1,0,0.16,111115,OK
22,11:04:17,504,sun,mature,2,5732,0,15.8,0.0867,397,2.75,3.17,30.1,6,1.42,1,2.84,28.45,30.1,30.13,751.37,724.69,7.118,11.205,18.2,28.66,399.2,1000,6,99.62,-7.25,0.207,0.7,-0.22,2.74,1,0,0.16,111115,OK
23,11:14:20,504,sun,mature,2,6334,0,15.5,0.0486,417,1.67,3.39,29.91,6,1.42,1,2.84,25.5,29.91,30.13,1001.07,975.29,5.993,8.478,18.22,25.78,399.8,1001,5,99.61,-7.83,0.233,0.7,-0.22,2.74,1,0,0.16,111115,OK
24,11:17:23,504,sun,mature,2,6518.5,0,19.4,0.0549,545,1.89,3.41,30.12,6,1.42,1,2.84,25.38,30.12,30.13,1200.39,1167.94,6.007,8.823,18.4,27.02,399.8,1001,5,99.61,-10.7,0.23,0.7,-0.22,2.74,1,0,0.16,111115,OK
25,11:19:42,504,sun,mature,2,6658,0,24.4,0.052,635,1.81,3.44,30.17,6,1.42,1,2.84,23.87,30.17,30.13,1498.08,1457.46,6.007,8.696,20.13,29.14,399.8,1001,5,99.61,-15.6,0.241,0.3,-0.22,2.74,1,0,0.16,111115,OK
26,11:24:04,504,sun,mature,2,6920,0,22.2,0.0388,952,1.39,3.52,30.27,6,1.42,1,2.84,25.13,30.27,30.13,2000.43,1963.05,6.071,8.135,18.87,25.29,399.8,1000,6,99.61,-25.3,0.246,0.7,-0.22,2.74,1,0,0.16,111115,OK
27,11:27:03,504,sun,mature,2,7098,0,23.1,0.0349,1.10E+03,1.26,3.55,30.35,6,1.42,1,2.84,25.15,30.35,30.13,2300.15,2261.23,6.096,7.978,18.93,24.77,399.7,1000,5,99.6,-31.3,0.25,1,-0.22,2.74,1,0,0.16,111115,OK
