Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,11:37:58,caferana,shade,mature:_this_season's_growth,2,688.0,0,-0.272,0.0465,58.2,1.11,2.33,30.82,6,1.42,1,2.84,30.15,30.82,30.13,50.56,50.88,19.890,21.521,45.89,49.66,400.0,1501,34,99.15,0.901,0.168,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,11:40:29,caferana,shade,mature:_this_season's_growth,2,839.0,0,0.408,0.051,83,1.2,2.3,30.76,6,1.42,1,2.84,30.15,30.76,30.13,100.30,99.51,19.877,21.644,45.86,49.94,400.0,1501,40,99.15,0.425,0.162,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,11:43:44,caferana,shade,mature:_this_season's_growth,2,1034.0,0,0.934,0.056,116,1.31,2.29,30.74,6,1.42,1,2.84,30.15,30.74,30.13,149.84,148.15,19.840,21.764,45.79,50.22,400.0,1501,37,99.15,-0.15,0.161,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,11:46:19,caferana,shade,mature:_this_season's_growth,2,1189.0,0,2.53,0.0599,170,1.4,2.28,30.74,6,1.42,1,2.84,30.15,30.74,30.13,250.75,246.44,19.776,21.827,45.62,50.35,400.0,1500,33,99.15,-1.71,0.163,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,11:48:48,caferana,shade,mature:_this_season's_growth,2,1338.0,0,3.94,0.0618,230,1.43,2.27,30.68,6,1.42,1,2.84,30.14,30.68,30.13,351.27,344.63,19.711,21.810,45.52,50.36,399.9,1499,32,99.15,-3.41,0.168,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,11:51:18,caferana,shade,mature:_this_season's_growth,2,1488.0,0,6.56,0.0612,348,1.42,2.27,30.64,6,1.42,1,2.84,30.12,30.64,30.13,549.78,538.80,19.637,21.718,45.38,50.19,400.0,1500,42,99.14,-7.44,0.169,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,11:53:48,caferana,shade,mature:_this_season's_growth,2,1638.5,0,8.69,0.0558,460,1.31,2.3,30.71,6,1.42,1,2.84,30.14,30.71,30.13,751.20,736.71,19.625,21.552,45.30,49.75,400.0,1499,43,99.14,-12.1,0.162,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,11:56:17,caferana,shade,mature:_this_season's_growth,2,1787.0,0,10,0.0467,605,1.13,2.35,30.82,6,1.42,1,2.84,30.17,30.82,30.13,1001.00,984.28,19.640,21.298,45.26,49.09,399.9,1500,41,99.13,-18.3,0.181,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,11:58:46,caferana,shade,mature:_this_season's_growth,2,1936.5,0,10.8,0.0384,737,0.951,2.4,30.91,6,1.42,1,2.84,30.19,30.91,30.13,1250.59,1232.57,19.669,21.065,45.25,48.46,400.0,1499,34,99.12,-24.8,0.182,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:01:15,caferana,shade,mature:_this_season's_growth,2,2085.0,0,11.5,0.0331,874,0.827,2.43,30.95,6,1.42,1,2.84,30.20,30.95,30.13,1500.49,1481.47,19.693,20.907,45.29,48.08,400.0,1500,43,99.12,-31.9,0.186,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:03:44,caferana,shade,mature:_this_season's_growth,2,2234.0,0,11.8,0.0293,1.02E+03,0.737,2.43,30.94,6,1.42,1,2.84,30.20,30.94,30.13,1750.76,1731.13,19.718,20.800,45.35,47.84,400.0,1501,39,99.12,-39.2,0.194,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:06:14,caferana,shade,mature:_this_season's_growth,2,2384.5,0,11.9,0.0261,1.18E+03,0.659,2.44,30.94,6,1.42,1,2.84,30.20,30.94,30.13,1999.31,1979.49,19.742,20.709,45.40,47.63,399.9,1500,38,99.11,-46.6,0.192,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,12:08:43,caferana,shade,mature:_this_season's_growth,2,2533.0,0,12.5,0.0232,1.29E+03,0.591,2.46,30.98,6,1.42,1,2.84,30.21,30.98,30.13,2250.15,2229.42,19.764,20.632,45.43,47.42,400.0,1500,35,99.11,-54.5,0.198,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
