Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
2,12:32:09,118,dappled,young,3,573,0,-0.771,0.0169,167,0.435,2.48,30.72,6,1.42,1,2.84,30.14,30.72,30.13,98.4,99.27,19.163,19.675,44.33,45.52,499.4,1000,9,99.35,-1.04,0.0607,1,-0.22,2.74,1,0,0.16,111115,OK
3,12:37:26,118,dappled,young,3,891,0,-0.235,0.0166,70.2,0.428,2.49,30.72,6,1.42,1,2.84,30.14,30.72,30.13,49.79,50.04,19.143,19.648,44.29,45.46,499,1000,12,99.34,-1.04,0.0607,0.7,-0.22,2.74,1,0,0.16,111135,OK
4,12:42:47,118,dappled,young,3,1211.5,0,-0.617,0.0163,157,0.421,2.5,30.77,6,1.42,1,2.84,30.17,30.77,30.13,101.36,102.04,19.186,19.682,44.3,45.45,499.5,999,8,99.33,-1.04,0.0607,1,-0.22,2.74,1,0,0.16,111115,OK
5,12:45:10,118,dappled,young,3,1355,0,-0.361,0.0162,180,0.42,2.51,30.81,6,1.42,1,2.84,30.17,30.81,30.13,150.91,151.27,19.209,19.704,44.34,45.48,499.5,999,8,99.32,-1.84,0.0662,0.7,-0.22,2.74,1,0,0.16,111115,OK
6,12:49:11,118,dappled,young,3,1595,0,-0.37,0.0168,276,0.433,2.5,30.77,6,1.42,1,2.84,30.17,30.77,30.13,251,251.31,19.188,19.698,44.3,45.48,499.5,999,8,99.32,-3.45,0.0695,0.3,-0.22,2.74,1,0,0.16,111115,OK
7,12:52:58,118,dappled,young,3,1822,0,0.0464,0.0168,331,0.433,2.49,30.74,6,1.42,1,2.84,30.16,30.74,30.13,349.36,349.12,19.171,19.68,44.27,45.45,499.4,1000,13,99.3,-5.47,0.0674,1,-0.22,2.74,1,0,0.16,111115,OK
8,12:56:31,118,dappled,young,3,2035.5,0,0.331,0.0165,496,0.427,2.49,30.77,6,1.42,1,2.84,30.17,30.77,30.13,550.23,549.55,19.215,19.718,44.35,45.51,499.3,999,12,99.3,-9.96,0.0677,0.7,-0.22,2.74,1,0,0.16,111115,OK
9,12:59:17,118,dappled,young,3,2202,0,0.671,0.017,656,0.439,2.49,30.79,6,1.42,1,2.84,30.17,30.79,30.13,749.67,748.47,19.256,19.772,44.43,45.62,500,999,10,99.29,-14.9,0.074,0.7,-0.22,2.74,1,0,0.16,111115,OK
10,13:03:22,118,dappled,young,3,2445.5,0,1,0.0167,863,0.431,2.5,30.82,6,1.42,1,2.84,30.18,30.82,30.13,1000.3,998.58,19.283,19.791,44.46,45.64,499.4,1001,9,99.28,-21.4,0.0729,0.7,-0.22,2.74,1,0,0.16,111115,OK
11,13:08:12,118,dappled,young,3,2736,0,1.4,0.0171,1.02E+03,0.44,2.49,30.77,6,1.42,1,2.84,30.17,30.77,30.13,1201.2,1198.88,19.277,19.795,44.48,45.67,499.6,999,7,99.28,-26.9,0.0785,0.7,-0.22,2.74,1,0,0.16,111115,OK
12,13:12:31,118,dappled,young,3,2995,0,1.9,0.017,1.26E+03,0.438,2.48,30.74,6,1.42,1,2.84,30.16,30.74,30.13,1499.54,1496.48,19.261,19.776,44.46,45.65,499.5,1000,14,99.26,-35.5,0.0805,0.7,-0.22,2.74,1,0,0.16,111115,OK
13,13:17:41,118,dappled,young,3,3305.5,0,2.64,0.017,1.67E+03,0.437,2.49,30.75,6,1.42,1,2.84,30.16,30.75,30.13,2000.22,1996.01,19.249,19.764,44.43,45.62,499.5,999,8,99.26,-50.8,0.0868,0.7,-0.22,2.74,1,0,0.16,111115,OK
14,13:21:04,118,dappled,young,3,3508,0,3.29,0.017,1.99E+03,0.438,2.49,30.74,6,1.42,1,2.84,30.16,30.74,30.13,2398.41,2393.21,19.23,19.746,44.38,45.57,499.5,999,12,99.25,-63.6,0.0874,0.7,-0.22,2.74,1,0,0.16,111115,OK
