Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
14,11:07:30,504,sun,mature,3,3426.5,0,9.91,0.184,280,4.1,2.27,30.24,6,1.42,1,2.84,29.88,30.24,29.94,400.48,383.25,14.623,20.645,34.25,48.35,400.0,1999,22,99.08,7.95,-0.152,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
15,11:09:44,504,sun,mature,3,3567.0,0,0.588,0.18,89.9,4.05,2.29,30.30,6,1.42,1,2.84,29.91,30.30,29.95,100.45,98.97,14.696,20.643,34.36,48.26,400.1,2000,22,99.07,6.1,-0.153,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
16,11:11:44,504,sun,mature,3,3686.5,0,-0.896,0.184,56.8,4.1,2.28,30.30,6,1.42,1,2.84,29.91,30.30,29.95,49.58,50.61,14.733,20.759,34.44,48.52,400.1,2000,21,99.07,5.41,-0.163,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
17,11:13:44,504,sun,mature,3,3807.0,0,0.868,0.19,88.2,4.2,2.26,30.29,6,1.42,1,2.84,29.91,30.29,29.94,101.39,99.46,14.779,20.944,34.55,48.96,400.1,2000,22,99.07,6.03,-0.165,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,11:15:44,504,sun,mature,3,3926.5,0,2.52,0.197,119,4.29,2.24,30.29,6,1.42,1,2.84,29.91,30.29,29.95,150.32,145.60,14.813,21.117,34.62,49.35,400.1,2000,22,99.06,6.63,-0.169,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,11:17:44,504,sun,mature,3,4047.0,0,5.82,0.203,185,4.39,2.22,30.26,6,1.42,1,2.84,29.93,30.26,29.95,251.43,241.11,14.850,21.287,34.67,49.70,400.1,2000,22,99.06,7.35,-0.17,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,11:19:44,504,sun,mature,3,4166.5,0,8.92,0.208,252,4.45,2.2,30.23,6,1.42,1,2.84,29.91,30.23,29.95,350.69,335.07,14.890,21.414,34.79,50.03,400.0,1999,22,99.06,7.71,-0.175,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,11:21:44,504,sun,mature,3,4286.5,0,14.2,0.203,390,4.36,2.2,30.22,6,1.42,1,2.84,29.90,30.22,29.95,550.03,525.35,14.915,21.313,34.87,49.83,400.1,1999,22,99.05,8.12,-0.167,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,11:23:44,504,sun,mature,3,4407.0,0,17.3,0.177,533,3.97,2.29,30.34,6,1.42,1,2.84,29.92,30.34,29.95,750.85,720.69,14.949,20.783,34.92,48.55,400.1,1999,22,99.05,8.04,-0.155,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,11:26:00,504,sun,mature,3,4542.5,0,19.5,0.135,692,3.25,2.42,30.48,6,1.42,1,2.84,29.93,30.48,29.95,999.75,965.83,14.980,19.762,34.97,46.14,400.1,2000,21,99.05,7.07,-0.126,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,11:28:10,504,sun,mature,3,4673.0,0,20.4,0.1,835,2.58,2.56,30.65,6,1.42,1,2.84,29.95,30.65,29.95,1250.31,1215.00,15.018,18.811,35.01,43.86,400.0,2000,21,99.05,5.29,-0.0953,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,11:30:23,504,sun,mature,3,4805.5,0,21.4,0.0764,952,2.06,2.66,30.75,6,1.42,1,2.84,29.93,30.75,29.94,1500.48,1463.87,15.057,18.089,35.14,42.22,400.1,2000,22,99.05,2.66,-0.0787,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,11:32:22,504,sun,mature,3,4924.5,0,22,0.0635,1.09E+03,1.76,2.72,30.82,6,1.42,1,2.84,29.95,30.82,29.95,1750.79,1713.33,15.074,17.665,35.15,41.19,400.0,2000,21,99.05,-0.22,-0.0672,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,11:34:22,504,sun,mature,3,5044.5,0,22.9,0.0556,1.22E+03,1.56,2.75,30.86,6,1.42,1,2.84,29.96,30.86,29.94,1999.53,1960.58,15.112,17.418,35.21,40.59,400.0,1999,21,99.05,-3.94,-0.0521,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,11:36:28,504,sun,mature,3,5170.5,0,23.6,0.0505,1.37E+03,1.44,2.78,30.90,6,1.42,1,2.84,29.97,30.90,29.95,2249.58,2209.39,15.142,17.258,35.26,40.18,400.0,1999,22,99.04,-8.41,-0.0506,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
