Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
16,08:22:50,caferana,shade,mature,4,3708.0,0,-0.652,0.0227,94.3,0.713,3.05,29.49,6,1.42,1,2.84,29.87,29.49,30.14,50.82,51.75,9.848,10.905,23.10,25.58,400.2,1001,26,99.21,1.95,0.0965,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
18,08:27:25,caferana,shade,mature,4,3983.0,0,0.431,0.0286,118,0.886,3.02,29.47,6,1.42,1,2.84,29.88,29.47,30.14,149.66,148.81,9.907,11.220,23.23,26.31,400.2,1001,27,99.21,0.835,0.0904,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,08:29:24,caferana,shade,mature,4,4102.0,0,1.46,0.0328,166,1.01,3.01,29.50,6,1.42,1,2.84,29.89,29.50,30.13,251.12,248.55,9.926,11.421,23.26,26.76,400.1,1000,25,99.22,-0.719,0.0902,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,08:31:23,caferana,shade,mature,4,4221.0,0,2.48,0.0379,226,1.15,2.98,29.48,6,1.42,1,2.84,29.89,29.48,30.14,350.53,346.22,9.950,11.657,23.31,27.31,400.1,1000,26,99.22,-2.58,0.0829,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,08:33:24,caferana,shade,mature,4,4342.0,0,4.14,0.0432,365,1.3,2.95,29.48,6,1.42,1,2.84,29.90,29.48,30.14,549.43,542.16,9.967,11.895,23.34,27.85,400.2,1000,28,99.22,-6.74,0.0784,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,08:35:23,caferana,shade,mature,4,4461.0,0,5.09,0.0458,531,1.37,2.94,29.47,6,1.42,1,2.84,29.91,29.47,30.13,751.13,741.96,9.993,12.027,23.39,28.16,400.1,1000,26,99.22,-11.6,0.0762,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,08:37:35,caferana,shade,mature,4,4593.5,0,5.69,0.0441,738,1.33,2.95,29.51,6,1.42,1,2.84,29.92,29.51,30.13,999.84,989.33,10.022,11.989,23.45,28.06,400.1,999,27,99.22,-18.2,0.0777,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,08:39:39,caferana,shade,mature,4,4717.5,0,6.03,0.0393,937,1.2,2.98,29.57,6,1.42,1,2.84,29.93,29.57,30.14,1250.35,1239.09,10.055,11.829,23.51,27.66,400.1,999,31,99.22,-25.3,0.0822,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,08:41:38,caferana,shade,mature,4,4836.0,0,6.16,0.034,1.13E+03,1.05,3.01,29.61,6,1.42,1,2.84,29.93,29.61,30.13,1499.95,1488.37,10.079,11.633,23.56,27.20,400.1,999,28,99.23,-32.8,0.0876,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,08:43:48,caferana,shade,mature,4,4966.0,0,6.28,0.0292,1.32E+03,0.909,3.04,29.65,6,1.42,1,2.84,29.94,29.65,30.13,1750.70,1738.91,10.113,11.461,23.64,26.79,400.1,999,31,99.23,-40.4,0.101,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,08:45:53,caferana,shade,mature,4,5091.0,0,6.48,0.0259,1.5E+03,0.813,3.06,29.67,6,1.42,1,2.84,29.94,29.67,30.13,1999.85,1987.70,10.135,11.340,23.68,26.50,400.1,999,31,99.23,-48.5,0.101,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,08:48:11,caferana,shade,mature,4,5229.0,0,6.96,0.0235,1.66E+03,0.741,3.07,29.70,6,1.42,1,2.84,29.95,29.70,30.13,2250.86,2237.93,10.164,11.263,23.74,26.31,400.1,999,33,99.23,-56.9,0.103,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
