Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
17,14:38:41,caferana1,sh,o2,4,2713.0,0,-0.728,0.0175,116,0.327,1.8,31.01,6,1.42,1,2.84,30.30,31.01,30.03,50.00,51.42,26.775,27.411,61.24,62.70,300.2,1499,13,99.13,5.1,-0.535,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
18,14:40:56,caferana1,sh,o2,4,2848.0,0,-0.416,0.0195,132,0.361,1.78,30.99,6,1.42,1,2.84,30.29,30.99,30.03,99.99,100.75,26.797,27.498,61.31,62.91,300.2,1499,16,99.13,5.54,-0.538,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
19,14:42:39,caferana1,sh,o2,4,2951.0,0,0.0677,0.0221,141,0.409,1.78,31.01,6,1.42,1,2.84,30.30,31.01,30.03,150.08,149.82,26.818,27.613,61.32,63.14,300.2,1500,16,99.13,5.84,-0.547,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
20,14:44:01,caferana1,sh,o2,4,3033.0,0,1.08,0.025,172,0.459,1.77,31.04,6,1.42,1,2.84,30.31,31.04,30.03,249.99,247.61,26.859,27.750,61.37,63.41,300.2,1500,20,99.12,6.18,-0.553,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
21,14:45:34,caferana1,sh,o2,4,3126.0,0,1.99,0.028,223,0.509,1.75,31.03,6,1.42,1,2.84,30.31,31.03,30.03,350.14,345.81,26.925,27.914,61.54,63.80,300.2,1500,16,99.12,6.29,-0.561,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
22,14:48:01,caferana1,sh,o2,4,3273.0,0,3.8,0.0334,345,0.598,1.73,31.03,6,1.42,1,2.84,30.32,31.03,30.03,549.96,541.71,27.003,28.164,61.68,64.34,300.2,1499,14,99.12,5.76,-0.577,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
23,14:50:12,caferana1,sh,o2,4,3404.0,0,5.77,0.0364,464,0.643,1.71,31.01,6,1.42,1,2.84,30.31,31.01,30.03,750.00,737.52,27.051,28.299,61.82,64.67,300.2,1499,15,99.12,4.46,-0.586,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
24,14:52:25,caferana1,sh,o2,4,3537.0,0,7.17,0.0354,634,0.625,1.7,31.01,6,1.42,1,2.84,30.32,31.01,30.03,999.85,984.29,27.150,28.363,62.03,64.80,300.2,1500,21,99.11,2.06,-0.589,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
25,14:54:32,caferana1,sh,o2,4,3664.0,0,7.79,0.031,798,0.551,1.72,31.04,6,1.42,1,2.84,30.33,31.04,30.04,1249.93,1233.00,27.251,28.322,62.20,64.65,300.2,1499,21,99.11,-1.18,-0.589,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
26,14:57:04,caferana1,sh,o2,4,3816.0,0,8.16,0.0241,902,0.437,1.74,31.07,6,1.42,1,2.84,30.33,31.07,30.03,1499.99,1482.38,27.253,28.102,62.19,64.13,300.2,1499,21,99.11,-5.3,-0.583,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,14:59:08,caferana1,sh,o2,4,3940.0,0,8.46,0.021,1.04E+03,0.383,1.76,31.07,6,1.42,1,2.84,30.33,31.07,30.03,1750.13,1731.88,27.250,27.995,62.19,63.89,300.2,1499,18,99.11,-9.94,-0.585,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
28,15:01:25,caferana1,sh,o2,4,4077.0,0,8.47,0.019,1.22E+03,0.347,1.75,31.04,6,1.42,1,2.84,30.31,31.04,30.03,2000.07,1981.76,27.258,27.933,62.28,63.83,300.2,1499,16,99.11,-15.2,-0.579,1.0,-0.22,2.74,1.00,0.00,0.16,111125,OK
