Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
88,11:06:32,500,shade,y2,6,15179.5,0,-0.682,0.0122,140,0.266,2.09,30.85,6,1.42,1,2.84,29.79,30.85,29.55,52.99,53.99,23.631,24.020,55.61,56.52,400.0,1999,4,99.04,6.49,0.252,0.8,-0.22,2.74,1.00,0.00,0.16,111135,OK
89,11:08:02,500,shade,y2,6,15269.5,0,-0.583,0.0132,166,0.282,2.05,30.70,6,1.42,1,2.84,29.79,30.70,29.55,98.73,99.57,23.643,24.055,55.62,56.59,400.0,1999,4,99.04,6.53,0.25,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
90,11:09:36,500,shade,y2,6,15363.5,0,-0.381,0.0141,189,0.304,2.07,30.79,6,1.42,1,2.84,29.79,30.79,29.55,151.09,151.59,23.651,24.097,55.64,56.68,400.0,1999,3,99.04,6.52,0.25,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
91,11:11:32,500,shade,y2,6,15479.5,0,0.0435,0.0153,238,0.331,2.08,30.83,6,1.42,1,2.84,29.79,30.83,29.55,250.81,250.62,23.656,24.141,55.65,56.79,399.9,1999,4,99.03,6.15,0.253,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
92,11:13:20,500,shade,y2,6,15587.0,0,0.591,0.0159,280,0.346,2.09,30.91,6,1.42,1,2.84,29.82,30.91,29.55,351.60,350.54,23.697,24.203,55.64,56.83,400.0,2001,4,99.03,5.69,0.248,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
93,11:15:11,500,shade,y2,6,15698.5,0,1.28,0.0166,408,0.362,2.09,30.95,6,1.42,1,2.84,29.83,30.95,29.55,550.53,548.32,23.737,24.267,55.72,56.97,400.0,1999,4,99.03,4.08,0.261,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
94,11:17:06,500,shade,y2,6,15813.5,0,2,0.0158,521,0.342,2.09,30.89,6,1.42,1,2.84,29.81,30.89,29.55,750.36,746.97,23.717,24.218,55.72,56.90,400.0,2001,3,99.03,1.99,0.255,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
95,11:18:54,500,shade,y2,6,15921.0,0,2.44,0.0153,662,0.333,2.09,30.89,6,1.42,1,2.84,29.81,30.89,29.55,950.91,946.78,23.700,24.187,55.71,56.85,400.0,2001,3,99.03,-0.375,0.26,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
96,11:20:47,500,shade,y2,6,16034.0,0,2.83,0.0139,786,0.303,2.09,30.88,6,1.42,1,2.84,29.81,30.88,29.55,1150.59,1145.83,23.709,24.152,55.72,56.76,400.0,2001,3,99.02,-3.24,0.252,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
97,11:22:47,500,shade,y2,6,16154.0,0,2.99,0.0133,945,0.29,2.09,30.88,6,1.42,1,2.84,29.81,30.88,29.55,1350.06,1344.99,23.714,24.139,55.73,56.72,400.0,2001,3,99.02,-6.05,0.259,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
98,11:24:45,500,shade,y2,6,16272.5,0,3.3,0.0127,1.08E+03,0.277,2.09,30.88,6,1.42,1,2.84,29.80,30.88,29.55,1549.99,1544.40,23.710,24.116,55.73,56.69,400.0,2001,3,99.01,-9.53,0.258,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
99,11:26:27,500,shade,y2,6,16374.0,0,3.38,0.0127,1.26E+03,0.278,2.09,30.88,6,1.42,1,2.84,29.80,30.88,29.55,1750.14,1744.34,23.705,24.112,55.72,56.68,399.9,2001,3,99.01,-12.5,0.272,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
100,11:28:03,500,shade,y2,6,16470.0,0,3.73,0.0119,1.43E+03,0.262,2.1,30.90,6,1.42,1,2.84,29.81,30.90,29.55,1999.89,1993.51,23.714,24.097,55.73,56.63,399.9,2001,3,99.01,-17.4,0.257,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
101,11:29:48,500,shade,y2,6,16575.5,0,3.87,0.0115,1.64E+03,0.252,2.1,30.90,6,1.42,1,2.84,29.80,30.90,29.55,2249.88,2243.23,23.731,24.099,55.78,56.65,400.0,2001,4,99.01,-22,0.26,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
