Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
32,13:31:20,9,shade,mature,6,10018.5,0,0.226,0.0662,89.3,1.5,2.22,30.74,6,1.42,1,2.84,30.23,30.74,30.13,98.91,98.35,20.247,22.444,46.52,51.57,400,1500,16,99.16,0.449,0.0942,0.8,-0.22,2.74,1,0,0.16,111115,OK
33,13:33:34,9,shade,mature,6,10152.5,0,-0.475,0.0692,60.1,1.56,2.21,30.76,6,1.42,1,2.84,30.22,30.76,30.13,50.33,50.92,20.283,22.57,46.61,51.86,400,1500,20,99.16,0.808,0.096,1,-0.22,2.74,1,0,0.16,111115,OK
34,13:36:04,9,shade,mature,6,10302,0,0.488,0.0758,85.9,1.68,2.18,30.7,6,1.42,1,2.84,30.22,30.7,30.13,100.75,99.77,20.32,22.777,46.69,52.33,400,1500,21,99.15,0.331,0.0865,0.8,-0.22,2.74,1,0,0.16,111115,OK
35,13:38:18,9,shade,mature,6,10436,0,1.75,0.0823,109,1.79,2.15,30.66,6,1.42,1,2.84,30.22,30.66,30.13,151.52,148.49,20.33,22.96,46.72,52.76,400,1500,17,99.15,-0.283,0.0882,0.5,-0.22,2.74,1,0,0.16,111115,OK
36,13:41:13,9,shade,mature,6,10611.5,0,3.9,0.0893,165,1.91,2.11,30.59,6,1.42,1,2.84,30.21,30.59,30.13,250.59,244.04,20.341,23.139,46.78,53.22,400,1500,19,99.14,-1.72,0.0773,0.5,-0.22,2.74,1,0,0.16,111115,OK
37,13:43:26,9,shade,mature,6,10744,0,5.66,0.0899,228,1.92,2.11,30.58,6,1.42,1,2.84,30.2,30.58,30.13,351.15,341.67,20.334,23.145,46.78,53.25,400,1500,20,99.14,-3.52,0.082,0.8,-0.22,2.74,1,0,0.16,111115,OK
38,13:45:46,9,shade,mature,6,10884,0,8.06,0.0852,367,1.83,2.12,30.57,6,1.42,1,2.84,30.19,30.57,30.13,551.43,537.86,20.324,23.008,46.78,52.96,399.9,1500,11,99.14,-7.51,0.0937,0.5,-0.22,2.74,1,0,0.16,111115,OK
39,13:48:04,9,shade,mature,6,11022.5,0,9.45,0.0718,497,1.59,2.17,30.63,6,1.42,1,2.84,30.18,30.63,30.13,750.44,734.51,20.294,22.625,46.73,52.1,400,1500,11,99.14,-12.4,0.115,0.8,-0.22,2.74,1,0,0.16,111115,OK
40,13:50:17,9,shade,mature,6,11155,0,10.5,0.058,657,1.32,2.22,30.67,6,1.42,1,2.84,30.18,30.67,30.13,1000.57,982.86,20.278,22.213,46.71,51.16,400,1501,14,99.13,-18.5,0.125,0.5,-0.22,2.74,1,0,0.16,111115,OK
41,13:52:44,9,shade,mature,6,11302,0,11.2,0.046,799,1.08,2.28,30.73,6,1.42,1,2.84,30.18,30.73,30.13,1250.28,1231.54,20.269,21.848,46.68,50.31,400,1501,14,99.13,-25.5,0.132,0.8,-0.22,2.74,1,0,0.16,111115,OK
42,13:54:58,9,shade,mature,6,11436.5,0,11.4,0.0378,949,0.901,2.31,30.77,6,1.42,1,2.84,30.19,30.77,30.13,1501.4,1482.35,20.253,21.575,46.62,49.66,400,1500,16,99.12,-32.8,0.139,0.5,-0.22,2.74,1,0,0.16,111115,OK
43,13:57:33,9,shade,mature,6,11591.5,0,11.7,0.0313,1.07E+03,0.759,2.35,30.83,6,1.42,1,2.84,30.19,30.83,30.13,1750.88,1731.33,20.248,21.363,46.59,49.16,400,1500,14,99.12,-40.2,0.15,0.5,-0.22,2.74,1,0,0.16,111115,OK
44,13:59:49,9,shade,mature,6,11727,0,11.4,0.0271,1.24E+03,0.665,2.38,30.88,6,1.42,1,2.84,30.2,30.88,30.13,2000.01,1980.96,20.275,21.251,46.62,48.87,400,1499,15,99.12,-47.7,0.15,0.5,-0.22,2.74,1,0,0.16,111115,OK
45,14:02:32,9,shade,mature,6,11890.5,0,11.1,0.0236,1.40E+03,0.586,2.4,30.94,6,1.42,1,2.84,30.22,30.94,30.13,2249.75,2231.13,20.318,21.178,46.68,48.66,400,1499,15,99.11,-55.3,0.155,0.8,-0.22,2.74,1,0,0.16,111115,OK
