Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
99,10:29:12,118,sun,young,7,14869.0,0,-0.996,0.0321,101,0.717,2.17,30.52,6,1.25,1,2.5,29.74,30.52,29.55,51.79,53.23,21.357,22.412,50.44,52.94,398.9,1999,10,99.13,6,0.224,1.0,-0.207,2.49,1.00,0.00,0.16,111134,OK
100,10:30:41,118,sun,young,7,14958.5,0,-0.699,0.0345,128,0.764,2.15,30.51,6,1.25,1,2.5,29.74,30.51,29.55,98.56,99.50,21.403,22.526,50.55,53.20,399.1,2000,10,99.13,6.03,0.23,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
101,10:32:20,118,sun,young,7,15057.0,0,-0.323,0.0369,160,0.81,2.14,30.48,6,1.25,1,2.5,29.73,30.48,29.55,150.91,151.21,21.454,22.644,50.70,53.52,399.1,2000,9,99.13,5.95,0.225,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
102,10:34:25,118,sun,young,7,15182.0,0,0.535,0.041,220,0.884,2.1,30.41,6,1.25,1,2.5,29.73,30.41,29.55,250.84,249.71,21.519,22.815,50.86,53.92,400.0,2000,126,99.12,5.66,0.223,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
103,10:36:08,118,sun,young,7,15285.0,0,1.29,0.0443,289,0.958,2.11,30.49,6,1.25,1,2.5,29.73,30.49,29.55,349.81,347.37,21.563,22.967,50.94,54.25,400.0,2000,94,99.11,5.2,0.221,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
104,10:38:03,118,sun,young,7,15400.5,0,2.98,0.0497,431,1.05,2.06,30.37,6,1.25,1,2.5,29.74,30.37,29.55,550.30,544.96,21.624,23.159,51.07,54.69,399.7,1999,1,99.1,3.82,0.218,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
105,10:39:53,118,sun,young,7,15510.0,0,4.79,0.0539,574,1.15,2.08,30.54,6,1.25,1,2.5,29.75,30.54,29.55,750.56,742.10,21.669,23.348,51.13,55.09,400.0,2000,8,99.1,1.83,0.215,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
106,10:41:42,118,sun,young,7,15619.0,0,6.52,0.0595,731,1.25,2.05,30.51,6,1.25,1,2.5,29.75,30.51,29.55,950.31,938.78,21.730,23.556,51.28,55.58,400.0,2000,7,99.1,-0.422,0.214,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
107,10:43:40,118,sun,young,7,15737.0,0,8.24,0.066,898,1.35,2.02,30.45,6,1.25,1,2.5,29.75,30.45,29.55,1150.78,1136.12,21.810,23.791,51.46,56.14,400.0,2000,7,99.1,-2.88,0.212,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
108,10:45:34,118,sun,young,7,15852.0,0,9.75,0.0721,1.07E+03,1.46,1.99,30.44,6,1.25,1,2.5,29.75,30.44,29.55,1350.56,1333.02,21.899,24.030,51.66,56.69,400.1,2000,7,99.09,-5.53,0.215,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
109,10:47:26,118,sun,young,7,15963.5,0,11.1,0.0773,1.25E+03,1.55,1.98,30.48,6,1.25,1,2.5,29.76,30.48,29.55,1550.03,1529.76,21.984,24.251,51.85,57.20,400.0,1999,7,99.09,-8.55,0.21,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
110,10:49:42,118,sun,young,7,16099.0,0,12.5,0.0848,1.43E+03,1.68,1.96,30.51,6,1.25,1,2.5,29.76,30.51,29.55,1749.42,1726.40,22.081,24.533,52.07,57.85,400.0,2000,7,99.08,-11.6,0.212,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
112,10:52:45,118,sun,young,7,16283.0,0,14,0.0938,1.91E+03,1.79,1.9,30.41,6,1.25,1,2.5,29.75,30.41,29.55,2250.36,2223.32,22.240,24.862,52.46,58.65,400.0,2000,9,99.08,-19.9,0.203,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
