Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
26,12:29:04,500,sun,old,7,5324.5,0,4.13,0.0553,163,1.39,2.48,30.34,6,1.42,1,2.84,29.85,30.34,30.13,299.5,294.05,17.126,18.769,40.36,44.23,499.6,1000,7,99.51,-24.2,0.0223,1,-0.22,2.74,1,0,0.16,111115,OK
27,12:31:41,500,sun,old,7,5481,0,2.02,0.0471,120,1.2,2.5,30.39,6,1.42,1,2.84,29.81,30.39,30.13,198.82,196.12,17.288,18.701,40.82,44.16,499.6,1000,7,99.51,-14.8,0.0256,0.7,-0.22,2.74,1,0,0.16,111115,OK
28,12:34:12,500,sun,old,7,5632,0,0.307,0.0433,83.2,1.11,2.51,30.45,6,1.42,1,2.84,29.85,30.45,30.13,98.93,98.43,17.446,18.752,41.1,44.18,499.5,1000,6,99.5,-6.62,0.0342,1,-0.22,2.74,1,0,0.16,111115,OK
29,12:36:43,500,sun,old,7,5783,0,0.113,0.043,45,1.1,2.5,30.48,6,1.42,1,2.84,29.87,30.48,30.14,51.44,51.23,17.614,18.907,41.45,44.49,499.5,999,6,99.5,-3.1,0.0302,0.7,-0.22,2.74,1,0,0.16,111135,OK
30,12:39:30,500,sun,old,7,5950,0,2.15,0.0446,113,1.13,2.48,30.49,6,1.42,1,2.84,29.89,30.49,30.13,200.6,197.74,17.825,19.156,41.9,45.02,499.6,1001,6,99.5,-14.9,0.0341,1,-0.22,2.74,1,0,0.16,111115,OK
31,12:42:01,500,sun,old,7,6101.5,0,5.51,0.0459,187,1.15,2.46,30.49,6,1.42,1,2.84,29.58,30.49,30.13,400.32,393.16,17.97,19.328,42.99,46.24,499.5,1000,7,99.49,-34.6,0.0356,1,-0.22,2.74,1,0,0.16,111115,OK
32,12:44:36,500,sun,old,7,6256,0,8.7,0.0479,277,1.19,2.44,30.48,6,1.42,1,2.84,29.66,30.48,30.13,600.56,589.26,18.113,19.518,43.13,46.48,499.6,1000,4,99.49,-57.3,0.0399,0.7,-0.22,2.74,1,0,0.16,111115,OK
33,12:47:30,500,sun,old,7,6430,0,11,0.05,405,1.23,2.42,30.49,6,1.42,1,2.84,29.65,30.49,30.13,799.64,785.3,18.254,19.706,43.49,46.95,499.6,1000,5,99.49,-81.5,0.0575,0.7,-0.22,2.74,1,0,0.16,111115,OK
34,12:50:16,500,sun,old,7,6596,0,12.9,0.0506,538,1.24,2.39,30.44,6,1.42,1,2.84,29.7,30.44,30.13,1000.37,983.39,18.404,19.857,43.72,47.17,499.6,1000,6,99.48,-109,0.0471,1,-0.22,2.74,1,0,0.16,111115,OK
35,12:52:57,500,sun,old,7,6757,0,13.4,0.0502,711,1.22,2.38,30.42,6,1.42,1,2.84,29.74,30.42,30.13,1200.76,1182.9,18.549,19.981,43.97,47.36,499.6,1001,6,99.48,-137,0.044,1,-0.22,2.74,1,0,0.16,111115,OK
36,12:55:38,500,sun,old,7,6918.5,0,13.8,0.0484,1.45E+03,1.17,2.36,30.38,6,1.42,1,2.84,29.65,30.38,30.13,1999.09,1979.78,18.656,20.031,44.45,47.73,499.6,1000,4,99.47,-259,0.0478,0.7,-0.22,2.74,1,0,0.16,111115,OK
