Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
33,12:38:02,9,sun,youn/mature,7,5611.5,0,-0.755,0.0294,89,0.778,2.55,31.98,6,1.42,1,2.84,30.32,31.98,29.94,49.44,50.52,21.262,22.402,48.53,51.13,400.0,1499,5,99.03,4.31,-0.201,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,12:40:11,9,sun,youn/mature,7,5741.0,0,-0.131,0.0307,102,0.808,2.55,31.99,6,1.42,1,2.84,30.32,31.99,29.94,99.13,99.21,21.294,22.479,48.59,51.30,400.0,1499,4,99.02,4.78,-0.203,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,12:42:20,9,sun,youn/mature,7,5870.0,0,0.415,0.032,123,0.835,2.52,31.92,6,1.42,1,2.84,30.31,31.92,29.94,150.22,149.41,21.322,22.547,48.69,51.49,400.0,1500,5,99.02,5.22,-0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,12:44:29,9,sun,youn/mature,7,5998.5,0,1.57,0.0338,165,0.879,2.51,31.92,6,1.42,1,2.84,30.31,31.92,29.94,251.03,248.35,21.348,22.636,48.73,51.67,400.0,1499,4,99.01,5.83,-0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,12:46:38,9,sun,youn/mature,7,6127.5,0,2.9,0.0372,209,0.916,2.39,31.48,6,1.42,1,2.84,30.32,31.48,29.94,350.79,345.97,21.396,22.739,48.82,51.88,400.0,1499,6,99.01,6.07,-0.206,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,12:48:47,9,sun,youn/mature,7,6256.5,0,5.19,0.0369,297,0.95,2.49,31.89,6,1.42,1,2.84,30.32,31.89,29.94,550.29,541.73,21.415,22.807,48.87,52.04,400.0,1499,6,99.01,6.16,-0.209,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,12:50:56,9,sun,youn/mature,7,6385.5,0,7.35,0.038,402,0.975,2.48,31.88,6,1.42,1,2.84,30.32,31.88,29.94,750.62,738.52,21.407,22.836,48.84,52.10,400.0,1499,6,99.01,5.75,-0.207,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,12:53:13,9,sun,youn/mature,7,6522.5,0,9.71,0.0383,543,0.989,2.5,31.95,6,1.42,1,2.84,30.34,31.95,29.94,1001.15,985.13,21.438,22.887,48.84,52.14,400.0,1499,6,99,4.35,-0.206,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,12:55:22,9,sun,youn/mature,7,6652.0,0,11.7,0.0377,689,0.978,2.51,32.01,6,1.42,1,2.84,30.36,32.01,29.94,1249.89,1230.57,21.476,22.909,48.87,52.13,400.0,1500,5,99,2.27,-0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,12:57:36,9,sun,youn/mature,7,6785.5,0,13.1,0.037,857,0.962,2.51,32.02,6,1.42,1,2.84,30.37,32.02,29.94,1500.60,1478.83,21.476,22.887,48.86,52.07,400.0,1499,6,98.99,-0.473,-0.205,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
44,13:01:54,9,sun,youn/mature,7,7043.5,0,15,0.0351,1.22E+03,0.913,2.51,31.99,6,1.42,1,2.84,30.36,31.99,29.94,2000.76,1975.50,21.474,22.812,48.88,51.93,400.0,1500,9,98.99,-7.78,-0.197,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
45,13:04:03,9,sun,youn/mature,7,7173.0,0,15.7,0.0343,1.4E+03,0.896,2.53,32.02,6,1.42,1,2.84,30.36,32.02,29.94,2249.93,2223.33,21.473,22.786,48.86,51.85,400.0,1500,9,98.99,-12.4,-0.192,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
