Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
26,13:52:11,11,shade_1,mature,8,17509.0,0,-0.0296,0.0346,96.4,1.05,2.95,31.11,6,1.42,1,2.84,30.30,31.11,30.13,99.95,99.84,14.534,16.080,33.23,36.76,400.2,2001,110,99.09,0.719,0.0212,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
27,13:54:11,11,shade_1,mature,8,17629.0,0,-0.44,0.0366,72.8,1.09,2.91,31.12,6,1.42,1,2.84,30.29,31.12,30.13,55.88,56.45,14.870,16.484,34.02,37.72,399.9,2000,52,99.09,1.18,-0.0438,0.5,-0.22,2.74,1.00,0.00,0.16,111135,OK
28,13:56:12,11,shade_1,mature,8,17750.0,0,0.00875,0.0386,94.1,1.14,2.87,31.13,6,1.42,1,2.84,30.30,31.13,30.12,99.28,99.10,15.189,16.870,34.72,38.56,400.0,2000,104,99.09,0.697,-0.0504,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
29,13:58:18,11,shade_1,mature,8,17876.0,0,0.728,0.0407,114,1.19,2.85,31.19,6,1.42,1,2.84,30.32,31.19,30.13,150.37,149.01,15.500,17.258,35.39,39.41,399.7,2000,247,99.09,0.000465,-0.0603,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,14:00:23,11,shade_1,mature,8,18001.0,0,2.04,0.0432,162,1.24,2.8,31.14,6,1.42,1,2.84,30.32,31.14,30.13,251.33,247.81,15.785,17.616,36.05,40.23,400.0,2000,16,99.09,-1.57,-0.0636,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,14:02:22,11,shade_1,mature,8,18120.0,0,3.18,0.0451,217,1.28,2.76,31.11,6,1.42,1,2.84,30.30,31.11,30.13,349.92,344.49,16.042,17.926,36.67,40.98,400.0,2000,34,99.08,-3.31,-0.0692,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,14:04:30,11,shade_1,mature,8,18248.0,0,5.63,0.0469,327,1.31,2.73,31.10,6,1.42,1,2.84,30.32,31.10,30.13,550.76,541.24,16.299,18.236,37.21,41.63,400.0,2001,72,99.08,-7.72,-0.0749,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,14:06:30,11,shade_1,mature,8,18368.5,0,7.58,0.048,455,1.34,2.72,31.17,6,1.42,1,2.84,30.31,31.17,30.13,751.00,738.15,16.535,18.509,37.76,42.27,400.0,2000,58,99.07,-12.5,-0.0803,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,14:08:29,11,shade_1,mature,8,18487.0,0,9.87,0.0496,625,1.36,2.68,31.09,6,1.42,1,2.84,30.30,31.09,30.12,1000.73,983.91,16.750,18.754,38.28,42.86,399.7,2001,79,99.07,-19.1,-0.091,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,14:10:28,11,shade_1,mature,8,18606.0,0,11.3,0.0508,823,1.38,2.65,31.07,6,1.42,1,2.84,30.31,31.07,30.13,1250.23,1230.68,16.951,18.980,38.71,43.35,400.0,2001,28,99.07,-26.2,-0.0884,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,14:12:27,11,shade_1,mature,8,18725.0,0,12.8,0.0514,1.02E+03,1.38,2.63,31.05,6,1.42,1,2.84,30.30,31.05,30.13,1500.53,1478.26,17.118,19.153,39.13,43.79,400.0,2001,18,99.07,-33.8,-0.0951,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,14:14:27,11,shade_1,mature,8,18845.0,0,13.7,0.0516,1.23E+03,1.37,2.59,30.98,6,1.42,1,2.84,30.29,30.98,30.12,1750.19,1726.13,17.270,19.288,39.50,44.12,400.0,2001,4,99.07,-41.6,-0.0954,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,14:16:56,11,shade_1,mature,8,18994.5,0,14.7,0.0511,1.43E+03,1.35,2.59,31.00,6,1.42,1,2.84,30.28,31.00,30.13,2000.54,1974.48,17.428,19.421,39.88,44.44,399.8,1999,3,99.06,-49.9,-0.0954,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,14:18:55,11,shade_1,mature,8,19113.0,0,15.2,0.0506,1.65E+03,1.32,2.55,30.89,6,1.42,1,2.84,30.27,30.89,30.13,2250.62,2223.36,17.523,19.471,40.13,44.59,399.9,2001,4,99.06,-58.4,-0.0992,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
