Obs,HHMMSS,Tree,light_environment,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
4,9:32:44,11,sun(edge_of_cay),old,1,2693.5,0,-0.2,0.0164,80.4,0.567,3.37,30.7,6,1.42,1,2.84,27.71,30.7,30.13,64.48,64.73,9.849,10.692,26.28,28.52,399.2,1500,5,99.54,0.507,0.206,0.7,-0.22,2.74,1,0,0.16,111135,OK
5,9:36:39,11,sun(edge_of_cay),old,1,2930.5,0,0.157,0.0177,81.5,0.606,3.34,30.63,6,1.42,1,2.84,27.7,30.63,30.13,101.18,100.85,9.878,10.779,26.37,28.77,399.3,1500,6,99.55,0.209,0.21,1,-0.22,2.74,1,0,0.16,111115,OK
7,9:43:44,11,sun(edge_of_cay),old,1,3356,0,1.46,0.0214,128,0.731,3.34,30.7,6,1.42,1,2.84,27.71,30.7,30.13,250.62,248.16,9.943,11.029,26.52,29.42,399.1,1500,5,99.54,-1.48,0.207,0.7,-0.22,2.74,1,0,0.16,111115,OK
8,9:46:34,11,sun(edge_of_cay),old,1,3524.5,0,2.55,0.0237,160,0.808,3.32,30.69,6,1.42,1,2.84,27.71,30.69,30.13,351.02,346.76,9.962,11.164,26.58,29.79,399.1,1500,6,99.54,-2.91,0.209,1,-0.22,2.74,1,0,0.16,111115,OK
9,9:47:20,11,sun(edge_of_cay),old,1,3571,0,2.64,0.0244,159,0.831,3.32,30.7,6,1.42,1,2.84,27.71,30.7,30.13,351.06,346.66,9.966,11.202,26.59,29.89,399.1,1499,5,99.54,-2.95,0.21,1,-0.22,2.74,1,0,0.16,111115,OK
10,9:51:07,11,sun(edge_of_cay),old,1,3798,0,4.76,0.0281,246,0.95,3.31,30.73,6,1.42,1,2.84,27.72,30.73,30.13,549.83,541.89,9.988,11.399,26.63,30.4,399.1,1499,5,99.55,-6.42,0.209,0.7,-0.22,2.74,1,0,0.16,111115,OK
11,9:56:14,11,sun(edge_of_cay),old,1,4105,0,7.39,0.0314,328,1.05,3.28,30.69,6,1.42,1,2.84,27.71,30.69,30.13,748.92,736.64,10.015,11.58,26.72,30.9,399.1,1499,4,99.55,-10.3,0.204,0.7,-0.22,2.74,1,0,0.16,111115,OK
12,10:01:12,11,sun(edge_of_cay),old,1,4403.5,0,9.72,0.0333,472,1.11,3.27,30.7,6,1.42,1,2.84,28.38,30.7,30.13,999.54,983.28,10.045,11.697,25.78,30.02,398.9,1499,6,99.56,-16.7,0.202,0.7,-0.22,2.74,1,0,0.16,111115,OK
13,10:04:56,11,sun(edge_of_cay),old,1,4627,0,11.5,0.0332,576,1.11,3.28,30.73,6,1.42,1,2.84,28.51,30.73,30.13,1201.18,1181.99,10.065,11.714,25.63,29.83,399.1,1499,7,99.56,-21.8,0.198,0.7,-0.22,2.74,1,0,0.16,111115,OK
14,10:08:38,11,sun(edge_of_cay),old,1,4849,0,13,0.0329,779,1.11,3.28,30.76,6,1.42,1,2.84,28.5,30.76,30.13,1499.69,1477.7,10.079,11.721,25.69,29.88,399.1,1500,8,99.57,-29.4,0.207,1,-0.22,2.74,1,0,0.16,111115,OK
15,10:15:45,11,sun(edge_of_cay),old,1,5276.5,0,14.6,0.0313,1.14E+03,1.06,3.32,30.91,6,1.42,1,2.84,28.52,30.91,30.13,1999.87,1974.82,10.124,11.703,25.78,29.8,399.1,1501,525,99.57,-43,0.214,1,-0.22,2.74,1,0,0.16,111115,OK
16,10:19:31,11,sun(edge_of_cay),old,1,5502.5,0,14.9,0.0302,1.38E+03,1.04,3.35,31.04,6,1.42,1,2.84,28.52,31.04,30.13,2300.96,2274.98,10.183,11.724,25.92,29.84,399.2,1501,157,99.57,-51.2,0.217,1,-0.22,2.74,1,0,0.16,111115,OK
17,10:23:55,11,sun(edge_of_cay),old,1,5765,0,14.7,0.0291,1.36E+03,0.993,3.33,31.05,6,1.42,1,2.84,29.75,31.05,30.13,2299.51,2273.97,10.479,11.954,24.85,28.35,399.1,1500,6,99.58,-55.8,0.199,1,-0.22,2.74,1,0,0.16,111115,OK
18,10:28:36,11,sun(edge_of_cay),old,1,6046.5,0,14.9,0.0276,1.44E+03,0.936,3.32,30.93,6,1.42,1,2.84,29.7,30.93,30.13,2448.67,2422.85,10.416,11.806,24.76,28.07,399.1,1499,115,99.58,-60.6,0.198,0.7,-0.22,2.74,1,0,0.16,111115,OK
