Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
3,12:09:07,caferana1,sh,y2,2,411.5,0,-1.21,0.0326,109,0.661,1.96,31.10,6,1.42,1,2.84,30.13,31.10,30.03,49.92,52.26,24.591,25.879,56.93,59.91,300.2,1499,5,99.35,4.86,-0.493,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
4,12:11:26,caferana1,sh,y2,2,551.0,0,-0.899,0.0378,136,0.757,1.95,31.13,6,1.42,1,2.84,30.14,31.13,30.03,100.12,101.77,24.673,26.148,57.07,60.48,300.2,1500,4,99.35,5.26,-0.498,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
5,12:13:40,caferana1,sh,y2,2,685.0,0,-0.686,0.0432,172,0.858,1.93,31.17,6,1.42,1,2.84,30.16,31.17,30.03,150.06,151.17,24.734,26.404,57.14,61.00,300.2,1499,4,99.35,5.59,-0.51,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
6,12:15:17,caferana1,sh,y2,2,782.0,0,-0.144,0.047,247,0.93,1.93,31.22,6,1.42,1,2.84,30.18,31.22,30.03,250.10,249.92,24.780,26.589,57.17,61.35,300.2,1499,3,99.34,5.95,-0.518,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
7,12:16:39,caferana1,sh,y2,2,864.0,0,0.286,0.0493,329,0.974,1.92,31.25,6,1.42,1,2.84,30.20,31.25,30.03,350.38,349.13,24.826,26.721,57.23,61.60,300.2,1499,4,99.34,6.01,-0.525,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
8,12:18:52,caferana1,sh,y2,2,997.0,0,0.717,0.0497,507,0.977,1.91,31.24,6,1.42,1,2.84,30.19,31.24,30.03,550.08,547.57,24.883,26.783,57.39,61.78,300.2,1499,4,99.34,5.47,-0.518,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
9,12:21:11,caferana1,sh,y2,2,1136.0,0,1.38,0.0428,671,0.851,1.93,31.23,6,1.42,1,2.84,30.18,31.23,30.03,749.94,745.91,24.942,26.597,57.55,61.36,300.2,1499,7,99.34,4.22,-0.515,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
10,12:23:15,caferana1,sh,y2,2,1259.5,0,1.8,0.0358,883,0.726,1.97,31.31,6,1.42,1,2.84,30.21,31.31,30.03,1000.28,995.24,25.017,26.431,57.64,60.89,300.2,1500,6,99.34,1.78,-0.514,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
11,12:25:59,caferana1,sh,y2,2,1423.5,0,2.09,0.0306,1.1E+03,0.628,1.99,31.34,6,1.42,1,2.84,30.24,31.34,30.03,1249.92,1244.18,25.100,26.322,57.74,60.55,300.2,1499,7,99.34,-1.31,-0.515,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
12,12:28:10,caferana1,sh,y2,2,1554.5,0,2.61,0.0289,1.3E+03,0.597,2,31.39,6,1.42,1,2.84,30.26,31.39,30.03,1500.14,1493.14,25.179,26.341,57.82,60.49,300.2,1499,5,99.33,-5.39,-0.522,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
13,12:29:48,caferana1,sh,y2,2,1652.5,0,3.13,0.0287,1.51E+03,0.592,2,31.40,6,1.42,1,2.84,30.28,31.40,30.03,1749.93,1741.62,25.226,26.377,57.89,60.53,300.2,1501,4,99.33,-10.2,-0.523,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
14,12:32:13,caferana1,sh,y2,2,1797.5,0,3.08,0.0285,1.75E+03,0.587,1.99,31.40,6,1.42,1,2.84,30.28,31.40,30.03,1999.90,1991.41,25.268,26.410,57.98,60.61,300.2,1501,5,99.33,-15.4,-0.519,1.0,-0.22,2.74,1.00,0.00,0.16,111115,OK
