Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
40,08:16:27,118,sun,y/m,3,6904.0,0,-0.738,0.045,75.6,1.06,2.31,31.09,6,1.25,1,2.5,29.74,31.09,29.55,50.39,51.42,20.870,22.433,49.39,53.08,399.3,2000,7,99.32,6.1,0.204,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
41,08:17:57,118,sun,y/m,3,6994.0,0,0.0564,0.0514,93.4,1.19,2.27,31.02,6,1.25,1,2.5,29.73,31.02,29.55,99.03,98.77,20.879,22.628,49.44,53.58,399.3,2001,7,99.32,6.14,0.206,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
42,08:19:32,118,sun,y/m,3,7089.0,0,1.11,0.0588,112,1.34,2.23,30.95,6,1.25,1,2.5,29.72,30.95,29.55,149.56,147.59,20.878,22.839,49.47,54.12,399.3,2001,7,99.32,6.11,0.203,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
43,08:21:22,118,sun,y/m,3,7199.5,0,3.39,0.0697,158,1.53,2.16,30.79,6,1.25,1,2.5,29.71,30.79,29.55,250.38,244.73,20.872,23.115,49.49,54.81,399.2,1999,7,99.32,5.96,0.197,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
44,08:22:59,118,sun,y/m,3,7296.0,0,6.28,0.0789,200,1.72,2.15,30.85,6,1.25,1,2.5,29.70,30.85,29.55,350.92,340.61,20.854,23.371,49.45,55.43,399.3,2001,8,99.32,5.43,0.185,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
45,08:24:46,118,sun,y/m,3,7403.5,0,11.8,0.0914,304,1.93,2.1,30.77,6,1.25,1,2.5,29.69,30.77,29.55,551.10,531.80,20.842,23.676,49.45,56.18,399.2,2001,8,99.32,4.06,0.186,0.8,-0.207,2.49,1.00,0.00,0.16,111114,OK
46,08:26:06,118,sun,y/m,3,7483.5,0,16.1,0.1,437,2.08,2.06,30.71,6,1.25,1,2.5,29.69,30.71,29.55,749.79,723.27,20.849,23.898,49.48,56.71,399.3,2001,9,99.32,4.06,0.186,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
47,08:28:07,118,sun,y/m,3,7604.5,0,20,0.114,599,2.3,2.03,30.70,6,1.25,1,2.5,29.69,30.70,29.55,950.67,917.38,20.853,24.228,49.48,57.48,399.2,2001,9,99.32,4.06,0.186,0.5,-0.207,2.49,1.00,0.00,0.16,111114,OK
48,08:29:38,118,sun,y/m,3,7695.5,0,22,0.124,786,2.47,2,30.66,6,1.25,1,2.5,29.70,30.66,29.55,1150.31,1113.06,20.856,24.470,49.48,58.05,399.2,2001,9,99.32,4.06,0.186,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
49,08:31:01,118,sun,y/m,3,7778.5,0,22.5,0.132,988,2.58,1.98,30.66,6,1.25,1,2.5,29.69,30.66,29.54,1350.34,1311.43,20.846,24.631,49.47,58.45,399.2,2001,8,99.32,4.06,0.186,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
50,08:32:23,118,sun,y/m,3,7861.0,0,21.8,0.139,1.2E+03,2.68,1.95,30.60,6,1.25,1,2.5,29.68,30.60,29.54,1550.49,1511.65,20.846,24.770,49.49,58.80,399.2,1999,8,99.32,4.06,0.186,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
51,08:33:41,118,sun,y/m,3,7939.0,0,20.7,0.145,1.42E+03,2.76,1.93,30.55,6,1.25,1,2.5,29.67,30.55,29.55,1749.92,1711.75,20.831,24.872,49.48,59.08,399.2,2000,10,99.32,4.06,0.186,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
52,08:34:47,118,sun,y/m,3,8005.0,0,18.7,0.15,1.7E+03,2.81,1.91,30.49,6,1.25,1,2.5,29.67,30.49,29.55,2000.38,1964.04,20.824,24.948,49.48,59.28,399.1,2000,9,99.32,4.06,0.186,1.0,-0.207,2.49,1.00,0.00,0.16,111114,OK
