Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
29,11:59:31,504,sun,mature,6,6528.0,0,5.82,0.0882,267,2.45,2.75,30.96,6,1.42,1,2.84,30.18,30.96,30.13,400.15,389.99,14.048,17.655,32.36,40.67,400.5,1999,45,99.15,-3.64,-0.0514,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
30,12:01:54,504,sun,mature,6,6679.0,0,-0.59,0.0779,107,2.21,2.81,31.07,6,1.42,1,2.84,30.19,31.07,30.13,98.33,98.88,14.116,17.380,32.49,40.00,400.0,1999,48,99.15,1.14,-0.0433,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
31,12:03:54,504,sun,mature,6,6799.0,0,-1.62,0.0715,84.5,2.06,2.84,31.11,6,1.42,1,2.84,30.20,31.11,30.13,48.43,50.71,14.153,17.189,32.56,39.55,400.0,2001,50,99.15,1.64,-0.0399,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
32,12:05:53,504,sun,mature,6,6917.5,0,-0.538,0.0664,108,1.93,2.86,31.15,6,1.42,1,2.84,30.21,31.15,30.13,98.80,99.32,14.194,17.041,32.64,39.18,400.0,2000,53,99.14,1.11,-0.0335,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
33,12:08:32,504,sun,mature,6,7076.5,0,0.44,0.0606,130,1.78,2.89,31.20,6,1.42,1,2.84,30.22,31.20,30.13,149.69,148.63,14.275,16.904,32.80,38.84,400.2,2000,58,99.14,0.472,-0.025,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
34,12:10:34,504,sun,mature,6,7199.0,0,2.13,0.057,176,1.7,2.92,31.28,6,1.42,1,2.84,30.24,31.28,30.13,251.31,247.49,14.342,16.844,32.91,38.66,400.0,1999,57,99.13,-0.963,-0.0242,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
35,12:12:33,504,sun,mature,6,7317.5,0,3.7,0.0544,220,1.63,2.93,31.32,6,1.42,1,2.84,30.26,31.32,30.13,350.37,343.97,14.421,16.823,33.07,38.57,400.1,2001,57,99.13,-2.75,-0.0172,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
36,12:14:32,504,sun,mature,6,7436.5,0,6.67,0.0521,311,1.57,2.94,31.36,6,1.42,1,2.84,30.27,31.36,30.13,550.95,539.68,14.490,16.801,33.20,38.50,400.0,2000,64,99.12,-6.89,-0.0134,0.8,-0.22,2.74,1.00,0.00,0.16,111115,OK
37,12:16:32,504,sun,mature,6,7556.5,0,9.25,0.0503,408,1.53,2.97,31.46,6,1.42,1,2.84,30.29,31.46,30.13,750.82,735.25,14.540,16.794,33.26,38.42,400.0,1999,63,99.12,-11.6,-0.00648,0.2,-0.22,2.74,1.00,0.00,0.16,111115,OK
38,12:18:31,504,sun,mature,6,7675.5,0,12.4,0.0486,528,1.48,2.97,31.48,6,1.42,1,2.84,30.30,31.48,30.13,1000.52,979.74,14.586,16.768,33.35,38.34,400.0,1999,56,99.12,-18,-0.0134,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
39,12:20:31,504,sun,mature,6,7795.5,0,14.9,0.0473,668,1.45,2.99,31.52,6,1.42,1,2.84,30.32,31.52,30.13,1250.71,1225.72,14.630,16.765,33.41,38.29,399.9,2001,54,99.11,-24.8,-0.00282,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
40,12:22:31,504,sun,mature,6,7916.0,0,16.8,0.0459,822,1.41,2.99,31.56,6,1.42,1,2.84,30.33,31.56,30.13,1500.70,1472.41,14.701,16.779,33.56,38.30,400.0,2000,50,99.1,-32,-0.00113,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
41,12:24:30,504,sun,mature,6,8034.5,0,18.6,0.0443,972,1.37,3.02,31.66,6,1.42,1,2.84,30.36,31.66,30.13,1749.76,1718.36,14.771,16.797,33.66,38.28,400.0,1999,56,99.1,-39.6,-0.00168,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
42,12:26:29,504,sun,mature,6,8153.5,0,19.9,0.0431,1.14E+03,1.34,3.02,31.67,6,1.42,1,2.84,30.36,31.67,30.13,1999.64,1965.85,14.841,16.811,33.81,38.30,399.7,1999,52,99.09,-47.3,0.00201,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
43,12:28:35,504,sun,mature,6,8279.5,0,20.8,0.0413,1.31E+03,1.29,3.03,31.71,6,1.42,1,2.84,30.37,31.71,30.13,2249.66,2214.11,14.897,16.797,33.92,38.24,399.7,1999,49,99.09,-55.5,0.0108,0.5,-0.22,2.74,1.00,0.00,0.16,111115,OK
