Obs,HHMMSS,tree_,sun_or_shade,leaf_age,leaf_no,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
14,13:34:08,9,shade,old,7,2900.5,0,1.95,0.0443,215,1.15,2.53,31.06,6,1.42,1,2.84,30.31,31.06,30.13,299.95,297.2,18.795,20.142,43.06,46.14,500.4,999,58,99.35,-4.63,0.0543,1,-0.22,2.74,1,0,0.16,111115,OK
15,13:36:37,9,shade,old,7,3049.5,0,1.05,0.0431,151,1.11,2.5,30.99,6,1.42,1,2.84,30.28,30.99,30.13,199.02,197.5,18.864,20.164,43.28,46.26,500.4,1000,13,99.35,-2.92,0.0602,0.7,-0.22,2.74,1,0,0.16,111115,OK
16,13:39:06,9,shade,old,7,3199,0,0.0239,0.0422,93.9,1.08,2.48,30.89,6,1.42,1,2.84,30.24,30.89,30.13,98.93,98.78,18.857,20.121,43.37,46.28,500.5,1001,23,99.34,-1.43,0.0551,1,-0.22,2.74,1,0,0.16,111115,OK
17,13:41:35,9,shade,old,7,3348,0,-0.359,0.042,62,1.06,2.47,30.85,6,1.42,1,2.84,30.22,30.85,30.13,50.15,50.52,18.883,20.134,43.48,46.36,500.4,1000,25,99.33,-0.902,0.0521,1,-0.22,2.74,1,0,0.16,111135,OK
18,13:44:08,9,shade,old,7,3500.5,0,1.27,0.0428,145,1.08,2.46,30.82,6,1.42,1,2.84,30.22,30.82,30.13,201.66,199.87,18.894,20.164,43.5,46.42,500.5,1001,12,99.32,-2.98,0.0539,1,-0.22,2.74,1,0,0.16,111115,OK
19,13:46:37,9,shade,old,7,3649.5,0,3.03,0.0433,270,1.09,2.46,30.81,6,1.42,1,2.84,30.22,30.81,30.13,400.6,396.44,18.939,20.221,43.61,46.56,500.4,1001,13,99.32,-6.84,0.0624,1,-0.22,2.74,1,0,0.16,111115,OK
20,13:49:16,9,shade,old,7,3808.5,0,4.48,0.0432,405,1.08,2.45,30.81,6,1.42,1,2.84,30.22,30.8,30.13,599.74,593.71,18.996,20.268,43.74,46.67,500.2,1000,12,99.31,-11.3,0.0645,1,-0.22,2.74,1,0,0.16,111115,OK
21,13:52:04,9,shade,old,7,3976.5,0,5.18,0.042,565,1.05,2.44,30.78,6,1.42,1,2.84,30.2,30.78,30.13,799.66,792.45,19.018,20.255,43.82,46.67,500.4,1001,13,99.31,-16.3,0.0687,1,-0.22,2.74,1,0,0.16,111115,OK
22,13:54:33,9,shade,old,7,4125.5,0,5.78,0.0403,725,1.01,2.45,30.76,6,1.42,1,2.84,30.19,30.76,30.13,1000.57,992.44,18.999,20.187,43.8,46.53,500.4,1001,14,99.31,-21.6,0.0706,1,-0.22,2.74,1,0,0.16,111115,OK
23,13:57:02,9,shade,old,7,4274.5,0,6.21,0.0384,887,0.968,2.46,30.77,6,1.42,1,2.84,30.19,30.77,30.13,1199.92,1191.1,18.986,20.123,43.77,46.39,500.4,1001,8,99.31,-27,0.0756,1,-0.22,2.74,1,0,0.16,111115,OK
24,13:59:31,9,shade,old,7,4424,0,7.03,0.0368,1.61E+03,0.93,2.46,30.76,6,1.42,1,2.84,30.18,30.76,30.13,1998.86,1988.21,18.935,20.028,43.67,46.19,500.4,1001,8,99.31,-50.7,0.0798,0.7,-0.22,2.74,1,0,0.16,111115,OK
