Obs,HHMMSS,tree_number,sun_or_shade,leaf_age,leaf_number,FTime,EBal,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,column_for_Exclude_pts
8,10:59:34,11,shade,old,l2,2727.5,0,0.708,0.00573,142,0.142,2.38,31.44,6,1.42,1,2.84,30.05,31.44,29.95,351.06,349.92,22.424,22.632,52.13,52.62,400.1,1500,3,99.33,5.44,-0.192,1,-0.22,2.74,1,0,0.16,111115,OK
9,11:04:47,11,shade,old,l2,3041,0,2.83,0.0133,190,0.32,2.32,31.37,6,1.42,1,2.84,30.05,31.37,29.95,550.89,546.38,22.547,23.016,52.41,53.5,400,1499,5,99.33,5.25,-0.201,0.8,-0.22,2.74,1,0,0.16,111115,OK
10,11:08:16,11,shade,old,l2,3250,0,5.82,0.0198,249,0.469,2.29,31.36,6,1.42,1,2.84,30.06,31.36,29.95,750.78,741.54,22.635,23.321,52.59,54.19,400,1499,6,99.33,4.6,-0.21,0.5,-0.22,2.74,1,0,0.16,111115,OK
11,11:12:01,11,shade,old,l2,3476,0,9.59,0.0278,404,0.618,2.15,30.93,6,1.42,1,2.84,30.08,30.93,29.95,999.68,984.39,22.705,23.609,52.68,54.78,400.1,1500,5,99.32,3.02,-0.215,0.8,-0.22,2.74,1,0,0.16,111115,OK
12,11:15:20,11,shade,old,l2,3674.5,0,12.9,0.0325,556,0.75,2.24,31.37,6,1.42,1,2.84,30.09,31.37,29.94,1250.95,1230.22,22.766,23.864,52.79,55.34,400,1500,3,99.32,0.956,-0.218,0.5,-0.22,2.74,1,0,0.16,111115,OK
13,11:19:27,11,shade,old,l2,3921,0,14.9,0.0371,783,0.837,2.19,31.25,6,1.42,1,2.84,30.06,31.25,29.95,1499.86,1475.59,22.792,24.017,52.94,55.79,400,1500,4,99.31,-2.22,-0.226,1,-0.22,2.74,1,0,0.16,111115,OK
14,11:24:49,11,shade,old,l2,4243,0,16.1,0.0409,1.04E+03,0.912,2.17,31.23,6,1.42,1,2.84,30.07,31.23,29.94,1750.64,1724.13,22.863,24.198,53.08,56.18,400,1500,6,99.3,-5.74,-0.229,0.5,-0.22,2.74,1,0,0.16,111115,OK
15,11:27:41,11,shade,old,l2,4415.5,0,16.9,0.0422,1.26E+03,0.942,2.17,31.27,6,1.42,1,2.84,30.08,31.27,29.95,1999.68,1971.47,22.895,24.273,53.11,56.31,400,1499,5,99.3,-9.79,-0.225,0.5,-0.22,2.74,1,0,0.16,111115,OK
16,11:36:58,11,shade,old,l2,4972.5,0,16.9,0.0458,1.56E+03,0.972,2.07,30.95,6,1.42,1,2.84,30.12,30.95,29.94,2249.55,2221.01,23.081,24.503,53.42,56.71,400.1,1500,5,99.29,-14.6,-0.235,0.5,-0.22,2.74,1,0,0.16,111115,OK
17,11:39:14,11,shade,old,l2,5107.5,0,16.9,0.0467,1.57E+03,0.99,2.06,30.97,6,1.42,1,2.84,30.13,30.97,29.94,2249.34,2220.65,23.146,24.594,53.54,56.89,400,1499,5,99.29,-14.6,-0.235,1,-0.22,2.74,1,0,0.16,111115,OK
