"","X","fname","Obs","HHMMSS","plot","study","FTime","EBal.","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","QC"
"1",1,"b2_pop_a18_aci_dl_06_23_2016",1,"7:52:03",NA,NA,133.5,0,16.2,0.234,246,6,2.39,28.02,6,1.42,1,2.84,25.92,28.02,24.94,400.31,378.12,8.858,15.95,23.35,42.04,499.3,1800,167,88.51,-0.227,0.116,1,-0.22,2.74,1,0,0.16,111115,1
"2",2,"b2_pop_a18_aci_dl_06_23_2016",2,"7:53:33",NA,NA,223.5,0,12,0.233,185,5.97,2.38,28.02,6,1.42,1,2.84,25.92,28.02,24.94,299.51,283.06,8.937,16.003,23.56,42.18,499.2,1800,159,88.52,0.371,0.113,1,-0.22,2.74,1,0,0.16,111115,1
"3",3,"b2_pop_a18_aci_dl_06_23_2016",3,"7:55:03",NA,NA,313.5,0,6.92,0.234,132,5.97,2.37,28.01,6,1.42,1,2.84,25.91,28.01,24.93,198.96,189.29,9.018,16.083,23.79,42.42,499.3,1799,152,88.52,0.759,0.119,1,-0.22,2.74,1,0,0.16,111115,1
"4",4,"b2_pop_a18_aci_dl_06_23_2016",4,"7:56:33",NA,NA,404,0,1.67,0.236,81.9,5.98,2.35,27.96,6,1.42,1,2.84,25.88,27.96,24.93,100.59,97.88,9.103,16.171,24.04,42.71,499.3,1800,147,88.52,1.13,0.119,1,-0.22,2.74,1,0,0.16,111115,1
"5",5,"b2_pop_a18_aci_dl_06_23_2016",5,"7:58:03",NA,NA,493.5,0,-0.992,0.239,55.3,6.01,2.34,27.95,6,1.42,1,2.84,25.89,27.95,24.94,49.58,50.41,9.178,16.285,24.24,43.01,499.3,1799,141,88.52,1.14,0.131,1,-0.22,2.74,1,0,0.16,111115,1
"8",8,"b2_pop_a18_aci_dl_06_23_2016",8,"8:03:46",NA,NA,837,0,23.3,0.26,394,6.28,2.26,27.79,6,1.42,1,2.84,25.87,27.79,24.93,600.59,568.26,9.369,16.791,24.76,44.38,499.3,1800,127,88.53,-1.5,0.116,1,-0.22,2.74,1,0,0.16,111115,1
"9",9,"b2_pop_a18_aci_dl_06_23_2016",9,"8:05:30",NA,NA,941,0,26.9,0.262,558,6.29,2.25,27.78,6,1.42,1,2.84,25.88,27.78,24.94,800.72,762.64,9.454,16.889,24.98,44.62,499.3,1799,119,88.53,-3.4,0.111,1,-0.22,2.74,1,0,0.16,111115,1
"10",10,"b2_pop_a18_aci_dl_06_23_2016",10,"8:08:06",NA,NA,1096.5,0,29.7,0.261,916,6.27,2.25,27.85,6,1.42,1,2.84,25.9,27.85,24.93,1200.07,1155.68,9.635,17.039,25.42,44.96,499.3,1799,112,88.53,-7.51,0.0968,1,-0.22,2.74,1,0,0.16,111115,1
"11",11,"b2_pop_a18_aci_dl_06_23_2016",11,"8:10:50",NA,NA,1261,0,32.4,0.232,1250,5.78,2.32,28.02,6,1.42,1,2.84,25.93,28.02,24.94,1599.78,1550.07,9.913,16.745,26.12,44.12,499.3,1799,108,88.53,-12.8,0.101,1,-0.22,2.74,1,0,0.16,111115,1
"12",12,"b2_pop_a18_aci_dl_06_23_2016",12,"8:14:01",NA,NA,1452,0,33.6,0.175,1550,4.7,2.45,28.22,6,1.42,1,2.84,25.91,28.22,24.93,1999.9,1948.55,10.139,15.696,26.74,41.39,499.3,1801,105,88.53,-18,0.119,0.7,-0.22,2.74,1,0,0.16,111115,1
"14",14,"b2_pop_a18_aci_mb_05_24_2016",1,"11:03:00",NA,NA,552,0,17.7,0.212,222,5.6,2.43,27.36,6,1.42,1,2.84,25.95,27.36,24.97,401.01,377.26,7.305,13.928,19.13,36.48,500,1800,0,88.12,2.71,-0.103,1,-0.22,2.74,1,0,0.16,111115,1
