uniquefield,Glucose,Fructose,Sucrose,LDP_Fructan,HDP_Fructan,Starch,Amino_Acids,Protein,ABA,Proline,LMA,RWC,Elemental_C,Elemental_N
2018-03-19_17,22.36679734,13.56208982,29.32535652,NA,NA,35.06428706,28.79373059,33.24544142,1084.104748,13.62036923,56.68466302,94.0625,0.93189586,3.950921013
2018-03-19_18,3.456827888,1.656822834,7.261384026,NA,NA,6.477563345,17.43211647,9.153106964,131.0064771,10.43507233,61.59284267,80.83832335,25.2900212,4.724171033
2018-03-19_19,5.653529872,2.790983101,12.9172423,NA,NA,13.36938834,35.2892772,13.62819949,1757.715469,5.531815648,65.73111179,85.52966102,27.07464495,4.844382939
2018-03-19_20,3.915122755,1.358777898,6.678738817,NA,NA,3.802817444,16.07612498,9.206458933,1499.810796,10.22577222,54.56740905,82.11356467,22.14345459,4.043445011
2018-03-19_21,3.431014731,1.581831467,6.795191513,NA,NA,4.539602001,19.95610315,7.369129747,1104.3509,9.696696391,66.01982824,78.69565217,1.114414701,4.779835564
2018-03-19_22,3.36406709,2.011844043,7.123906778,NA,NA,8.06482325,23.91215572,12.6017664,294.4749061,9.377240595,62.65146965,78.51485149,26.10060226,4.554761844
2018-03-19_23,4.703975653,2.490340052,8.255016096,NA,NA,9.046018577,16.13466212,8.083061856,136.858917,2.027023987,56.49218539,81.71339564,24.31423659,4.027892818
2018-03-19_24,5.362376111,2.240993002,10.93818013,NA,NA,10.2170612,23.6213878,11.07380523,301.7114726,3.703070178,60.34173805,83.05405405,24.68580504,4.024793928
2018-03-19_25,4.576898555,2.856721916,8.938775029,NA,NA,12.28515228,15.63246751,10.21839991,237.6104344,2.54738834,55.52979722,85.92682927,22.58396853,3.39842359
2018-03-19_26,NA,NA,NA,NA,NA,2.451628155,NA,8.423520403,816.4945379,4.475895386,55.4335584,82.05607477,23.25992111,3.819372174
2018-03-19_27,2.158624437,1.446278373,4.187731409,NA,NA,2.625923065,12.64173663,8.576657878,731.0126252,1.664717129,45.71343792,83.9527027,19.13107377,3.081085716
2018-03-19_28,5.170604732,3.130824883,7.044355987,NA,NA,7.366913644,16.35675115,9.077048923,200.3571436,3.683966961,51.87272219,83.36419753,0.993881357,3.657026914
2018-03-19_29,3.771513702,1.874044076,6.301473203,NA,NA,5.572037105,22.10491519,10.0875125,9.153726253,10.36099248,60.82293214,80.25,0.937889614,4.482650099
2018-03-19_30,5.473165617,3.014879365,9.392508791,NA,NA,8.595814077,22.8300332,10.18307292,2758.017107,3.085276418,51.87272219,83.36419753,21.14332156,3.714086909
2018-03-19_31,4.047055086,2.816371669,5.680077315,NA,NA,11.79492072,19.67596688,10.65193788,97.78886523,7.87993123,53.98997615,82.8440367,22.36264812,3.795495324
2018-03-19_32,3.020544683,2.000620504,5.943019732,NA,NA,6.812539399,11.95366897,10.1241574,95.14069424,2.603342631,50.62161757,80.5904059,21.67111448,3.34102676
2018-03-29_33,0.021413034,0.353315053,4.282606702,0.235543369,NA,3.199154215,2.176409992,7.283747441,79.72410944,1.462418714,32.43248122,81.38121547,14.52975159,1.404326437
2018-03-29_34,0.088173318,0.239327579,7.960791034,0.91952175,NA,1.194273611,3.788969903,6.622434999,1436.577272,0.33706922,31.59259259,84.2037037,14.11872963,1.592266667
2018-03-29_35,0.331140326,0.490087683,12.50385871,0.052982452,NA,3.368246221,3.30205269,6.818181818,NA,0.474470233,36.90740741,82.51754386,16.36474444,1.605472222
2018-03-29_36,0.222984956,0.334477435,15.23730535,NA,NA,2.909244815,2.627070397,6.85364659,2.580174786,0.537235265,31.83333333,83.56596558,14.26133333,1.63305
2018-03-29_37,0.0623445,0.9767305,7.190399002,0.041563,NA,4.086466974,4.052414744,10.61154569,NA,1.039234477,53.68518519,83.74088615,23.82011667,2.313831481
2018-03-29_38,0.720402004,1.307396229,13.12732541,0.346860224,NA,4.028124001,3.482477446,7.637523295,12.4051032,0.442290928,34.72222222,82.89233577,15.83680556,1.875
2018-03-29_39,0.637166855,1.019466968,7.391135522,0.325663059,NA,5.304117207,3.898299719,7.855026531,65.79210006,0.659771721,42.42592593,82.07355243,19.15954815,2.138266667
2018-03-29_40,0.39433955,0.701048088,6.966665372,0.087631011,NA,4.464366244,2.033006692,6.796645457,29.01623544,0.316427828,32.42592593,82.74876847,14.55275556,1.559687037
2018-03-29_41,0.290176525,0.448454629,11.21136574,1.239845152,NA,2.95645041,2.905837263,7.611560953,14.3945502,0.451656781,36.51851852,82.36135957,15.78695556,1.81497037
2018-03-29_42,0.505583936,1.409180757,7.443916669,0.075299735,NA,4.809588144,4.243080781,6.1470038,318.9569584,1.770792456,33.55555556,81.54786151,14.45237778,1.637511111
2018-03-29_43,NA,0.34032741,NA,0.313101217,NA,3.51464544,2.997607246,8.167748119,393.5998984,0.779266183,38.2037037,81.98253275,17.07323519,1.929287037
2018-03-29_44,0.280395839,0.892168578,4.562805014,0.012745265,NA,4.13037012,3.37650428,7.483128258,268.4303548,0.523401775,35.91666667,83.07591623,15.62734167,1.7671
2018-03-29_45,0.150890506,0.582006236,10.43300067,NA,NA,3.575682028,2.072534838,7.490876187,55.21288506,0.470258378,34.63888889,80.84485407,15.43508889,1.749263889
2018-03-29_46,0.961756829,1.156543022,16.41073678,0.560010305,NA,4.930753227,2.915146776,8.118957972,65.68505711,0.467245595,33.25,82.39705882,14.600075,1.6226
2018-03-29_47,0.012641427,0.290752825,NA,0.278111398,NA,3.595688428,2.124762574,7.700622963,278.4617376,0.461247825,34.62962963,82.8125,15.28898148,1.748796296
2018-03-29_48,0.211037473,0.49242077,14.13951067,0.246210385,NA,2.63935703,3.294426363,6.916279302,86.00826364,0.620193271,29.38888889,84.62209302,13.01046111,1.304866667
2018-03-29_17,10.07675986,2.002222645,12.83391892,NA,NA,7.270181021,24.00914326,15.5190575,136.691806,11.3126802,91.33063702,79.45887446,37.97527887,5.854293833
2018-03-29_18,3.645081332,1.196477079,7.151037422,NA,NA,5.463623395,3.673032599,10.40527096,104.5664864,2.718003199,65.8273506,82,26.23219922,3.508597787
2018-03-29_19,4.549795466,1.209772205,8.258010267,NA,NA,4.672471059,6.70752549,13.29016357,127.102988,11.08006015,70.83176907,79.66850829,28.9560272,4.313654736
2018-03-29_20,8.752469637,1.189359986,11.98508909,NA,NA,7.763864164,29.32906828,12.09208079,354.5015505,20.49799125,92.29302519,76.89156627,37.68324218,6.146715478
2018-03-29_21,5.049787221,1.359558098,8.01861817,NA,NA,5.258024557,11.07453597,11.04228799,49.48871305,44.84553049,75.16251582,78.66120219,29.81697003,4.84798227
2018-03-29_22,5.328127264,1.027760589,9.358030625,NA,NA,3.817288865,22.35330253,11.12133459,70.80059615,6.253598307,75.83618754,78.17174515,30.40272758,5.17202799
2018-03-29_23,9.335760701,1.700221321,13.29263941,NA,NA,9.451801201,16.40723127,9.346007422,409.4627075,9.998303876,76.7985757,80.58394161,31.97892692,4.67703326
2018-03-29_24,4.021638458,1.090203196,7.897916489,NA,NA,5.020978318,8.419124812,12.0671841,630.1305016,6.550690685,62.55523084,80.93841642,25.59760046,3.790846989
2018-03-29_25,2.079790889,1.000405744,6.66059614,NA,NA,5.601731417,5.029593479,8.065268185,3620.137777,1.594252692,64.38376835,81.46814404,24.38213308,3.515353752
2018-03-29_26,10.76924148,1.983807641,17.82277976,NA,NA,12.28153281,22.62946221,14.86411866,278.2012743,7.62211428,91.33063702,78.43181818,35.18969444,5.370241457
2018-03-29_27,9.069501755,0.59705184,7.534225596,NA,NA,3.482348938,13.95018054,8.663834041,134.0286636,22.75391358,69.8693809,80.79365079,28.99579308,4.800026468
2018-03-29_28,19.47851586,1.593696751,19.80315777,NA,NA,15.60988309,25.86439424,10.09309241,2441.347833,27.24026925,90.36824886,76.34760705,38.74086828,5.611868254
2018-03-29_29,9.209866024,2.72109678,7.837689015,NA,NA,3.756127721,8.759231301,10.34092468,602.0135515,10.53726115,65.34615652,77.95454545,25.8444049,4.031857857
2018-03-29_30,12.72470901,2.295548842,14.34009523,NA,NA,9.771277353,23.97946061,11.45499466,1255.228211,7.205997721,73.14150067,80.80808081,29.60767947,4.637171143
2018-03-29_31,6.101257948,1.937366268,13.6193957,NA,NA,8.816613614,20.84361569,13.05932217,1.360191595,11.14783127,82.09171062,78.40506329,32.88593928,5.25386948
2018-03-29_32,6.061361306,1.581224688,8.828504511,NA,NA,4.681101913,22.8036176,10.05782297,155.9591534,19.71148823,70.63929144,79.61111111,28.95504556,4.824663605
2018-04-03_65,1.097462189,0.462089343,2.830297224,NA,NA,7.163935705,2.453316711,4.756516663,191.8306901,1.08990743,30.79642134,91.79487179,12.2138607,1.820068501
2018-04-03_66,1.138646235,0.474435931,2.789683276,NA,NA,0.819861162,3.101957831,3.732960128,333.1898124,1.218270034,27.7167792,91,0.671854728,1.893056019
2018-04-03_67,0.896430692,0.436101418,2.059367806,NA,NA,1.163946299,2.571997366,5.514029523,381.6778064,0.474535828,27.04310749,91.27329193,10.28178947,1.80647958
2018-04-03_68,0.682439415,0.318471727,1.728846518,NA,NA,1.188679519,3.211226755,5.56483592,315.587791,0.429841392,27.42806275,90.68627451,11.24276292,2.210701858
