SampleID,SampleID_num,Record,A,Ci,Pa,Qin,Tleaf,gsw
102,102,1,22.87418112,203.3219041,100.571,1800.05,25.238,0.230772239
102,102,2,17.14988738,161.7898011,100.571,1800.15,25.1616,0.250444333
102,102,3,10.57641827,118.5910687,100.568,1800.04,25.0418,0.267534783
102,102,4,3.756450702,70.3454866,100.561,1800.11,25.1689,0.269266201
102,102,5,0.039529621,48.23692368,100.566,1800.04,24.9063,0.300253169
102,102,6,-1.839325304,36.16358095,100.567,1799.77,24.9485,0.30165919
102,102,7,24.37156799,228.3398183,100.564,1799.86,24.9438,0.29719974
102,102,8,25.17511577,223.1838391,100.56,1800.02,25.0347,0.296945075
102,102,9,36.53051795,352.5051915,100.57,1799.79,24.8603,0.312196866
102,102,10,43.30800723,489.3048777,100.554,1800.18,24.9651,0.293228932
102,102,11,47.62122807,630.4075518,100.554,1800.09,25.2035,0.267570281
102,102,12,48.96741325,783.7992393,100.564,1799.91,25.1782,0.241443322
102,102,13,49.80047973,974.1342693,100.563,1800.14,25.3749,0.187039445
102,102,14,50.1966255,1210.320994,100.564,1800.11,25.4381,0.167042008
104,104,1,24.51384772,234.108073,100.504,1799.83,25.244,0.305911958
104,104,2,18.19661713,178.4913774,100.508,1799.97,25.2641,0.311912536
104,104,3,11.26680713,126.0430575,100.513,1799.88,25.256,0.32147567
104,104,4,3.858234935,74.06384672,100.513,1799.84,25.2392,0.327502053
104,104,5,-0.043260518,48.58343284,100.508,1800.03,25.2697,0.32919883
104,104,6,-1.832629204,35.06214279,100.511,1799.72,25.2216,0.33029871
104,104,7,23.53511008,233.446524,100.515,1799.94,25.3412,0.289731055
104,104,8,22.88662201,221.7900115,100.512,1800.02,25.3894,0.256783596
104,104,9,30.58894185,290.6484944,100.506,1799.89,25.4538,0.187478819
104,104,10,37.69918471,422.2145701,100.504,1799.85,25.4333,0.190578858
104,104,11,40.71291481,499.6830857,100.498,1800.07,25.4889,0.150905687
104,104,12,42.72956365,672.0140157,100.493,1799.86,25.4062,0.1513223
104,104,13,43.57572027,893.0054028,100.495,1800.19,25.5259,0.133564183
104,104,14,43.23720304,1071.294157,100.487,1800.12,25.5228,0.108571518
105,105,1,11.88594119,225.0489828,100.688,1799.99,25.6183,0.124021921
105,105,2,18.31037227,254.8685021,100.668,1799.78,25.6146,0.252675156
105,105,3,13.50496944,194.3142979,100.669,1800.05,25.5273,0.257060425
105,105,4,8.212234169,134.7312104,100.676,1800.18,25.5181,0.254643919
105,105,5,2.525627256,78.9605711,100.68,1800,25.556,0.257626634
105,105,6,-0.083676932,49.09023145,100.67,1800,25.5395,0.262209888
105,105,7,-1.437585446,34.22480084,100.666,1799.98,25.5472,0.265120155
105,105,8,17.53479331,258.4932093,100.663,1799.83,25.8209,0.248509289
105,105,9,17.71340269,254.4863308,100.66,1799.98,25.7534,0.242332359
105,105,10,24.43846804,377.9737149,100.651,1800.03,25.8445,0.215902176
105,105,11,23.89212478,441.6132753,100.643,1799.99,26.0185,0.121622527
105,105,12,26.42120473,554.8576015,100.647,1799.92,25.9588,0.10728545
105,105,13,28.91266146,672.7412131,100.653,1799.8,26.0061,0.098691897
105,105,14,30.934663,911.9236247,100.647,1800,25.9218,0.095280342
105,105,15,32.29247684,1125.805552,100.643,1799.95,25.9961,0.086651177
106,106,1,26.67188349,226.5684305,100.456,1800.06,25.0719,0.336704721
106,106,2,19.2948593,173.8746938,100.461,1800.08,25.0565,0.335658523
106,106,3,11.80085444,121.6448454,100.457,1799.87,25.0956,0.331806128
106,106,4,4.169895513,71.32302476,100.456,1799.76,25.0486,0.33011655
106,106,5,0.180732189,47.39171378,100.445,1800.01,25.0416,0.332522805
106,106,6,-1.849053474,35.38508006,100.437,1800.21,25.0174,0.337730909
106,106,7,25.67563396,229.2438104,100.438,1800.15,25.0164,0.327601669
106,106,8,25.79125228,224.7686553,100.437,1800.02,25.0175,0.317900961
106,106,9,36.6555102,346.0720861,100.444,1800.22,25.0775,0.310984694
106,106,10,43.85383392,483.2215804,100.449,1800.05,25.1117,0.29711766
106,106,11,44.8861981,560.0330655,100.451,1800.1,25.3058,0.202854848
106,106,12,42.8406184,623.1558843,100.448,1799.89,25.4514,0.139794659
106,106,13,44.91046527,754.90789,100.437,1799.89,25.6222,0.110663779
106,106,14,47.61840324,1021.073156,100.43,1800.18,25.5283,0.11350108
110,110,1,62.66896607,1402.827872,100.629,1800.02,25.2244,0.35535983
110,110,2,20.19205444,231.5821929,100.604,1799.99,25.3142,0.243956034
110,110,3,14.46428053,178.7978769,100.621,1800.01,25.5995,0.243711449
110,110,4,8.843875589,126.658811,100.62,1799.98,25.6437,0.249658637
110,110,5,2.964282502,74.95932832,100.616,1799.95,25.6729,0.258117779
110,110,6,0.063665353,48.0519324,100.617,1800.14,25.4847,0.26859772
110,110,7,-1.52337756,35.14053497,100.612,1799.75,25.6404,0.26756003
110,110,8,20.20588441,237.2959875,100.603,1799.92,25.5712,0.255850203
110,110,9,19.57072827,227.3635479,100.597,1799.93,25.5434,0.227959392
110,110,10,22.83014033,300.6818575,100.604,1799.94,25.9708,0.142899068
110,110,11,29.7093944,411.0643537,100.605,1799.91,25.9978,0.143493647
110,110,12,35.74672473,527.1634955,100.598,1800.25,26.0293,0.14216701
110,110,13,40.09029499,643.0410535,100.6,1799.92,26.0555,0.134743516
110,110,14,43.47834317,848.1245509,100.601,1800.06,26.0844,0.124568602
110,110,15,44.87809006,1055.749529,100.596,1799.88,26.1315,0.112025631
111,111,1,23.47002773,238.6337852,100.542,1800.19,25.2124,0.304425078
111,111,2,17.38022704,184.9514168,100.547,1799.81,25.3142,0.320957816
111,111,3,10.84584026,128.5846999,100.555,1800.07,25.3266,0.326084019
111,111,4,3.564360621,76.59050454,100.557,1799.93,25.2205,0.351531708
111,111,5,0.041879892,48.22943559,100.561,1800.15,25.3063,0.339245307
