SampleID,Dataset_name,Site_name,Species ,Sun_Shade,Phenological_stage,Photosynthetic_pathway,Plant_type,Soil,Treatment - Sugar,Treatment - Fertiliser,Treatment - sulphur,Total Chl ug/cm2,Cartonoid content ug/cm2,Nitrogen content (%)
102,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,None,53.99,64.45,3.39
104,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,None,52.59,60.16,3.76
105,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,None,None,21.44,33.59,2.04
106,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,Sulphur,54.19,57.94,3.47
110,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,None,38.25,44.1,3.28
111,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,None,37.43,44.65,3.22
113,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,Sulphur,61.9,73.38,3.6
114,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,None,None,16.38,28.94,1.84
201,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,None,None,13.3,23.98,1.95
203,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,None,49.36,59.33,3.33
204,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,None,54.03,61.72,3.14
206,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,Sulphur,71.48,75.13,3.5
209,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,Sulphur,63.43,74.13,3.59
210,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,None,None,23.86,36.26,1.86
212,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,None,59.91,70.29,3.01
216,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,None,48.88,52.37,3.12
304,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,None,None,15.55,27.17,1.84
306,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,None,36.97,44.03,3.05
307,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,None,46.26,57.91,3.02
308,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,Sugar,Nitrogen,Sulphur,73.05,80.89,3.6
311,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,Sulphur,59.23,70.47,3.76
313,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,None,None,19.89,30.3,2.1
314,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,None,51.34,62.19,3.13
316,Croft_2021,Wharram,Triticum aestivum,Sun,Mature,C3,Agricultural,Managed,None,Nitrogen,None,53.67,59.28,3.45
