SampleID,SampleID_num,Record,A,Ci,Patm,Qin,Tleaf,Ca,Pci,Pca,gsw,RHs,VPDleaf,CO2s,CO2r
cf_r3_p1,1,1,-2.441954419,34.2352092,99.89438178,1500,28.13935112,12.42839032,3.423328579,1.242769207,0.178973381,58.78630887,1.716557657,12.42839032,9.95855
cf_r3_p1,1,2,-2.500068903,34.814145,99.89438863,1500,28.14360211,12.4195069,3.481219145,1.241880999,0.178488584,58.86739105,1.71546236,12.4195069,10.01444172
cf_r3_p1,1,3,-2.450721714,34.45183191,99.89433833,1500,28.14589323,12.53026786,3.444988136,1.252955843,0.178667024,58.92586033,1.714457113,12.53026786,10.96012821
cf_r3_p1,1,4,-2.194436185,32.8454426,99.8939918,1500,28.14528466,13.4036037,3.284346918,1.340279839,0.179843067,58.94995267,1.714381764,13.4036037,14.29885741
cf_r3_p1,1,5,-1.884446172,32.35174627,99.89392323,1500,28.15021166,15.76683214,3.234978033,1.576587403,0.179760094,58.95053907,1.714592143,15.76683214,20.05328571
cf_r3_p1,1,6,-1.569601093,33.9531449,99.89433943,1500,28.15396821,20.33119286,3.395122296,2.0330042,0.179655247,58.94546043,1.715215882,20.33119286,28.93108571
cf_r3_p1,1,7,-1.006462942,35.67949023,99.89496686,1500,28.15570506,27.34581429,3.567769443,2.734443793,0.179718742,58.93511444,1.7165883,27.34581429,40.00083571
cf_r3_p1,1,8,-0.441625408,39.37585658,99.89543629,1500,28.16535381,36.35488214,3.937405958,3.635322301,0.177822616,58.92431735,1.717386411,36.35488214,51.83815714
cf_r3_p1,1,9,0.016027946,45.1893767,99.89561386,1500,28.16369394,46.63187143,4.518739463,4.662982608,0.177932766,58.93051136,1.717657931,46.63187143,64.12578571
cf_r3_p1,1,10,0.688340026,49.80847713,99.895357,1500,28.1595904,57.6978,4.980616452,5.76951211,0.177764024,58.95402826,1.717648578,57.6978,76.68956786
cf_r3_p1,1,11,1.334813607,55.2242836,99.89487658,1500,28.14701474,69.2464,5.522145423,6.924285222,0.179120218,58.98773651,1.716019647,69.2464,89.49799286
cf_r3_p1,1,12,1.944054873,61.25532179,99.89435643,1500,28.13829856,81.17771429,6.12518648,8.117313296,0.178612823,59.03020199,1.714273384,81.17771429,102.6531286
cf_r3_p1,1,13,2.669387283,66.03105093,99.8942569,1500,28.14164809,93.42636786,6.60272587,9.342100229,0.174587374,59.08428075,1.711369518,93.42636786,115.9661321
cf_r3_p1,1,14,3.16853168,74.35316079,99.89412545,1500,28.10592145,105.8809,7.434879288,10.587468,0.179895695,59.15881888,1.707150465,105.8809,129.3332857
cf_r3_p1,1,15,3.882076665,80.22026809,99.8939582,1500,28.09179874,118.4703464,8.021542134,11.84631887,0.180209659,59.2499805,1.702573793,118.4703464,142.7716429
cf_r3_p1,1,16,4.608129328,86.01646211,99.89400216,1500,28.08104021,131.1482857,8.601130298,13.11404196,0.180220056,59.34495675,1.697703072,131.1482857,156.2259643
cf_r3_p1,1,17,5.165753781,93.54010018,99.89308614,1500,28.06989665,143.8784643,9.353363295,14.38685167,0.180858317,59.424861,1.693264927,143.8784643,169.6968571
