Column_or_Row_Name,Unit,Definition,Data_Type
SampleID,NA,Sample Identifier,text
date,YYYYMMDD,Date of observation,text
Tleaf_Spec,°C,Leaf surface temperature,numeric
Wave_350,%,Reflectance at associated wavelength,numeric
Wave_351,%,Reflectance at associated wavelength,numeric
Wave_352,%,Reflectance at associated wavelength,numeric
Wave_353,%,Reflectance at associated wavelength,numeric
Wave_354,%,Reflectance at associated wavelength,numeric
Wave_355,%,Reflectance at associated wavelength,numeric
Wave_356,%,Reflectance at associated wavelength,numeric
Wave_357,%,Reflectance at associated wavelength,numeric
Wave_358,%,Reflectance at associated wavelength,numeric
Wave_359,%,Reflectance at associated wavelength,numeric
Wave_360,%,Reflectance at associated wavelength,numeric
Wave_361,%,Reflectance at associated wavelength,numeric
Wave_362,%,Reflectance at associated wavelength,numeric
Wave_363,%,Reflectance at associated wavelength,numeric
Wave_364,%,Reflectance at associated wavelength,numeric
Wave_365,%,Reflectance at associated wavelength,numeric
Wave_366,%,Reflectance at associated wavelength,numeric
Wave_367,%,Reflectance at associated wavelength,numeric
Wave_368,%,Reflectance at associated wavelength,numeric
Wave_369,%,Reflectance at associated wavelength,numeric
Wave_370,%,Reflectance at associated wavelength,numeric
Wave_371,%,Reflectance at associated wavelength,numeric
Wave_372,%,Reflectance at associated wavelength,numeric
Wave_373,%,Reflectance at associated wavelength,numeric
Wave_374,%,Reflectance at associated wavelength,numeric
Wave_375,%,Reflectance at associated wavelength,numeric
Wave_376,%,Reflectance at associated wavelength,numeric
Wave_377,%,Reflectance at associated wavelength,numeric
Wave_378,%,Reflectance at associated wavelength,numeric
Wave_379,%,Reflectance at associated wavelength,numeric
Wave_380,%,Reflectance at associated wavelength,numeric
Wave_381,%,Reflectance at associated wavelength,numeric
Wave_382,%,Reflectance at associated wavelength,numeric
Wave_383,%,Reflectance at associated wavelength,numeric
Wave_384,%,Reflectance at associated wavelength,numeric
Wave_385,%,Reflectance at associated wavelength,numeric
Wave_386,%,Reflectance at associated wavelength,numeric
Wave_387,%,Reflectance at associated wavelength,numeric
Wave_388,%,Reflectance at associated wavelength,numeric
Wave_389,%,Reflectance at associated wavelength,numeric
Wave_390,%,Reflectance at associated wavelength,numeric
Wave_391,%,Reflectance at associated wavelength,numeric
Wave_392,%,Reflectance at associated wavelength,numeric
Wave_393,%,Reflectance at associated wavelength,numeric
Wave_394,%,Reflectance at associated wavelength,numeric
Wave_395,%,Reflectance at associated wavelength,numeric
Wave_396,%,Reflectance at associated wavelength,numeric
Wave_397,%,Reflectance at associated wavelength,numeric
Wave_398,%,Reflectance at associated wavelength,numeric
Wave_399,%,Reflectance at associated wavelength,numeric
Wave_400,%,Reflectance at associated wavelength,numeric
Wave_401,%,Reflectance at associated wavelength,numeric
Wave_402,%,Reflectance at associated wavelength,numeric
Wave_403,%,Reflectance at associated wavelength,numeric
Wave_404,%,Reflectance at associated wavelength,numeric
Wave_405,%,Reflectance at associated wavelength,numeric
Wave_406,%,Reflectance at associated wavelength,numeric
Wave_407,%,Reflectance at associated wavelength,numeric
Wave_408,%,Reflectance at associated wavelength,numeric
Wave_409,%,Reflectance at associated wavelength,numeric
Wave_410,%,Reflectance at associated wavelength,numeric
Wave_411,%,Reflectance at associated wavelength,numeric
Wave_412,%,Reflectance at associated wavelength,numeric
Wave_413,%,Reflectance at associated wavelength,numeric
Wave_414,%,Reflectance at associated wavelength,numeric
Wave_415,%,Reflectance at associated wavelength,numeric
Wave_416,%,Reflectance at associated wavelength,numeric
Wave_417,%,Reflectance at associated wavelength,numeric
Wave_418,%,Reflectance at associated wavelength,numeric
Wave_419,%,Reflectance at associated wavelength,numeric
Wave_420,%,Reflectance at associated wavelength,numeric
Wave_421,%,Reflectance at associated wavelength,numeric
Wave_422,%,Reflectance at associated wavelength,numeric
Wave_423,%,Reflectance at associated wavelength,numeric
Wave_424,%,Reflectance at associated wavelength,numeric
Wave_425,%,Reflectance at associated wavelength,numeric
Wave_426,%,Reflectance at associated wavelength,numeric
Wave_427,%,Reflectance at associated wavelength,numeric
