OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 14:38:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:38:15 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:38:18 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:38:18 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:38:18 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:38:18 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:38:20,12.50000059,0,-1.537273476,0.015119177,550.9463734,0.254967227,1.576380909,30.3077755,6,1.420000017,1,2.840000033,30.27325058,30.3077755,30.00862885,398.6923828,400.4148865,28.29450989,28.59177208,63.11063004,63.78240967,499.9167786,0.022776753,2.660242558,96.53019714,-2.148875237,0.653190017,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833194631,0.000254967,303.4577755,303.4232506,0.00364428,-0.13708231,4.336350304,44.92221535,16.33044327,30.29051304,4.332062232,0.015039114,2.759969396,1.572092837,0.009406607,53.18296204,1.375938787,62.45993308,401.1456327,-0.002393595
2,14:38:22,14.50000055,0,-1.519733776,0.015213414,548.1019397,0.256512997,1.576164188,30.30723953,6,1.420000017,1,2.840000033,30.27305031,30.30723953,30.0090065,398.6899719,400.3905945,28.2936306,28.59267807,63.10977936,63.78136826,499.9445801,0.048657943,2.576003075,96.53005981,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833240967,0.000256513,303.4572395,303.4230503,0.007785271,-0.137787863,4.336217113,44.92089947,16.3282214,30.29014492,4.33197083,0.015132353,2.760052924,1.571917906,0.00946497,52.90831302,1.36891812,62.46518803,401.1130031,-0.002366676
Remark=,"""14:38:24 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14:38:24,16.5000005,0,-1.562705661,0.015275147,551.9061501,0.257531514,1.576060248,30.30690765,6,1.420000017,1,2.840000033,30.27359581,30.30690765,30.009161,398.6175537,400.3692932,28.29269028,28.59292984,63.1071434,63.77923203,499.9366455,0.05757704,2.516828299,96.52996063,-2.148875237,0.653190017,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833227743,0.000257532,303.4569077,303.4235958,0.009212326,-0.138175163,4.33613464,44.92009125,16.32716141,30.29025173,4.331997351,0.015193428,2.760074392,1.571922959,0.009503201,53.27547895,1.378492705,62.46777174,401.1121286,-0.002433702
