OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 14:42:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:42:30 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:32 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:32 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:32 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:42:32 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:42:34,10.50000381,0,0.450539437,0.010780691,318.6583274,0.26183765,2.258302543,32.88295746,6,1.420000017,1,2.840000033,30.32937622,32.88295746,30.01068115,400.8530273,399.7458496,28.0949707,28.6021843,62.46316147,63.59329224,300.8774109,1199.892944,1.8810395,96.51971436,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501462351,0.000261838,306.0329575,303.4793762,191.9828668,1.74936676,5.018977201,51.99950326,23.39731897,31.60616684,4.669668173,0.010739922,2.760674658,1.908993515,0.006716102,30.75681074,0.79715231,53.2925326,399.5316847,0.000600963
2,14:42:36,12.50000377,0,0.423599232,0.010778536,322.6055286,0.261746136,2.257962744,32.88166428,6,1.420000017,1,2.840000033,30.32911873,32.88166428,30.01141357,400.822937,399.7696228,28.09498405,28.60198212,62.46178818,63.59062576,300.900177,1199.855469,2.027390003,96.51951599,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501500295,0.000261746,306.0316643,303.4791187,191.9768707,1.749497817,5.018612215,51.99582865,23.39384653,31.6053915,4.669462658,0.010737783,2.76064947,1.908813188,0.006714764,31.13772948,0.806978595,53.29622318,399.568264,0.000565016
Remark=,"""14:42:36 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14:42:38,14.50000372,0,0.415830986,0.011036904,325.1801303,0.267989327,2.257917855,32.88041306,6,1.420000017,1,2.840000033,30.32900429,32.88041306,30.0112915,400.8041992,399.7924194,28.0950985,28.59874344,62.4612999,63.5857048,310.1293945,1199.820801,2.18352747,96.51966858,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.516882324,0.000267989,306.0304131,303.4790043,191.9713238,1.746374597,5.018259093,51.9920879,23.39334447,31.60470867,4.66928167,0.010994178,2.760341238,1.908940432,0.006875187,31.38627841,0.813372427,53.29826776,399.5947533,0.000554639
4,14:42:40,17.00000367,0,0.441366864,0.012114015,327.1409737,0.294322792,2.260160788,32.88432693,6,1.420000017,1,2.840000033,30.32872963,32.88432693,30.01062775,400.7918396,399.8305664,28.09523582,28.58685303,62.46198273,63.5664978,348.94104,1199.775024,2.253422022,96.51999664,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.5815684,0.000294323,306.0343269,303.4787296,191.9639996,1.732065739,5.019363746,52.003356,23.41650297,31.60652828,4.669763982,0.012062562,2.759202958,1.910561023,0.007543707,31.57564568,0.81819901,53.27983008,399.6207617,0.000588457
5,14:42:42,19.00000362,0,0.456546264,0.0127561,328.1638056,0.310290094,2.263343925,32.89090347,6,1.420000017,1,2.840000033,30.32879257,32.89090347,30.01021576,400.7912598,399.8706665,28.09516144,28.57307816,62.46167374,63.54313278,378.4226074,1199.753906,2.268048048,96.52010345,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.630704346,0.00031029,306.0409035,303.4787926,191.9606207,1.72281581,5.021220385,52.02253422,23.44945606,31.60984802,4.670644034,0.012699061,2.75787646,1.912767574,0.007942018,31.67440446,0.820674866,53.24172526,399.6536463,0.000608209
6,14:42:44,21.00000358,0,0.463324551,0.012994546,328.3879343,0.316473144,2.26627535,32.89625549,6,1.420000017,1,2.840000033,30.32891083,32.89625549,30.009655,400.7947693,399.9051819,28.09471321,28.5583477,62.46045685,63.51665497,397.8589172,1199.741089,2.295114279,96.52016449,-2.148875237,0.653190017,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.663098195,0.000316473,306.0462555,303.4789108,191.9585699,1.718825622,5.022731768,52.03816005,23.47981235,31.61258316,4.671369218,0.01293536,2.756456418,1.914912801,0.008089897,31.69605744,0.821164489,53.19914333,399.6849396,0.000616697
