OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 13:27:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:27:55 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:27:56 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:27:57 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:27:57 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:27:57 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:27:59,11.00000172,0,-0.004213392,0.016126423,387.1891305,0.320615111,1.852584798,32.51534271,6,1.420000017,1,2.840000033,30.33955956,32.51534271,30.00743103,399.4882813,399.3396912,31.32632828,31.69888306,69.68997192,70.52384949,499.9833374,1198.729858,0.641220748,96.64575195,-4.62400341,0.178111434,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833305562,0.000320615,305.6653427,303.4895596,191.7967731,1.772281167,4.916147188,50.86770073,19.16881768,31.42745113,4.622504675,0.016035369,3.063562389,1.558942286,0.010030247,37.42018467,0.969573371,60.9155652,399.341694,-6.42711E-06
2,13:28:01,13.00000168,0,-0.033546047,0.016080735,390.1258368,0.319713288,1.852595035,32.51540756,6,1.420000017,1,2.840000033,30.34005547,32.51540756,30.00859833,399.5033264,399.3903503,31.32741928,31.69892311,69.6907959,70.52071381,499.9873962,1198.785645,0.64625293,96.64587402,-4.62400341,0.178111434,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833312327,0.000319713,305.6654076,303.4900555,191.8056988,1.772912599,4.916165165,50.86782249,19.16889938,31.42773151,4.622578342,0.015990195,3.06357013,1.559008212,0.010001967,37.70405248,0.976803362,60.91486365,399.4062965,-5.11623E-05
3,13:28:03,15.00000163,0,0.023050091,0.016116635,384.5975396,0.320299632,1.851889871,32.51313782,6,1.420000017,1,2.840000033,30.34036064,32.51313782,30.00953674,399.6039429,399.42276,31.32748985,31.69966698,69.69033051,70.52019501,499.9978027,1198.784668,0.647933781,96.64600372,-4.62400341,0.178111434,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833329671,0.0003203,305.6631378,303.4903606,191.8055426,1.772983887,4.915536004,50.86124428,19.1615773,31.42674923,4.622320261,0.016025691,3.063646133,1.558674129,0.010024188,37.16981525,0.962883386,60.92535012,399.4118031,3.51601E-05
4,13:28:05,17.50000158,0,0.17753331,0.016174677,369.5000109,0.321281822,1.850949668,32.50992966,6,1.420000017,1,2.840000033,30.34053802,32.50992966,30.00985336,399.792572,399.4255371,31.32686234,31.70018005,69.68881989,70.52012634,499.9984436,1198.780518,0.626017869,96.6460495,-4.62400341,0.178111434,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833330739,0.000321282,305.6599297,303.490538,191.8048785,1.772964248,4.914646839,50.85201997,19.15183991,31.42523384,4.621922141,0.016083079,3.063697171,1.55822497,0.010060114,35.71071634,0.925078586,60.9390937,399.3411463,0.000270914
