OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 12:47:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:47:13 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:47:14 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:47:14 CO2 Mixer -> OFF""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:47:15 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:47:15 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:47:17,11.50000307,0,1.95365421,0.030675731,262.8817952,0.782891004,2.402072822,32.20282745,6,1.420000017,1,2.840000033,30.39463806,32.20282745,30.01161766,381.6504517,378.9494934,24.18243408,25.09851456,53.61402512,55.65151596,499.8959961,1198.573975,5.269042969,96.74292755,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833159993,0.000782891,305.3528275,303.5446381,191.7718317,1.5864806,4.830176598,49.92795567,24.82944111,31.29873276,4.588793081,0.030347934,2.428103775,2.160689305,0.018996639,25.43195447,0.693711958,48.88332503,378.0208198,0.002526345
2,12:47:19,13.50000303,0,1.950597973,0.030746374,263.2630896,0.784584658,2.40180918,32.20272064,6,1.420000017,1,2.840000033,30.39434242,32.20272064,30.01148033,381.6402893,378.9422913,24.18275261,25.10079384,53.64084625,55.68009567,499.9062805,1198.613037,5.155945778,96.7434845,1.438308001,0.167651176,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833177134,0.000784585,305.3527206,303.5443424,191.7780817,1.585651664,4.83014744,49.92736684,24.826573,31.29853153,4.588740548,0.030417073,2.42833826,2.160402288,0.019039985,25.46898863,0.69473135,48.88983971,378.0150704,0.002522768
3,12:47:21,15.50000298,0,1.930315282,0.030753249,264.3344526,0.784871539,2.402150955,32.2050705,6,1.420000017,1,2.840000033,30.39415932,32.2050705,30.01092148,381.6238403,378.9500732,24.18545532,25.1038208,53.6561203,55.69578552,499.9109497,1198.637817,5.045739174,96.74375916,1.438308001,0.167651176,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833184916,0.000784872,305.3550705,303.5441593,191.7820465,1.585180469,4.830788948,49.9338561,24.8300353,31.29961491,4.589023387,0.030423802,2.428637993,2.160385393,0.019044203,25.57270862,0.697544271,48.88922471,378.0324938,0.002496389
4,12:47:23,18.00000293,0,1.934769037,0.03071144,263.9555784,0.783807315,2.402117076,32.20663452,6,1.420000017,1,2.840000033,30.39393234,32.20663452,30.01031113,381.6123352,378.9338379,24.19146919,25.1085453,53.6748848,55.71211243,499.9325867,1198.647583,4.937092781,96.74391174,1.438308001,0.167651176,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833220978,0.000783807,305.3566345,303.5439323,191.783609,1.585488608,4.831215967,49.93819125,24.82964595,31.30028343,4.589197928,0.030382883,2.429098891,2.160099037,0.01901855,25.53609518,0.696574315,48.8934782,378.0141414,0.002502488
5,12:47:25,20.00000288,0,1.95475032,0.030706658,262.8865818,0.783564461,2.401734734,32.20719147,6,1.420000017,1,2.840000033,30.39399338,32.20719147,30.00986671,381.6089783,378.9066772,24.19728851,25.11406136,53.68825912,55.72473145,499.9401855,1198.627441,4.882183075,96.74394226,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833233643,0.000783564,305.3571915,303.5439934,191.7803863,1.585503657,4.831368036,49.93974737,24.82568601,31.30059242,4.589278602,0.030378202,2.429633302,2.1596453,0.019015615,25.43268429,0.69380298,48.90294826,377.9774826,0.002529067
6,12:47:27,22.00000284,0,1.967349245,0.030705965,262.2132443,0.78347863,2.40151354,32.20847702,6,1.420000017,1,2.840000033,30.3941021,32.20847702,30.00930405,381.6000366,378.8826904,24.20331192,25.11997414,53.70124054,55.73744583,499.9427185,1198.613037,4.828051567,96.74394989,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833237864,0.000783479,305.358477,303.5441021,191.7780817,1.585348504,4.831719059,49.9433718,24.82339766,31.30128956,4.589460622,0.030377524,2.430205519,2.159255103,0.01901519,25.36754497,0.692069738,48.91110057,377.9475068,0.002545994
7,12:47:29,24.00000279,0,1.97255969,0.03070509,261.9188464,0.78343505,2.40143576,32.21018982,6,1.420000017,1,2.840000033,30.39417458,32.21018982,30.0087986,381.5817871,378.8583069,24.20902061,25.12560081,53.71347809,55.74928665,499.9567566,1198.692871,4.762867928,96.74399567,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833261261,0.000783435,305.3601898,303.5441746,191.7908551,1.585280782,4.832186777,49.94818276,24.82258195,31.3021822,4.589693696,0.030376668,2.430751016,2.15894268,0.019014654,25.33907574,0.691337214,48.91740751,377.9206465,0.002553248
8,12:47:31,26.00000275,0,1.983787486,0.030727112,261.3740635,0.783953196,2.401304327,32.21292877,6,1.420000017,1,2.840000033,30.39427948,32.21292877,30.00816154,381.5542297,378.8171997,24.21750259,25.13463974,53.73774719,55.77401733,499.9789734,1198.868164,4.664196491,96.74419403,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833298289,0.000783953,305.3629288,303.5442795,191.818902,1.58495625,4.832934791,49.95581222,24.82117248,31.30360413,4.590064993,0.030398221,2.431630464,2.158434529,0.019028166,25.28642311,0.689974119,48.9280587,377.8742021,0.002568656
9,12:47:33,28.0000027,0,2.007396724,0.030747524,260.1794889,0.784397951,2.401065652,32.21590042,6,1.420000017,1,2.840000033,30.3945961,32.21590042,30.00746727,381.5325623,378.7671509,24.22787476,25.14548683,53.75840378,55.79533386,499.9981384,1199.072266,4.595353127,96.74423218,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833330231,0.000784398,305.3659004,303.5445961,191.8515582,1.584719651,4.833746469,49.96418246,24.81869563,31.30524826,4.590494344,0.030418199,2.432680816,2.157813528,0.01904069,25.17086488,0.68691144,48.94156333,377.8129306,0.002600365
10,12:47:35,30.00000266,0,2.088110895,0.030794691,256.1052717,0.78551939,2.400829127,32.21885681,6,1.420000017,1,2.840000033,30.39495468,32.21885681,30.00703049,381.5411987,378.6786194,24.23742294,25.15629959,53.77805328,55.81661606,500.0183411,1199.269043,4.588726521,96.74415588,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833363902,0.000785519,305.3688568,303.5449547,191.8830426,1.584127445,4.834554097,49.97256994,24.81627035,31.30690575,4.590927218,0.03046436,2.433724969,2.157202249,0.01906963,24.77668833,0.676312996,48.95545116,377.6860315,0.002706598
11,12:47:37,32.00000262,0,2.168678215,0.030918905,252.3310695,0.788610956,2.400676182,32.22191238,6,1.420000017,1,2.840000033,30.39548492,32.22191238,30.00701523,381.5569458,378.5964355,24.24404144,25.166502,53.79291153,55.83687592,500.0307312,1199.457764,4.623142242,96.7441864,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833384552,0.000788611,305.3719124,303.5454849,191.9132379,1.582510838,4.835388943,49.9811836,24.8146816,31.30869865,4.5913955,0.030585918,2.43471276,2.156682739,0.019145839,24.41156403,0.666490875,48.96922455,377.5655498,0.002812717
12,12:47:40,34.50000256,0,2.213826788,0.031138947,250.7823008,0.794182088,2.400713975,32.22563553,6,1.420000017,1,2.840000033,30.39600945,32.22563553,30.00702858,381.5810547,378.5638733,24.24761963,25.17658615,53.80313492,55.8587265,500.0313416,1199.71936,4.686973095,96.74434662,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833385569,0.000794182,305.3756355,303.5460094,191.9550934,1.579650068,4.836406353,49.99161731,24.81503115,31.31082249,4.591950267,0.030801229,2.435692377,2.15625789,0.019280828,24.26176984,0.662457034,48.98252283,377.5115261,0.002872464
13,12:47:42,36.50000251,0,2.257761789,0.031347192,249.2939426,0.799434127,2.400701372,32.22749329,6,1.420000017,1,2.840000033,30.39650536,32.22749329,30.00722313,381.6246948,378.5524902,24.24683952,25.18192291,53.80558014,55.87163544,500.0427856,1199.946289,4.761674881,96.74450684,1.438308001,0.167651176,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833404643,0.000799434,305.3774933,303.5465054,191.991402,1.577157909,4.836914085,49.99678269,24.81485978,31.31199932,4.592257694,0.031004967,2.436212713,2.156044981,0.019408563,24.11781953,0.658545245,48.9915673,377.4792584,0.002930261
14,12:47:44,38.50000247,0,2.307444356,0.031580225,247.6326417,0.805321369,2.400722652,32.22871017,6,1.420000017,1,2.840000033,30.39708138,32.22871017,30.00743484,381.6821594,378.5476379,24.24315643,25.18513298,53.80236816,55.88066483,500.0374451,1200.106934,4.873823643,96.74453735,1.438308001,0.167651176,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833395742,0.000805321,305.3787102,303.5470814,192.0171051,1.574317809,4.83724669,50.0002049,24.81507192,31.31289577,4.592491889,0.031232921,2.436524038,2.15596785,0.019551485,23.95710536,0.654165069,48.99858591,377.4507894,0.002995397
15,12:47:46,40.50000243,0,2.347547309,0.031795483,246.4207821,0.810894269,2.4011398,32.23049164,6,1.420000017,1,2.840000033,30.39769363,32.23049164,30.00753212,381.7444153,378.5591431,24.23736763,25.18588829,53.79483795,55.8856163,500.0235901,1200.141724,5.007718086,96.74440765,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.83337265,0.000810894,305.3804916,303.5476936,192.0226715,1.571326733,4.837733644,50.00530533,24.81941704,31.31409264,4.592804579,0.031443455,2.436593844,2.156210735,0.019683486,23.8398326,0.650943945,48.99852647,377.4432315,0.003047514
16,12:47:48,42.50000238,0,2.363065101,0.032025575,246.5084641,0.816898866,2.4017277,32.23214722,6,1.420000017,1,2.840000033,30.39846611,32.23214722,30.00768661,381.7929077,378.5862427,24.22895432,25.18450546,53.78164291,55.88575745,500.020752,1200.103027,5.115306377,96.74434662,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.83336792,0.000816899,305.3821472,303.5484661,192.0164801,1.568015521,4.838186226,50.010015,24.82550954,31.31530666,4.593121774,0.031668462,2.436458526,2.156663248,0.019824566,23.8483003,0.651128954,48.99480964,377.4629547,0.003067266
17,12:47:50,44.50000234,0,2.337492969,0.032278817,248.7168812,0.823463572,2.402249266,32.23292542,6,1.420000017,1,2.840000033,30.39918518,32.23292542,30.00783157,381.8167725,378.6377258,24.21805,25.18129349,53.76300049,55.88209152,500.0154419,1200.072021,5.149690151,96.74442291,1.438308001,0.167651176,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111105,0.83335907,0.000823464,305.3829254,303.5491852,192.0115191,1.564549725,4.838398973,50.01217463,24.83088114,31.3160553,4.593317382,0.031916066,2.436149707,2.157167676,0.019979818,24.06197114,0.656872953,48.99050208,377.5265936,0.003033295
18,12:47:52,46.50000229,0,2.296901709,0.032504154,251.5289471,0.829377749,2.402920911,32.23353195,6,1.420000017,1,2.840000033,30.3996315,32.23353195,30.00762558,381.8245544,378.6914063,24.20588684,25.17607498,53.74117661,55.87509918,500.004425,1200.060303,5.13685751,96.74438477,1.438308001,0.167651176,1,-0.219565243,2.737391472,1,0,0.159999996,111105,0.833340708,0.000829378,305.383532,303.5496315,192.0096441,1.561443141,4.838564796,50.01390838,24.8378334,31.31658173,4.593454936,0.03213635,2.435643885,2.157811051,0.020117943,24.33401324,0.664205585,48.98208384,377.5995692,0.002979533
