OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 11:50:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:50:34 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:50:35 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:50:35 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:50:35 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:50:36 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:50:38,11.000004,0,9.597483156,0.196827683,290.8448551,2.145084896,1.08187851,30.35146904,6,1.420000017,1,2.840000033,30.17273331,30.35146904,29.99729729,400.4987183,379.6849976,29.64458466,33.78777695,66.58079529,75.88594055,300.1464233,1198.758911,4.486320496,96.6427002,-1.447835684,1.065237164,0.034640748,0.002130008,0.046897456,0.002055837,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500244039,0.002145085,303.501469,303.3227333,191.8014215,1.072795208,4.347220508,44.98239907,11.19462212,30.26210117,4.325012643,0.184070576,3.265341998,1.059670645,0.116126051,28.10803213,0.76601619,75.77210455,375.1228137,0.019386224
2,11:50:40,13.00000396,0,9.590821025,0.197143336,291.026785,2.146993378,1.081218731,30.35021782,6,1.420000017,1,2.840000033,30.17310715,30.35021782,29.99778557,400.4854431,379.6825256,29.64432335,33.79140091,66.57971954,75.89057922,300.1308899,1198.744873,4.445505142,96.64263916,-1.447835684,1.065237164,0.034640748,0.002130008,0.046897456,0.002055837,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50021815,0.002146993,303.5002178,303.3231071,191.7991754,1.072042614,4.346908895,44.9792031,11.1878022,30.26166248,4.324903873,0.184346609,3.265690165,1.059213708,0.116301834,28.12559657,0.76650034,75.78765537,375.1235087,0.019376707
3,11:50:42,15.00000391,0,9.560793011,0.197398303,291.3788859,2.148767538,1.080803765,30.34967232,6,1.420000017,1,2.840000033,30.17333221,30.34967232,29.99799919,400.4205322,379.6769714,29.64394569,33.79430771,66.57826233,75.8952179,300.1402893,1198.695557,4.458266735,96.64258575,-1.447835684,1.065237164,0.034640748,0.002130008,0.046897456,0.002055837,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500233816,0.002148768,303.4996723,303.3233322,191.7912848,1.071176004,4.346773046,44.97782227,11.18351457,30.26150227,4.324864149,0.184569531,3.265969281,1.058894868,0.116443799,28.15960897,0.767438923,75.79820401,375.1322283,0.01931828
Remark=,"""11:50:43 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
