OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 12:14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:14:02 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:14:03 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:14:03 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:14:03 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:14:03 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:14:06,13.00000002,0,-1.167240497,0.03471281,444.6353401,0.527414807,1.429762805,30.40529633,6,1.420000017,1,2.840000033,30.16960907,30.40529633,30.0015564,399.5065613,400.6531982,29.72317505,30.33661652,66.770401,68.12692261,500.2089233,0.13480179,0.177701637,96.61201477,-1.642009974,1.054141998,0.020790938,0.001284075,0.019884657,0.001307768,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833681539,0.000527415,303.5552963,303.3196091,0.021568286,-0.294271624,4.360644448,45.13563306,14.79901654,30.2874527,4.331302416,0.034293645,2.930881643,1.400420773,0.021470797,42.95711604,1.109776091,66.33776005,401.2080485,-0.001929974
2,12:14:08,14.99999998,0,-1.141140706,0.03461663,443.604724,0.525918799,1.429624404,30.40472412,6,1.420000017,1,2.840000033,30.17054367,30.40472412,30.00165367,399.5626526,400.6787109,29.72480202,30.33651733,66.762146,68.12378693,500.1976318,0.095096245,0.135115623,96.61218262,-1.642009974,1.054141998,0.020790938,0.001284075,0.019884657,0.001307768,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83366272,0.000525919,303.5547241,303.3205437,0.015215399,-0.293394315,4.360501557,45.13407562,14.79755829,30.2876339,4.3313474,0.034199771,2.930877153,1.400470247,0.021411922,42.8576206,1.107133251,66.33881833,401.2211546,-0.001886788
3,12:14:10,16.99999993,0,-1.124913216,0.034573591,442.9480906,0.525206241,1.429447564,30.4041729,6,1.420000017,1,2.840000033,30.17128944,30.4041729,30.00141144,399.6092834,400.7062073,29.72596169,30.33685112,66.75891876,68.12223053,500.1950684,0.068271138,0.101953045,96.6124115,-1.642009974,1.054141998,0.020790938,0.001284075,0.019884657,0.001307768,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833658447,0.000525206,303.5541729,303.3212894,0.010923382,-0.292912137,4.360363908,45.13254395,14.79569283,30.28773117,4.33137155,0.034157761,2.930916344,1.400455206,0.021385575,42.7942832,1.10541859,66.34143663,401.2409371,-0.001859939
Remark=,"""12:14:11 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
