OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 09:28:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:28:46 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:28:48 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:28:48 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:28:48 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:28:48 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:28:48 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:28:50,59.5000003,0,-1.561150968,0.063926359,438.0699481,0.82929538,1.236577317,29.54997444,6,1.420000017,1,2.840000033,29.74721527,29.54997444,30.00090599,404.7402344,407.1843567,28.52012825,30.12689209,65.66778564,69.41122437,300.3470459,0.091384046,5.026461601,96.75662231,0.412216991,0.163156375,0.065465041,0.004586833,0.119744435,0.005944514,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50057841,0.000829295,302.6999744,302.8972153,0.014621447,-0.386383793,4.151553636,42.90717821,12.78028612,29.64859486,4.175207684,0.062519099,2.914976319,1.260231364,0.03919848,42.38616851,1.075851616,69.76574139,407.9264531,-0.002669963
2,09:28:52,61.50000026,0,-2.378334613,0.063991469,458.6601175,0.82985984,1.236180332,29.54915619,6,1.420000017,1,2.840000033,29.74640656,29.54915619,30.00069618,403.1262817,407.2028503,28.52110863,30.12914276,65.69065094,69.42066956,300.3133545,0.057200581,4.671534538,96.756073,0.412216991,0.163156375,0.065465041,0.004586833,0.119744435,0.005944514,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500522257,0.00082986,302.6991562,302.8964066,0.009152093,-0.38672619,4.151357869,42.90539849,12.77625573,29.64778137,4.17501209,0.062581373,2.915177536,1.259834554,0.039237648,44.37815181,1.12636765,69.77469264,408.3333967,-0.004064021
3,09:28:54,63.50000021,0,-4.432297062,0.063985481,510.4237077,0.829707145,1.236060307,29.54916763,6,1.420000017,1,2.840000033,29.74601746,29.54916763,30.00054741,398.9742126,407.1553345,28.52264977,30.13052559,65.70204163,69.42625427,300.2872314,0.050713032,4.337879181,96.75570679,0.412216991,0.163156375,0.065465041,0.004586833,0.119744435,0.005944514,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500478719,0.000829707,302.6991676,302.8960175,0.008114085,-0.38671602,4.151360607,42.90558918,12.77506359,29.64759254,4.17496669,0.062575646,2.915300299,1.259666391,0.039234046,49.3864066,1.253633846,69.77756025,409.2622362,-0.007556888
