OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 09:49:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:49:49 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:49:51 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:49:51 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:49:51 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:49:51 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:49:51 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:49:54,43.00000007,0,-0.468834468,0.099575247,400.3096862,1.283680123,1.249130098,28.55748177,6,1.420000017,1,2.840000033,29.94027519,28.55748177,30.01511574,401.1550293,401.0630493,25.06414032,27.56008148,57.21710968,62.91508865,300.0796204,-0.029270308,0.266436011,96.90833282,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500132701,0.00128368,301.7074818,303.0902752,-0.004683249,-0.473190555,3.919931647,40.44989252,12.88981104,29.24887848,4.080057187,0.096202232,2.670801549,1.409255638,0.060420607,38.7933443,0.998121584,68.12956046,401.2859108,-0.000795978
2,09:49:56,45.00000002,0,-0.493249361,0.099524288,400.7284394,1.282783875,1.248863449,28.55602264,6,1.420000017,1,2.840000033,29.93992233,28.55602264,30.01527596,401.1190186,401.0765381,25.06543541,27.55971909,57.21588516,62.91082764,300.0694885,-0.022549937,0.284921825,96.90723419,-2.954133987,-0.366465598,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500115814,0.001282784,301.7060226,303.0899223,-0.00360799,-0.472559201,3.919599601,40.44692467,12.88720558,29.24797249,4.079843686,0.096154667,2.670736152,1.409107534,0.060390587,38.83348472,0.999132089,68.13316698,401.3110052,-0.000837421
3,09:49:58,46.99999998,0,-0.534335799,0.099466966,401.4021587,1.281854974,1.248650989,28.55459023,6,1.420000017,1,2.840000033,29.9394207,28.55459023,30.01502228,401.0302124,401.0706482,25.06604767,27.55867386,57.21638107,62.90824127,300.0519104,-0.011905858,0.30446887,96.90679169,-2.954133987,-0.366465598,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500086517,0.001281855,301.7045902,303.0894207,-0.001904937,-0.471928222,3.919273656,40.44374586,12.88507201,29.24700546,4.079615813,0.096101159,2.670622667,1.408993146,0.060356817,38.89859538,1.000826564,68.1353868,401.3246458,-0.000907175
4,09:50:00,48.99999993,0,-0.582026209,0.09944312,402.1664705,1.281207337,1.248312414,28.55267525,6,1.420000017,1,2.840000033,29.93899155,28.55267525,30.01434326,400.9117432,401.0481262,25.06620407,27.55768013,57.2171936,62.90690231,300.0390625,-0.007291916,0.299155772,96.90676117,-2.954133987,-0.366465598,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500065104,0.001281207,301.7026752,303.0889915,-0.001166707,-0.471377588,3.918837941,40.43926237,12.88158224,29.2458334,4.079339638,0.0960789,2.670525527,1.408814111,0.060342768,38.97265011,1.002788554,68.14031694,401.3247936,-0.000988213
5,09:50:02,51.49999988,0,-0.617786472,0.09939158,402.7226571,1.280244423,1.248004678,28.5508194,6,1.420000017,1,2.840000033,29.93890572,28.5508194,30.01368332,400.8011475,401.0099182,25.06677437,27.55645752,57.21798325,62.9040451,300.0298462,-0.012468233,0.280465394,96.90690613,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500049744,0.001280244,301.7008194,303.0889057,-0.001994917,-0.470641155,3.91841572,40.43484491,12.87838739,29.24486256,4.079110891,0.096030787,2.670411042,1.408699849,0.060312403,39.02660673,1.004271064,68.14427336,401.3035843,-0.001049046
6,09:50:04,53.49999983,0,-0.625421041,0.09933867,402.8135755,1.279740597,1.248157263,28.55135536,6,1.420000017,1,2.840000033,29.93898201,28.55135536,30.0136795,400.7459412,400.9704895,25.06733131,27.55609131,57.21868515,62.90259171,300.0231323,-0.019395607,0.283639878,96.9070816,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500038554,0.001279741,301.7013554,303.088982,-0.003103297,-0.47045591,3.918537652,40.43602993,12.87993862,29.24516869,4.079183019,0.095981394,2.670380389,1.40880263,0.06028123,39.03548803,1.004596563,68.14078296,401.2677847,-0.001062051
7,09:50:06,55.49999979,0,-0.623703041,0.09929936,402.7449598,1.279626767,1.248522754,28.55297661,6,1.420000017,1,2.840000033,29.93925858,28.55297661,30.01394081,400.7064209,400.9277344,25.06755066,27.55609131,57.21855164,62.90167618,300.0228882,-0.022092303,0.28487888,96.90720367,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500038147,0.001279627,301.7029766,303.0892586,-0.003534768,-0.470587826,3.918906507,40.43978526,12.88369395,29.24611759,4.079406602,0.095944696,2.670383753,1.409022849,0.060258069,39.02888785,1.004532551,68.13396523,401.2242129,-0.001059142
8,09:50:08,57.49999974,0,-0.629796761,0.099234435,402.7893935,1.279044862,1.248742698,28.55355072,6,1.420000017,1,2.840000033,29.93935776,28.55355072,30.013834,400.6316223,400.8657532,25.0677166,27.55518913,57.21782303,62.89845276,300.0155029,-0.010844082,0.265210986,96.90713501,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500025838,0.001279045,301.7035507,303.0893578,-0.001735053,-0.470329764,3.919037132,40.44116185,12.88597272,29.24645424,4.079485925,0.095884082,2.670294434,1.409191492,0.060219816,39.03316614,1.004798715,68.12870208,401.1651284,-0.001069565
9,09:50:10,59.4999997,0,-0.63727219,0.09919053,402.8385537,1.278728375,1.248969383,28.55421638,6,1.420000017,1,2.840000033,29.93932724,28.55421638,30.0134716,400.5379333,400.7874756,25.0674324,27.55436516,57.21741867,62.89633179,300.0066223,-0.003564255,0.234206751,96.90730286,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500011037,0.001278728,301.7042164,303.0893272,-0.000570281,-0.470248242,3.919188592,40.44265475,12.88828959,29.24677181,4.079560756,0.095843091,2.670219209,1.409341547,0.060193946,39.03799773,1.00511762,68.1236612,401.0904043,-0.001082382
10,09:50:12,61.49999965,0,-0.633130118,0.09916203,402.6930308,1.2785528,1.249146429,28.554842,6,1.420000017,1,2.840000033,29.93947601,28.554842,30.01301384,400.4650269,400.7066345,25.06734276,27.55395508,57.21691513,62.8947525,300.0042114,-0.002502048,0.216863394,96.90748596,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500007019,0.001278553,301.704842,303.089476,-0.000400328,-0.470220787,3.919330944,40.44404728,12.8900922,29.247159,4.079651993,0.095816482,2.670184515,1.409467478,0.060177152,39.02396923,1.004957233,68.11997519,401.0075943,-0.001075511
11,09:50:14,63.49999961,0,-0.607091636,0.099135601,402.1899537,1.278477451,1.249394689,28.55595207,6,1.420000017,1,2.840000033,29.93991089,28.55595207,30.01265335,400.4393921,400.6291809,25.0675087,27.5539608,57.21619415,62.89318085,300.0058594,0.0046974,0.234438628,96.90762329,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500009766,0.001278477,301.7059521,303.0899109,0.000751584,-0.470260673,3.919583542,40.44659655,12.89263575,29.24793148,4.079834022,0.095791806,2.670188853,1.409645169,0.060161579,38.97527253,1.003895804,68.1153653,400.9177632,-0.00103144
12,09:50:16,65.49999956,0,-0.574022661,0.099118031,401.5774843,1.278691522,1.249815482,28.55794907,6,1.420000017,1,2.840000033,29.94013405,28.55794907,30.01252937,400.4367371,400.5603943,25.06740952,27.55429077,57.21546555,62.89248276,300.0042114,0.019709609,0.266927987,96.90768433,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500007019,0.001278692,301.7079491,303.090134,0.003153537,-0.470589407,3.920037994,40.45126061,12.89696984,29.24904156,4.080095618,0.095775401,2.670222512,1.409873106,0.060151226,38.91594408,1.002539168,68.10805118,400.8332572,-0.000975357
13,09:50:19,67.99999951,0,-0.541003562,0.099124379,400.9606049,1.279079096,1.250112755,28.55924225,6,1.420000017,1,2.840000033,29.94018555,28.55924225,30.01224709,400.4302368,400.4877319,25.06668282,27.55430794,57.21398163,62.89206314,300.0054016,0.039300889,0.259110093,96.90751648,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500009003,0.001279079,301.7092422,303.0901855,0.006288142,-0.470926256,3.920332306,40.45436771,12.90005977,29.2497139,4.080254065,0.095781328,2.670219551,1.410034515,0.060154967,38.85609642,1.001180743,68.10287768,400.7448991,-0.000919385
