OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 09:52:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:52:58 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:52:59 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:52:59 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:52:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:52:59 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:53:01,9.000002816,0,11.21050088,0.098110426,200.2896421,1.823665397,1.795497545,30.69513702,6,1.420000017,1,2.840000033,30.07200623,30.69513702,30.01366043,412.0004272,397.6750488,25.09379959,27.22299576,56.83041,61.67709351,499.9125366,1199.30249,0.13397646,96.90530396,-2.954133987,-0.366465598,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833187561,0.001823665,303.845137,303.2220062,191.8883941,1.221913718,4.433550224,45.75136801,18.52837225,30.38357162,4.355222203,0.094834288,2.638052679,1.717169524,0.059557314,19.40912864,0.503651518,59.37195616,392.3461136,0.016964342
2,09:53:03,11.00000277,0,10.8210082,0.097824021,206.4416522,1.818806968,1.795792271,30.69569016,6,1.420000017,1,2.840000033,30.07223129,30.69569016,30.0153656,411.7586975,397.9031982,25.09781265,27.22125053,56.84310532,61.66693878,499.9336548,1199.289063,0.196427584,96.90583801,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833222758,0.001818807,303.8456902,303.2222313,191.8862457,1.224359121,4.433690366,45.75256204,18.5313115,30.38396072,4.355319266,0.094566665,2.637898095,1.717421171,0.059388435,20.00540131,0.518823807,59.36262191,392.7594092,0.016355138
3,09:53:06,13.50000272,0,10.61558934,0.098293193,210.8293775,1.826903525,1.795463374,30.69730377,6,1.420000017,1,2.840000033,30.07403374,30.69730377,30.01649857,411.6837769,398.071106,25.09590912,27.22870064,56.83955002,61.67074203,499.9530334,1199.240356,0.275292754,96.90641785,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833255056,0.001826904,303.8473038,303.2240337,191.8784527,1.220093086,4.434099216,45.7565073,18.52780666,30.38566875,4.355745367,0.095005042,2.638635841,1.717109526,0.059665069,20.43071975,0.529627432,59.38005769,393.0249632,0.016038531
4,09:53:08,15.50000267,0,10.55652074,0.098641195,212.4863986,1.833031784,1.795335354,30.69887733,6,1.420000017,1,2.840000033,30.07523537,30.69887733,30.01609421,411.7027588,398.1578064,25.09417915,27.23412132,56.83319092,61.67749405,499.9511108,1199.188721,0.265706986,96.90647125,-2.954133987,-0.366465598,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833251851,0.001833032,303.8488773,303.2252354,191.870191,1.216762759,4.434497949,45.7605967,18.52647538,30.38705635,4.356091556,0.095330112,2.639162595,1.716928961,0.059870208,20.59130708,0.533673823,59.39121523,393.139742,0.015947627
