OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 13:08:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:08:57 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:08:59 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:08:59 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:08:59 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:08:59 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:09:01,16.00000168,0,-2.426598447,0.033302631,507.0242081,0.473046056,1.334417112,30.40830612,6,1.420000017,1,2.840000033,30.23975563,30.40830612,29.99714088,395.2050781,399.6763306,30.43614006,31.35178947,68.03151703,70.08820343,300.2558899,-0.020589907,4.441452026,96.54884338,-1.40376091,1.073805571,0.017648701,0.004281387,0.016239388,0.003463845,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500426483,0.000473046,303.5583061,303.3897556,-0.003294385,-0.258378397,4.361396123,45.1729505,13.82116103,30.32403088,4.340391594,0.032916641,3.026979012,1.313412582,0.020607235,48.95260086,1.268587027,68.55537428,400.8298193,-0.004150299
2,13:09:03,18.00000163,0,-2.427811506,0.033391097,506.8209855,0.474290329,1.334422882,30.40755653,6,1.420000017,1,2.840000033,30.23899841,30.40755653,29.99696159,395.2485352,399.7214661,30.43174553,31.34986496,68.02635956,70.08293915,300.2363586,-0.032607947,4.43561554,96.5486145,-1.40376091,1.073805571,0.017648701,0.004281387,0.016239388,0.003463845,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500393931,0.00047429,303.5575565,303.3889984,-0.005217271,-0.259020491,4.361208908,45.17111852,13.82125356,30.32327747,4.340204216,0.033003066,3.026786027,1.313418189,0.020661431,48.93286395,1.267935371,68.55491806,400.8755314,-0.004151873
3,13:09:05,20.00000159,0,-2.419276982,0.033455517,506.2163742,0.475155115,1.33431137,30.4066658,6,1.420000017,1,2.840000033,30.23852158,30.4066658,29.99662209,395.2903137,399.745575,30.42896271,31.34877777,68.02257538,70.08100891,300.2296448,-0.039187439,4.464238167,96.54842377,-1.40376091,1.073805571,0.017648701,0.004281387,0.016239388,0.003463845,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500382741,0.000475155,303.5566658,303.3885216,-0.00626999,-0.25940667,4.360986451,45.16890365,13.82012588,30.32259369,4.340034159,0.033065996,3.026675081,1.313359078,0.020700894,48.87439301,1.266346411,68.55670079,400.8955834,-0.004137178
4,13:09:07,22.50000153,0,-2.397177698,0.033412089,505.3187323,0.474498652,1.334180268,30.40541077,6,1.420000017,1,2.840000033,30.23827744,30.40541077,29.99591064,395.3436279,399.7552795,30.42840195,31.34695625,68.02119446,70.07740784,300.2269287,-0.033971477,4.470283508,96.54821777,-1.40376091,1.073805571,0.017648701,0.004281387,0.016239388,0.003463845,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500378215,0.000474499,303.5554108,303.3882774,-0.005435436,-0.258933403,4.360673027,45.16575373,13.81879747,30.3218441,4.339847743,0.033023573,3.026492759,1.313354984,0.020674291,48.78762301,1.26407019,68.55713653,400.894783,-0.004099421
