OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 13:29:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:29:18 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:19 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:19 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:19 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:29:19 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:29:21,14.50000097,0,5.107748734,0.066247706,266.6078394,0.898337686,1.288006772,30.30694962,6,1.420000017,1,2.840000033,30.31981659,30.30694962,29.99480057,406.3647461,399.8068237,30.53982353,31.58340454,67.92803192,70.25148773,500.1806946,1199.293457,0.114422098,96.51075745,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833634491,0.000898338,303.4569496,303.4698166,191.8869488,1.720438022,4.336145067,44.92913725,13.34573271,30.3133831,4.337744054,0.064737595,3.048138295,1.289605759,0.040594014,25.73052452,0.666841643,69.81850885,397.3788446,0.008974192
2,13:29:24,17.00000092,0,5.123482942,0.066275438,266.2746643,0.898689562,1.288001048,30.30623055,6,1.420000017,1,2.840000033,30.32005692,30.30623055,29.99493217,406.3825073,399.8056335,30.53730011,31.58127785,67.92151642,70.24451447,500.187561,1199.322998,0.131301939,96.51177979,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833645935,0.00089869,303.4562305,303.4700569,191.8916754,1.720448285,4.335966381,44.92680987,13.34553202,30.31314373,4.337684551,0.064764076,3.047965333,1.289719218,0.040610674,25.69864176,0.666010286,69.81775711,397.3701751,0.009001936
3,13:29:26,19.00000087,0,5.127622769,0.066258314,266.150088,0.898504851,1.288067509,30.30604553,6,1.420000017,1,2.840000033,30.31978416,30.30604553,29.99528122,406.395874,399.8140564,30.53622437,31.57999802,67.91919708,70.24176025,500.183197,1199.30835,0.133470222,96.51213074,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833638662,0.000898505,303.4560455,303.4697842,191.8893316,1.72050227,4.335920406,44.92617014,13.34617213,30.31291485,4.337627656,0.064747724,3.047852897,1.289774759,0.040600386,25.68671209,0.665684669,69.81573192,397.3766301,0.009008802
4,13:29:28,21.00000083,0,5.128867822,0.066305614,266.2136957,0.899083877,1.288001819,30.30558014,6,1.420000017,1,2.840000033,30.31916428,30.30558014,29.99523735,406.4040833,399.820343,30.53497314,31.57944298,67.91831207,70.24187469,500.1722107,1199.280151,0.112528384,96.51224518,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833620351,0.000899084,303.4555801,303.4691643,191.8848199,1.720143195,4.335804762,44.92491864,13.34547566,30.31237221,4.337492771,0.064792892,3.047802943,1.289689828,0.040628802,25.69288147,0.665833293,69.81698584,397.3823249,0.009011022
5,13:29:30,23.00000078,0,5.143647992,0.066371124,265.9735085,0.899877071,1.287897787,30.30507469,6,1.420000017,1,2.840000033,30.31884575,30.30507469,29.99491119,406.420105,399.8181152,30.53375816,31.57917213,67.91733551,70.24234009,500.161499,1199.268311,0.103923388,96.51239014,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833602498,0.000899877,303.4550747,303.4688457,191.8829254,1.719753557,4.335679168,44.92354984,13.3443777,30.31196022,4.337390365,0.064855445,3.047781381,1.289608984,0.040668156,25.66973902,0.665236262,69.81925549,397.3730713,0.009037494
6,13:29:32,25.00000074,0,5.147697589,0.066414493,265.9619886,0.900378254,1.287794899,30.30472183,6,1.420000017,1,2.840000033,30.31900215,30.30472183,29.99456596,406.4315796,399.8244629,30.53329277,31.5792923,67.91599274,70.24201202,500.1598511,1199.242554,0.095367618,96.51250458,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833599752,0.000900378,303.4547218,303.4690022,191.8788043,1.719527605,4.335591491,44.92258811,13.34329582,30.31186199,4.337365949,0.064896855,3.047796592,1.289569357,0.040694208,25.66865764,0.665196888,69.82151983,397.377494,0.009044802
7,13:29:34,27.00000069,0,5.147760259,0.066424554,265.9869848,0.900526633,1.287816239,30.3048687,6,1.420000017,1,2.840000033,30.31936646,30.3048687,29.99438477,406.4399109,399.8327026,30.53328514,31.57944679,67.91472626,70.24102783,500.1646729,1199.211792,0.091467708,96.51251221,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607788,0.000900527,303.4548687,303.4693665,191.8738824,1.719427414,4.335627983,44.92296267,13.34351588,30.31211758,4.337429478,0.064906462,3.047811744,1.289617734,0.040700252,25.67107211,0.665245697,69.82136991,397.385704,0.009044706
8,13:29:36,29.00000065,0,5.160509523,0.066439172,265.709415,0.900760551,1.287876707,30.30504608,6,1.420000017,1,2.840000033,30.31990433,30.30504608,29.99433327,406.4609375,399.8383484,30.53277588,31.57920456,67.91153717,70.2381897,500.1670532,1199.178345,0.082524568,96.51273346,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611755,0.000900761,303.4550461,303.4699043,191.8685309,1.719299171,4.335672059,44.92331637,13.34411181,30.3124752,4.337518373,0.064920419,3.047795352,1.28972302,0.040709032,25.64434195,0.664542098,69.82040976,397.3852893,0.009066991
9,13:29:38,31.50000059,0,5.167733674,0.066403268,265.478008,0.900315895,1.28792174,30.30505562,6,1.420000017,1,2.840000033,30.32028198,30.30505562,29.99403,406.4805908,399.8495178,30.53283691,31.57875252,67.90939331,70.23524475,500.1656189,1199.130737,0.081032552,96.51276398,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833609365,0.000900316,303.4550556,303.470282,191.8609137,1.719484546,4.335674429,44.92332672,13.3445742,30.3126688,4.337566495,0.064886137,3.047752688,1.289813807,0.040687465,25.62201633,0.6639448,69.81900506,397.3930247,0.009079325
10,13:29:40,33.50000055,0,5.171417001,0.066412392,265.4100791,0.900405204,1.287874979,30.30487442,6,1.420000017,1,2.840000033,30.32055855,30.30487442,29.99349976,406.4895935,399.8540344,30.53279305,31.57881546,67.90813446,70.23430634,500.1641235,1199.090698,0.073472962,96.51262665,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833606873,0.000900405,303.4548744,303.4705585,191.8545074,1.719430424,4.335629405,44.92292414,13.34410868,30.31271648,4.337578348,0.064894849,3.047754426,1.289823921,0.040692946,25.61542388,0.663767416,69.81988753,397.3957905,0.009085847
11,13:29:42,35.5000005,0,5.178803048,0.06644958,265.304184,0.900899811,1.287877646,30.30491257,6,1.420000017,1,2.840000033,30.32136345,30.30491257,29.99310875,406.5033264,399.8587036,30.53229523,31.57888603,67.90502167,70.23215485,500.1670532,1199.056274,0.073299564,96.51262665,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611755,0.0009009,303.4549126,303.4713634,191.8489996,1.719226201,4.335638884,44.92302235,13.34413632,30.31313801,4.337683129,0.064930357,3.047761238,1.289921891,0.040715285,25.60520366,0.663494834,69.82027451,397.3969487,0.009098848
12,13:29:44,37.50000046,0,5.174025265,0.066432433,265.3950697,0.900778789,1.288027351,30.30538368,6,1.420000017,1,2.840000033,30.32220459,30.30538368,29.99319839,406.505127,399.8663635,30.53214455,31.57858276,67.9016571,70.2287674,500.1729431,1199.022705,0.068410777,96.51251984,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833621572,0.000900779,303.4553837,303.4722046,191.8436285,1.719275039,4.335755946,44.92428499,13.34570222,30.31379414,4.33784623,0.064913985,3.047728595,1.290117635,0.040704985,25.61394693,0.663709414,69.81738818,397.4068797,0.009089851
13,13:29:46,39.50000041,0,5.17326843,0.066353113,265.2653105,0.899856959,1.288209233,30.30581856,6,1.420000017,1,2.840000033,30.32277489,30.30581856,29.99357224,406.5039978,399.8666077,30.53251839,31.57788277,67.89995575,70.22524261,500.1747131,1198.998413,0.072744988,96.51232147,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833624522,0.000899857,303.4558186,303.4727749,191.8397418,1.719707435,4.335864006,44.92549697,13.3476142,30.31429672,4.337971168,0.064838247,3.047654773,1.290316395,0.040657336,25.60137092,0.663384502,69.81304655,397.4074836,0.009087942
14,13:29:48,41.50000037,0,5.181361235,0.066269807,264.9123755,0.898823989,1.288308938,30.30598831,6,1.420000017,1,2.840000033,30.32341766,30.30598831,29.99388504,406.5131226,399.8664856,30.53316879,31.57733917,67.89842224,70.22143555,500.1721191,1198.98584,0.080685854,96.51216125,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833620199,0.000898824,303.4559883,303.4734177,191.8377301,1.720262815,4.335906188,44.92600861,13.34866944,30.31470299,4.338072163,0.064758699,3.04759725,1.290474913,0.040607291,25.56726591,0.662502073,69.810139,397.4035146,0.009101871
15,13:29:50,43.50000032,0,5.174904547,0.066204805,264.9560933,0.897982508,1.288335842,30.30597496,6,1.420000017,1,2.840000033,30.32382584,30.30597496,29.99400711,406.5131836,399.8746338,30.53387451,31.57707596,67.89753723,70.21886444,500.1681213,1198.957642,0.086753875,96.51200867,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833613536,0.000897983,303.455975,303.4738258,191.8332184,1.720688079,4.33590287,44.92604527,13.34896931,30.3149004,4.338121239,0.064696626,3.047567029,1.290554211,0.04056824,25.57144478,0.662597902,69.80881373,397.414732,0.0090901
16,13:29:53,46.00000027,0,5.176239084,0.066195022,264.9101745,0.897840385,1.288314898,30.30584335,6,1.420000017,1,2.840000033,30.32425117,30.30584335,29.99400711,406.5197144,399.8795471,30.53398514,31.577034,67.89653015,70.21691132,500.1621399,1198.911133,0.077460773,96.51176453,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833603566,0.00089784,303.4558434,303.4742512,191.825777,1.720750842,4.335870167,44.92582006,13.34878607,30.31504726,4.33815775,0.064687284,3.04755527,1.290602481,0.040562362,25.56694838,0.662474929,69.80897938,397.419011,0.009092367
17,13:29:55,48.00000022,0,5.178909014,0.0662031,264.8635982,0.897968131,1.288342849,30.30599213,6,1.420000017,1,2.840000033,30.32491302,30.30599213,29.99416351,406.5266113,399.8832092,30.53396797,31.57715988,67.89408875,70.21438599,500.1646423,1198.884399,0.068341754,96.51166534,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607737,0.000897968,303.4559921,303.474913,191.8214996,1.720708384,4.335907136,44.92624928,13.3490894,30.31545258,4.338258513,0.064694999,3.047564287,1.290694226,0.040567216,25.56242695,0.662352387,69.808657,397.4214039,0.009096961
18,13:29:57,50.00000018,0,5.165289122,0.066159391,265.1193774,0.897415522,1.288378955,30.30615234,6,1.420000017,1,2.840000033,30.32553864,30.30615234,29.99436569,406.5155945,399.888855,30.53470612,31.57724571,67.89250183,70.21182251,500.1695557,1198.869873,0.076351635,96.51152039,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833615926,0.000897416,303.4561523,303.4755386,191.8191754,1.721020117,4.335946948,44.92672927,13.34948356,30.31584549,4.338356195,0.064653257,3.047567993,1.290788201,0.040540956,25.5870742,0.662982662,69.80762513,397.4335239,0.009072626
19,13:29:59,52.00000013,0,5.155622741,0.066084797,265.2191095,0.896430787,1.288381862,30.30615616,6,1.420000017,1,2.840000033,30.32616425,30.30615616,29.99440002,406.5067139,399.8920898,30.53590775,31.5772953,67.89221954,70.20942688,500.1734009,1198.844849,0.088487066,96.51130676,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833622335,0.000896431,303.4561562,303.4761642,191.8151715,1.721549607,4.335947896,44.92683854,13.34954323,30.3161602,4.338434436,0.064582019,3.047566034,1.290868403,0.04049614,25.59664283,0.663226696,69.80678611,397.4413537,0.00905536
20,13:30:01,54.00000009,0,5.151631664,0.066036919,265.2311834,0.895792954,1.288376869,30.30607224,6,1.420000017,1,2.840000033,30.32693863,30.30607224,29.99408913,406.5057373,399.8962097,30.53650284,31.57714844,67.89102173,70.20608521,500.1739502,1198.798462,0.096184112,96.51125336,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83362325,0.000895793,303.4560722,303.4769386,191.8077496,1.721900196,4.335927042,44.92664732,13.34949888,30.31650543,4.338520267,0.064536293,3.047550173,1.290970094,0.040467373,25.59779394,0.663250056,69.80626578,397.4473708,0.009048146
21,13:30:03,56.00000004,0,5.147755882,0.066009486,265.2756579,0.895439097,1.28839137,30.30590248,6,1.420000017,1,2.840000033,30.32754135,30.30590248,29.99376297,406.5020752,399.8973389,30.53632927,31.5765686,67.88851929,70.20254517,500.171936,1198.743042,0.099477068,96.51123047,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833619893,0.000895439,303.4559025,303.4775414,191.7988824,1.722081648,4.33588486,44.9262209,13.3496523,30.31672192,4.338574089,0.064510092,3.04749349,1.291080599,0.04045089,25.60208016,0.663359398,69.80536295,397.4503423,0.009041154
22,13:30:05,58,0,5.14546195,0.065977964,265.2662153,0.895016005,1.288382084,30.30548859,6,1.420000017,1,2.840000033,30.32794762,30.30548859,29.99355888,406.4924011,399.890564,30.53591537,31.57567406,67.88591003,70.19909668,500.1671753,1198.707642,0.112547733,96.51100159,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833611959,0.000895016,303.4554886,303.4779476,191.7932184,1.722340758,4.335782013,44.9252618,13.34958774,30.3167181,4.338573141,0.064479986,3.047399929,1.291173212,0.04043195,25.60110813,0.663347023,69.80456591,397.4446578,0.009037151
23,13:30:07,59.99999996,0,5.138935347,0.065964534,265.3971879,0.894852891,1.288401509,30.3053894,6,1.420000017,1,2.840000033,30.3286438,30.3053894,29.99359703,406.4809875,399.8870239,30.53570175,31.57527733,67.88312531,70.19565582,500.1643066,1198.688965,0.112339668,96.51081848,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833607178,0.000894853,303.4553894,303.4786438,191.7902301,1.722496573,4.335757368,44.92509167,13.34981435,30.3170166,4.338647355,0.064467159,3.047355859,1.291291497,0.040423881,25.61369982,0.66368042,69.80380836,397.4442202,0.0090256
24,13:30:09,62.4999999,0,5.130334359,0.065957686,265.5977483,0.894827514,1.288493615,30.30574799,6,1.420000017,1,2.840000033,30.32971573,30.30574799,29.99393654,406.4742126,399.8905334,30.53572845,31.57528114,67.8791275,70.19132233,500.1611328,1198.660522,0.132728279,96.51071167,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833601888,0.000894828,303.455748,303.4797157,191.7856793,1.722553998,4.33584647,44.92606463,13.35078348,30.31773186,4.33882519,0.064460618,3.047352854,1.291472336,0.040419766,25.63302771,0.664176133,69.80218376,397.4518182,0.009010112
25,13:30:11,64.49999985,0,5.138588238,0.065921869,265.3264744,0.89444899,1.288630045,30.30617142,6,1.420000017,1,2.840000033,30.3305378,30.30617142,29.99422264,406.4823914,399.8889771,30.53588676,31.57500267,67.8764801,70.18765259,500.1598511,1198.641724,0.122776978,96.51057434,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833599752,0.000894449,303.4561714,303.4805378,191.7826715,1.72276169,4.335951688,44.92721878,13.35221611,30.31835461,4.33898003,0.064426408,3.047321643,1.291658387,0.040398244,25.60681043,0.663500345,69.7993332,397.4463383,0.009024364
26,13:30:13,66.49999981,0,5.151498513,0.065933109,265.0257445,0.894632062,1.288677118,30.30639839,6,1.420000017,1,2.840000033,30.33143234,30.30639839,29.99440575,406.4923706,399.8833923,30.53580666,31.57513428,67.87317657,70.1838913,500.1602478,1198.625,0.113242239,96.51046753,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833600413,0.000894632,303.4563984,303.4814323,191.7799957,1.722730599,4.336008089,44.92785291,13.35271863,30.31891537,4.339119461,0.064437144,3.047330971,1.291788489,0.040404998,25.57775851,0.662757568,69.79872764,397.4346167,0.009047225
27,13:30:15,68.49999977,0,5.155650461,0.065977628,265.0014948,0.895186985,1.288624382,30.30633163,6,1.420000017,1,2.840000033,30.33214569,30.30633163,29.99446297,406.4910278,399.8768311,30.53557777,31.57554626,67.86992645,70.18128204,500.1618652,1198.60498,0.099997498,96.51035309,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833603109,0.000895187,303.4563316,303.4821457,191.7767926,1.722524433,4.335991501,44.9277343,13.35218803,30.31923866,4.339199849,0.064479665,3.047367119,1.29183273,0.040431748,25.57538783,0.662707799,69.80030608,397.4260817,0.009054916
28,13:30:17,70.49999972,0,5.162340768,0.066022669,264.919548,0.895702844,1.288506085,30.30602646,6,1.420000017,1,2.840000033,30.33267975,30.30602646,29.99445724,406.4957886,399.8733215,30.5354538,31.57602119,67.86734009,70.17967987,500.1618042,1198.599731,0.090150468,96.51024628,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833603007,0.000895703,303.4560265,303.4826797,191.7759527,1.722372969,4.335915667,44.92699826,13.35097707,30.3193531,4.339228305,0.064522683,3.047409582,1.291818723,0.040458811,25.56745082,0.662508684,69.80302243,397.419392,0.009067172
29,13:30:19,72.49999968,0,5.172717041,0.066082785,264.7817187,0.896396554,1.288357967,30.30568123,6,1.420000017,1,2.840000033,30.33339691,30.30568123,29.9944458,406.5107727,399.8755493,30.53529358,31.57666206,67.86417389,70.17796326,500.1637878,1198.662598,0.098576367,96.51026154,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833606313,0.000896397,303.4556812,303.4833969,191.7860113,1.722286419,4.335829881,44.92610229,13.34944022,30.31953907,4.339274547,0.064580097,3.047471914,1.291802633,0.040494931,25.55415292,0.662160313,69.80652488,397.4166874,0.009085914
30,13:30:21,74.49999963,0,5.178170713,0.066128547,264.7397833,0.896958343,1.288294007,30.30554771,6,1.420000017,1,2.840000033,30.33416748,30.30554771,29.99440765,406.5227051,399.8807373,30.5349617,31.57697105,67.86081696,70.17556763,500.169281,1198.805298,0.133007407,96.51029205,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833615468,0.000896958,303.4555477,303.4841675,191.8088434,1.722387705,4.335796705,44.92574432,13.34877327,30.3198576,4.339353752,0.064623801,3.047502699,1.291851053,0.040522425,25.5501138,0.662046852,69.80826902,397.4192829,0.009095662
31,13:30:24,76.99999958,0,5.179044231,0.066154853,264.7689793,0.897281182,1.288255116,30.30537033,6,1.420000017,1,2.840000033,30.33507347,30.30537033,29.99421501,406.5249023,399.8817749,30.53458977,31.57696724,67.85643768,70.17189026,500.1726074,1198.980469,0.125517219,96.51013947,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833621012,0.000897281,303.4553703,303.4850735,191.8368707,1.722691048,4.335752628,44.92535865,13.34839141,30.3202219,4.339444341,0.064648923,3.047497512,1.291946829,0.04053823,25.55289112,0.662118146,69.80915292,397.4199053,0.009097297
32,13:30:26,78.99999953,0,5.172214424,0.066135142,264.8969696,0.89699422,1.28821718,30.30510139,6,1.420000017,1,2.840000033,30.33585167,30.30510139,29.99389076,406.5145874,399.8797607,30.53465843,31.57670784,67.85334015,70.16838837,500.1701965,1199.105957,0.127597645,96.5100174,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833616994,0.000896994,303.4551014,303.4858517,191.8569488,1.723203486,4.335685803,44.92472305,13.34801521,30.32047653,4.339507659,0.064630099,3.047468623,1.292039036,0.040526387,25.56521115,0.662441553,69.80938593,397.4211377,0.009085302
33,13:30:28,80.99999949,0,5.169121519,0.066071054,264.8498669,0.896165901,1.288246992,30.30502129,6,1.420000017,1,2.840000033,30.33654594,30.30502129,29.993536,406.5080566,399.8772888,30.53512192,31.57621765,67.85110474,70.16470337,500.1663208,1199.229492,0.14375563,96.5099411,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833610535,0.000896166,303.4550213,303.4865459,191.8767145,1.723944353,4.335665898,44.92455232,13.34833466,30.32078362,4.339584022,0.064568894,3.047418906,1.292165116,0.040487883,25.56064505,0.662327855,69.80789321,397.420136,0.009079698
34,13:30:30,82.99999944,0,5.170743311,0.065991018,264.6582975,0.895180406,1.288354625,30.30523682,6,1.420000017,1,2.840000033,30.33735847,30.30523682,29.99346924,406.5083618,399.8761597,30.53573418,31.57567978,67.84888458,70.16054535,500.1691284,1199.371216,0.169171765,96.50987244,-1.203306198,1.070739627,0.015833113,0.003253282,0.022333693,0.001836766,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833615214,0.00089518,303.4552368,303.4873585,191.8993902,1.724771515,4.335719453,44.92513919,13.34945941,30.32129765,4.339711849,0.064492453,3.047364828,1.292347021,0.040439794,25.54213853,0.661850653,69.80491125,397.4182359,0.009082202
