OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 15:45:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:45:44 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:45:45 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:45:45 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:45:45 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:45:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:45:47,9.000001408,0,0.544507479,0.038973731,368.527829,0.499250398,1.202878831,30.29256439,6,1.420000017,1,2.840000033,30.35997772,30.29256439,29.9981041,399.9972839,399.1033936,31.89793205,32.47846985,70.67076874,71.96220398,499.2290039,1199.143311,0.138342455,96.36207581,1.113765836,0.166527689,0.016663151,0.002251682,0.034963638,0.004417881,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83204834,0.00049925,303.4425644,303.5099777,191.8629254,1.926269523,4.332571604,44.96137685,12.482907,30.32627106,4.340948788,0.03844613,3.129692774,1.211256014,0.024075682,35.5121066,0.923389365,71.50905664,398.8445608,0.00097625
2,15:45:50,11.50000135,0,0.497343476,0.039113847,370.5690081,0.500750587,1.202229608,30.29140854,6,1.420000017,1,2.840000033,30.36105728,30.29140854,29.9977951,399.9674377,399.1295166,31.89995766,32.48222351,70.67124939,71.96295166,499.2411194,1199.220215,0.129066378,96.36209106,1.113765836,0.166527689,0.016663151,0.002251682,0.034963638,0.004417881,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832068532,0.000500751,303.4414085,303.5110573,191.8752301,1.925968539,4.332284588,44.95839121,12.4761677,30.32623291,4.340939299,0.03858247,3.13005498,1.210884319,0.024161228,35.7088045,0.928443006,71.52392188,398.8931033,0.000891767
3,15:45:52,13.50000131,0,0.467216852,0.039236051,371.8781662,0.502075275,1.201704212,30.29052162,6,1.420000017,1,2.840000033,30.36181641,30.29052162,29.99755096,399.9447632,399.1424255,31.90164948,32.4854393,70.67159271,71.96543121,499.2534485,1199.240967,0.115038723,96.36194611,1.113765836,0.166527689,0.016663151,0.002251682,0.034963638,0.004417881,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832089081,0.000502075,303.4405216,303.5118164,191.8785504,1.925572684,4.332064363,44.95617345,12.47073415,30.32616901,4.340923405,0.038701372,3.130360151,1.210563254,0.024235833,35.83490381,0.931692906,71.53611282,398.920333,0.000837833
4,15:45:54,15.50000126,0,0.459223748,0.039314897,372.2373905,0.502913121,1.20132567,30.28984261,6,1.420000017,1,2.840000033,30.36241913,30.28984261,29.99730301,399.9285278,399.1354065,31.90292549,32.48768234,70.67192841,71.9673233,499.2584229,1199.22229,0.097821914,96.36175537,1.113765836,0.166527689,0.016663151,0.002251682,0.034963638,0.004417881,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832097371,0.000502913,303.4398426,303.5124191,191.8755621,1.925297896,4.331895768,44.95451283,12.46683049,30.32613087,4.340913917,0.038778082,3.130570098,1.210343818,0.024283966,35.86944836,0.932609296,71.54474225,398.9171135,0.000823606
5,15:45:56,17.50000122,0,0.461163328,0.039370613,372.1805172,0.503467882,1.200971616,30.28907585,6,1.420000017,1,2.840000033,30.36282539,30.28907585,29.99687576,399.92453,399.1288147,31.90399742,32.48939896,70.67247772,71.96891785,499.257843,1199.178345,0.086321756,96.36170197,1.113765836,0.166527689,0.016663151,0.002251682,0.034963638,0.004417881,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832096405,0.000503468,303.4390759,303.5128254,191.8685309,1.925103819,4.331705395,44.95256214,12.46316318,30.32595062,4.340869083,0.038832286,3.130733779,1.210135304,0.024317976,35.86394807,0.932482205,71.55243229,398.9095997,0.000827189
6,15:45:58,19.50000117,0,0.473729096,0.039450013,371.7069933,0.504308558,1.200589167,30.28821945,6,1.420000017,1,2.840000033,30.36321449,30.28821945,29.99640465,399.9369812,399.1257629,31.90478325,32.49116135,70.67262268,71.97068787,499.2577209,1199.165039,0.084701255,96.36170197,1.113765836,0.166527689,0.016663151,0.002251682,0.034963638,0.004417881,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832096202,0.000504309,303.4382195,303.5132145,191.866402,1.924832833,4.331492773,44.95035564,12.45919429,30.32571697,4.340810966,0.038909526,3.130903606,1.20990736,0.024366443,35.81831851,0.931302932,71.56088622,398.9005748,0.000849848
