OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 16:05:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:05:14 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:05:15 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:05:15 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:05:15 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:05:15 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:05:17,9.000003152,0,-2.402748165,0.015789671,637.1017288,0.218871527,1.291199805,30.42754745,6,1.420000017,1,2.840000033,30.32163811,30.42754745,29.99485779,399.4426575,404.0680847,31.49000549,31.91348648,69.91716003,70.86132813,300.2069702,0.151210874,0.107838392,96.35438538,0.984264433,0.164578006,0.027937012,0.002129879,0.023332167,0.002536493,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50034495,0.000218872,303.5775475,303.4716381,0.024193739,-0.123057064,4.36620418,45.3140162,13.40052972,30.37459278,4.352982899,0.01570237,3.075004375,1.277978524,0.009821788,61.3875455,1.576718758,69.40970773,405.2102361,-0.004115741
2,16:05:20,11.5000031,0,-2.361427201,0.015791109,632.9179822,0.218906748,1.291284618,30.42759132,6,1.420000017,1,2.840000033,30.32175827,30.42759132,29.99535942,399.5246887,404.0673828,31.48933601,31.91287422,69.91500092,70.85753632,300.2149048,0.082603596,0.097486243,96.35391998,0.984264433,0.164578006,0.027937012,0.002129879,0.023332167,0.002536493,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500358175,0.000218907,303.5775913,303.4717583,0.013216575,-0.123188103,4.366215147,45.31434889,13.40147467,30.3746748,4.353003349,0.015703792,3.074930529,1.27807282,0.009822678,60.98412861,1.566367416,69.40779508,405.1898922,-0.004045053
3,16:05:22,13.50000305,0,-2.311963054,0.015780329,628.0817747,0.218793788,1.291490174,30.42844582,6,1.420000017,1,2.840000033,30.32175636,30.42844582,29.99560356,399.6109924,404.054718,31.48973656,31.91303635,69.91492462,70.85689545,300.2289429,0.042446364,0.107419908,96.35368347,0.984264433,0.164578006,0.027937012,0.002129879,0.023332167,0.002536493,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500381571,0.000218794,303.5784458,303.4717564,0.006791418,-0.123320771,4.366428777,45.31667726,13.40364092,30.37510109,4.353109643,0.015693131,3.074938603,1.278171041,0.009816004,60.51799251,1.554447323,69.40426705,405.1537145,-0.003960475
4,16:05:24,15.50000301,0,-2.26624721,0.015773856,623.5584822,0.218708739,1.291512255,30.42840004,6,1.420000017,1,2.840000033,30.32153511,30.42840004,29.99534416,399.6918335,404.0440979,31.4896431,31.91276169,69.91524506,70.85642242,300.2408447,0.041818663,0.106681325,96.35346222,0.984264433,0.164578006,0.027937012,0.002129879,0.023332167,0.002536493,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500401408,0.000218709,303.5784,303.4715351,0.006690986,-0.123303428,4.366417332,45.31666254,13.40390085,30.37496758,4.353076352,0.015686729,3.074905078,1.278171274,0.009811997,60.08201866,1.543293134,69.40359902,405.1213633,-0.003882434
