OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thr Jan 21 2016 09:24:42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""09:24:42 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:24:44 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:24:44 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:24:44 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:24:44 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""09:24:44 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,09:24:46,38.00000168,0,-0.187427085,-0.003401356,303.529239,-0.05573925,1.530296176,29.14890289,6,1.420000017,1,2.840000033,29.51251793,29.14890289,30.00785065,400.4100342,400.8292236,26.20995331,26.10147476,61.19143295,60.94900513,300.2494507,0.038851045,0.076451086,96.78610229,-2.80547905,0.429242015,0.108717211,0.001509315,0.116563462,0.00771245,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500415751,-5.57392E-05,302.2989029,302.6625179,0.006216167,0.076879788,4.056556182,41.91258957,15.81111481,29.33071041,4.099381465,-0.003405435,2.526260006,1.573121459,-0.00212803,29.37741197,0.757253267,60.90110515,400.9183175,-0.000284709
2,09:24:48,40.00000163,0,-0.592653467,-0.00339689,115.2357999,-0.055651286,1.529899259,29.14832878,6,1.420000017,1,2.840000033,29.51229858,29.14832878,30.00733757,399.6292725,400.8582153,26.21236801,26.10405731,61.21315384,60.96701813,300.2393799,0.071239024,0.074965738,96.78657532,-2.80547905,0.429242015,0.108717211,0.001509315,0.116563462,0.00771245,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500398966,-5.56513E-05,302.2983288,302.6622986,0.011398244,0.076942211,4.056421569,41.91099391,15.8069366,29.33031368,4.099287587,-0.003400958,2.526522309,1.572765278,-0.002125233,11.15327843,0.287472716,60.90999073,401.1399344,-0.000899898
3,09:24:50,42.00000159,0,-1.576934284,-0.003404467,-340.307169,-0.055769032,1.529719505,29.14824677,6,1.420000017,1,2.840000033,29.5123024,29.14824677,30.00663567,397.6413879,400.8375244,26.21424484,26.10570145,61.22376633,60.97558594,300.2290955,0.089484669,0.062719002,96.78662872,-2.80547905,0.429242015,0.108717211,0.001509315,0.116563462,0.00771245,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500381826,-5.5769E-05,302.2982468,302.6623024,0.014317547,0.077045474,4.056402338,41.9107721,15.80507065,29.33027458,4.099278335,-0.003408553,2.526682833,1.572595501,-0.002129978,-32.93718362,-0.848990297,60.91426511,401.5871234,-0.002391954
