OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 15:25:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:25:54 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:25:56 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:25:56 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:25:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:25:56 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:25:56 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:25:58,24.00000317,0,-1.09223366,-0.002617427,-265.013759,-0.03557903,1.261552915,29.93248367,6,1.420000017,1,2.840000033,30.15023232,29.93248367,30.00644302,401.421051,403.6342163,30.97247124,30.90351295,69.58049011,69.42612457,300.0032349,-0.139846712,0.174387157,96.5069046,-3.693574429,-0.424993753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500005391,-3.5579E-05,303.0824837,303.3002323,-0.022375473,0.048971432,4.243955291,43.97566484,13.07215188,30.04135799,4.270581249,-0.002619841,2.982402377,1.288178872,-0.001637184,-25.57565756,-0.656569112,69.08942254,404.1534119,-0.001867157
2,15:26:00,26.00000313,0,-1.130170083,-0.002662523,-276.3304001,-0.036190368,1.261478422,29.93232918,6,1.420000017,1,2.840000033,30.15036964,29.93232918,30.00731277,401.375824,403.6653442,30.97395897,30.90381622,69.57312775,69.41684723,300.0049133,-0.075544491,0.116563909,96.50714874,-3.693574429,-0.424993753,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500008189,-3.61904E-05,303.0823292,303.3003696,-0.012087118,0.049450973,4.243917611,43.97516315,13.07134693,30.04134941,4.270579144,-0.002665021,2.982439189,1.288139955,-0.001665414,-26.66785903,-0.684553193,69.09048525,404.202573,-0.001931804
3,15:26:02,28.00000308,0,-1.187485226,-0.002715502,-296.5713553,-0.036911341,1.261486334,29.9319191,6,1.420000017,1,2.840000033,30.15026283,29.9319191,30.00756073,401.2929077,403.6976624,30.97422409,30.90268326,69.57028961,69.41155243,300.0022278,-0.036790762,0.110538349,96.50719452,-3.693574429,-0.424993753,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500003713,-3.69113E-05,303.0819191,303.3002628,-0.005886522,0.049940865,4.243817598,43.97410597,13.07142271,30.04109097,4.270515768,-0.0027181,2.982331264,1.288184503,-0.001698579,-28.62126948,-0.734637287,69.08902095,404.262136,-0.002029431
4,15:26:05,30.50000303,0,-1.24239869,-0.002748967,-319.7251264,-0.037369808,1.261592886,29.93138123,6,1.420000017,1,2.840000033,30.15049744,29.93138123,30.00731087,401.1948853,403.7098389,30.97268867,30.90025902,69.56483459,69.40380859,300.0020142,-0.036882859,0.110576406,96.50707245,-3.693574429,-0.424993753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500003357,-3.73698E-05,303.0813812,303.3004974,-0.005901257,0.050287754,4.243686422,43.97280234,13.07254333,30.04093933,4.270478584,-0.002751631,2.982093536,1.288385048,-0.00171953,-30.85573593,-0.791967635,69.08514969,404.3004157,-0.002122958
5,15:26:07,32.50000298,0,-1.26953288,-0.002726797,-341.2852768,-0.037069187,1.26163026,29.93095589,6,1.420000017,1,2.840000033,30.15074158,29.93095589,30.00724602,401.1342163,403.7031555,30.97064781,30.8988018,69.55953217,69.39899445,300.0065918,-0.03788263,0.1128278,96.50705719,-3.693574429,-0.424993753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500010986,-3.70692E-05,303.0809559,303.3007416,-0.006061221,0.050224487,4.243582692,43.97173446,13.07293266,30.04084873,4.270456367,-0.002729418,2.981952433,1.288503935,-0.00170565,-32.93643773,-0.845386696,69.0837603,404.3066306,-0.002169247
6,15:26:09,34.50000294,0,-1.287704437,-0.002703418,-358.3001906,-0.036751884,1.261660637,29.93047142,6,1.420000017,1,2.840000033,30.15079689,29.93047142,30.00712967,401.0861816,403.6911621,30.96848297,30.89725304,69.5546875,69.39511871,300.0116577,-0.02890401,0.123239897,96.50708771,-3.693574429,-0.424993753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50001943,-3.67519E-05,303.0804714,303.3007969,-0.004624641,0.050152987,4.243464546,43.97049633,13.07324329,30.04063416,4.27040375,-0.002705994,2.981803909,1.288599841,-0.001691015,-34.57850792,-0.887560155,69.08245462,404.3032751,-0.002200274
7,15:26:11,36.50000289,0,-1.28835803,-0.002698016,-360.2110396,-0.036679359,1.261697357,29.92986488,6,1.420000017,1,2.840000033,30.15079498,29.92986488,30.0069313,401.0663147,403.6725159,30.96641159,30.8953228,69.55026245,69.39102936,300.0147095,-0.020546505,0.117430836,96.50714111,-3.693574429,-0.424993753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500024516,-3.66794E-05,303.0798649,303.300795,-0.003287441,0.050216482,4.243316634,43.96893935,13.07361655,30.04032993,4.27032915,-0.002700582,2.981619277,1.288709873,-0.001687633,-34.76293763,-0.892334815,69.08059192,404.2849396,-0.002201431
8,15:26:13,38.50000285,0,-1.302846248,-0.002714172,-364.1696622,-0.036899786,1.26172247,29.92871475,6,1.420000017,1,2.840000033,30.15079117,29.92871475,30.00690269,401.0212402,403.6565857,30.96363831,30.89212227,69.54190063,69.38191223,300.015564,-0.00654989,0.103244901,96.50724792,-3.693574429,-0.424993753,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50002594,-3.68998E-05,303.0787148,303.3007912,-0.001047982,0.050519115,4.243036173,43.96598456,13.0738623,30.03975296,4.270187672,-0.002716769,2.981313703,1.288873969,-0.001697747,-35.14501188,-0.902176937,69.0778555,404.2758964,-0.002226149
9,15:26:15,40.50000281,0,-1.321916183,-0.002714952,-375.0804654,-0.036911846,1.261777784,29.92728996,6,1.420000017,1,2.840000033,30.15062904,29.92728996,30.00670242,400.9624023,403.6358643,30.95947838,30.88793945,69.5343399,69.37405396,300.0188904,-0.003091794,0.102737598,96.50727844,-3.693574429,-0.424993753,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500031484,-3.69118E-05,303.07729,303.300629,-0.000494687,0.050710175,4.242688757,43.96237078,13.07443132,30.0389595,4.269993117,-0.002717549,2.980910973,1.289082144,-0.001698235,-36.19799491,-0.929254555,69.07408442,404.2642399,-0.002258675
10,15:26:17,42.50000276,0,-1.319660825,-0.002689987,-380.9435027,-0.036575627,1.261903831,29.92617989,6,1.420000017,1,2.840000033,30.1506176,29.92617989,30.00660324,400.9295959,403.5982361,30.9547081,30.88382149,69.52533722,69.36571503,300.0230713,-0.017135883,0.120612957,96.50730133,-3.693574429,-0.424993753,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500038452,-3.65756E-05,303.0761799,303.3006176,-0.002741741,0.050664423,4.242418098,43.9595558,13.07573431,30.03839874,4.269855624,-0.002692538,2.980514267,1.289341357,-0.001682607,-36.76382941,-0.943868106,69.06940535,404.2255396,-0.002254884
11,15:26:19,44.50000272,0,-1.294739906,-0.002663212,-373.9925388,-0.036214838,1.262035989,29.92522621,6,1.420000017,1,2.840000033,30.15057945,29.92522621,30.00688934,400.9374084,403.5558777,30.95017815,30.87999153,69.5161972,69.3576355,300.0274963,-0.027734056,0.134921685,96.50746155,-3.693574429,-0.424993753,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500045827,-3.62148E-05,303.0752262,303.3005795,-0.004437449,0.050586541,4.242185584,43.95707354,13.07708201,30.03790283,4.269734034,-0.002665712,2.980149595,1.289584439,-0.001665845,-36.09307056,-0.926742886,69.06486391,404.171335,-0.002212454
