OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 15:40:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:40:28 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:40:30 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:40:30 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:40:30 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:40:30 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:40:32,11.00000717,0,-1.820557324,0.007348468,787.9336117,0.109840206,1.391256217,30.40222931,6,1.420000017,1,2.840000033,30.33495331,30.40222931,30.00937462,401.4058228,404.9570313,30.54971504,30.76258087,67.8759613,68.34919739,300.079834,-0.038474403,0.121067882,96.50108337,-3.066499233,-0.260008097,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500133057,0.00010984,303.5522293,303.4849533,-0.006155904,-0.066564564,4.359878598,45.17958188,14.41700101,30.36859131,4.351486705,0.007329503,2.968622381,1.382864323,0.00458264,76.03644715,1.945721523,66.91567232,405.822437,-0.0030019
2,15:40:34,13.00000713,0,-1.833660241,0.00726287,795.4088101,0.108586364,1.39154545,30.40341187,6,1.420000017,1,2.840000033,30.33518219,30.40341187,30.01025581,401.3816223,404.9602051,30.55209351,30.76253891,67.88028717,68.34963226,300.0663452,-0.072901845,0.096106574,96.50141144,-3.066499233,-0.260008097,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500110575,0.000108586,303.5534119,303.4851822,-0.011664295,-0.066114208,4.360173875,45.18248811,14.4199492,30.36929703,4.35166262,0.007244344,2.968628424,1.383034196,0.004529376,76.75807284,1.964165368,66.90999124,405.8318393,-0.003023178
3,15:40:36,15.00000709,0,-1.91086469,0.007212088,815.1775319,0.107829465,1.391552491,30.40350342,6,1.420000017,1,2.840000033,30.33505821,30.40350342,30.01015472,401.2229614,404.956604,30.55367661,30.76265907,67.88412476,68.3508606,300.0606079,-0.075450078,0.102687635,96.50154877,-3.066499233,-0.260008097,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500101013,0.000107829,303.5535034,303.4850582,-0.012072012,-0.065757023,4.360196735,45.1826607,14.42000163,30.36928082,4.351658579,0.00719382,2.968644245,1.383014334,0.004497775,78.66589435,2.012999724,66.90940211,405.8649376,-0.003150181
4,15:40:38,17.00000704,0,-2.016539602,0.007168409,841.0765195,0.107159104,1.391305954,30.40247917,6,1.420000017,1,2.840000033,30.33506775,30.40247917,30.00941277,400.9969177,404.9423828,30.55493546,30.76261711,67.88683319,68.35116577,300.0629272,-0.068669543,0.104127936,96.50138092,-3.066499233,-0.260008097,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500104879,0.000107159,303.5524792,303.4850677,-0.010987127,-0.065250208,4.359940986,45.18008907,14.41747196,30.36877346,4.351532109,0.007150361,2.968635032,1.382897077,0.004470594,81.16504559,2.077027635,66.9128613,405.9009492,-0.00332427
