OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fri Jan 22 2016 16:25:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:25:44 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:25:45 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:25:45 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:25:45 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:25:45 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:25:47,9.000005722,0,1.731091282,0.009850289,108.4274517,0.189549611,1.78759191,32.15412903,6,1.420000017,1,2.840000033,30.36852264,32.15412903,30.00937271,400.4376831,398.2702637,31.17233276,31.39260292,69.13134766,69.62042236,500.1108398,1198.96936,0.071358904,96.49746704,-3.322389126,-0.283930063,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833518066,0.00018955,305.304129,303.5185226,191.8350934,1.897580395,4.816898575,49.91735766,18.52475474,31.26132584,4.579036377,0.009816242,3.029306666,1.549729711,0.006138201,10.46297445,0.272245913,61.45018063,397.4473858,0.002676477
2,16:25:49,11.00000568,0,1.710720964,0.009696492,107.389399,0.186585844,1.78745637,32.15350723,6,1.420000017,1,2.840000033,30.36929512,32.15350723,30.00993156,400.4467163,398.3049622,31.17541313,31.39225769,69.13231659,69.61592865,500.0683289,1198.991089,0.068214051,96.49745178,-3.322389126,-0.283930063,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833447215,0.000186586,305.3035072,303.5192951,191.8385699,1.899354611,4.816729243,49.91561077,18.52335308,31.26140118,4.579056009,0.009663499,3.029272873,1.549783137,0.006042642,10.36280335,0.269616021,61.44971005,397.4917673,0.002644666
3,16:25:51,13.00000563,0,1.695346175,0.009598164,107.0954976,0.184703148,1.787485444,32.15356445,6,1.420000017,1,2.840000033,30.36981964,32.15356445,30.01031685,400.4510498,398.3285217,31.17745209,31.39212036,69.13404083,69.61341095,500.0410767,1198.988892,0.084379487,96.49744415,-3.322389126,-0.283930063,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833401794,0.000184703,305.3035645,303.5198196,191.8382184,1.90039015,4.816744826,49.9157762,18.52365583,31.26169205,4.579131807,0.009565835,3.029259381,1.549872425,0.005981543,10.3344418,0.268862237,61.44787693,397.5226354,0.002620616
4,16:25:53,15.00000559,0,1.683719804,0.009556282,107.8032703,0.183904572,1.787532678,32.15369797,6,1.420000017,1,2.840000033,30.36991882,32.15369797,30.00993729,400.4421692,398.3339233,31.17823029,31.3919754,69.13503265,69.61230469,500.0295105,1198.990234,0.070899189,96.49754333,-3.322389126,-0.283930063,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833382517,0.000183905,305.303698,303.5199188,191.8384332,1.900800226,4.816781185,49.91610168,18.52412628,31.2618084,4.579162126,0.009524234,3.029248507,1.549913619,0.005955517,10.40275075,0.270635424,61.44657894,397.5335636,0.002602518
