OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 14:27:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:27:55 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:27:57 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:27:57 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:27:57 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:27:57 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:27:59,13.50000012,0,-2.015092728,0.058180551,446.8905467,0.834151807,1.362277731,29.51203156,6,1.420000017,1,2.840000033,30.0337677,29.51203156,30.00465012,398.3734436,400.3908691,27.81725502,28.78946686,62.92774582,65.14126587,499.9756165,-0.080253705,0.093365982,96.57026672,-3.472583771,0.605178654,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833292694,0.000834152,302.6620316,303.1837677,-0.012840593,-0.359678993,4.142484225,42.89606279,14.10659593,29.77289963,4.2051894,0.057012585,2.780206493,1.424982907,0.035735991,43.15633929,1.116135709,66.57666114,401.3487477,-0.003342683
2,14:28:01,15.50000008,0,-1.984759926,0.058279469,445.9431415,0.835168433,1.361675168,29.50932693,6,1.420000017,1,2.840000033,30.03392792,29.50932693,30.00515747,398.3885498,400.3691406,27.81559181,28.78900528,62.92582703,65.13581848,499.9672546,-0.079501659,0.168605849,96.5703125,-3.472583771,0.605178654,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833278758,0.000835168,302.6593269,303.1839279,-0.012720265,-0.359803694,4.141838405,42.88935489,14.10034961,29.77162743,4.204881603,0.057107569,2.780163236,1.424718367,0.0357957,43.06486854,1.113829954,66.58750034,401.3126004,-0.003293198
Remark=,"""14:28:03 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14:28:03,17.50000003,0,-1.957031014,0.058357608,445.0856095,0.836140082,1.361473299,29.50822639,6,1.420000017,1,2.840000033,30.03343773,29.50822639,30.00522232,398.3989258,400.346405,27.81351852,28.78837013,62.92375183,65.13417816,499.8108215,-0.073241636,0.221995071,96.57032776,-3.472583771,0.605178654,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833018036,0.00083614,302.6582264,303.1834377,-0.011718662,-0.360211462,4.141575639,42.88662713,14.098257,29.77083206,4.204689183,0.057182595,2.780102339,1.424586843,0.035842864,42.98206319,1.111751233,66.59129317,401.2766838,-0.003247665
4,14:28:05,19.49999999,0,-1.88919372,0.057017538,444.4207066,0.817102418,1.361108015,29.50941277,6,1.420000017,1,2.840000033,30.03267479,29.50941277,30.00518799,398.4108276,400.3470764,27.81141853,28.79508591,62.92230225,65.14347076,484.0501404,-0.057276875,0.228052422,96.57032776,-3.472583771,0.605178654,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.806750234,0.000817102,302.6594128,303.1826748,-0.0091643,-0.350570794,4.141858898,42.88956033,14.09447442,29.77104378,4.204740402,0.055895349,2.780750884,1.423989518,0.035033711,42.9178533,1.110088553,66.58692513,401.2451086,-0.003135131
5,14:28:07,21.49999994,0,-1.794875879,0.054627029,443.9895815,0.782677917,1.359676144,29.51115227,6,1.420000017,1,2.840000033,30.03235054,29.51115227,30.00502777,398.4333496,400.3904724,27.81010628,28.8142643,62.92058182,65.17331696,454.1868591,-0.039377522,0.212387517,96.57015991,-3.472583771,0.605178654,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.756978099,0.000782678,302.6611523,303.1823505,-0.006300403,-0.332952888,4.142274255,42.89393596,14.07967167,29.7717514,4.204911598,0.053596115,2.782598111,1.422313487,0.033588692,42.87614489,1.108891475,66.59745202,401.2436704,-0.002979091
6,14:28:09,23.4999999,0,-1.741286029,0.052888848,444.1592211,0.757074999,1.357581752,29.51298332,6,1.420000017,1,2.840000033,30.03232002,29.51298332,30.0051384,398.4528503,400.4681702,27.81019592,28.84054375,62.92035675,65.21775818,428.1508789,-0.024847856,0.208017915,96.56994629,-3.472583771,0.605178654,0,-0.219565243,2.737391472,1,0,0.159999996,111115,0.713584798,0.000757075,302.6629833,303.18232,-0.003975657,-0.31989305,4.142711512,42.89855873,14.05801498,29.77265167,4.205129408,0.051921915,2.785129761,1.419999648,0.032536706,42.89243212,1.109099934,66.63185266,401.2958941,-0.002891261
