OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 10:42:57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:42:57 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:43:00 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:43:00 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:43:00 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:43:00 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:43:00 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:43:02,52.50000117,0,-0.703527759,0.12376589,403.2824574,1.251854194,0.986298813,28.44050026,6,1.420000017,1,2.840000033,30.11353874,28.44050026,30.00883675,400.3532104,400.5956421,28.56258774,30.01961517,64.4766922,67.77776337,500.03479,0.065856442,2.302697897,96.83966827,-4.353809357,0.305068791,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833391317,0.001251854,301.5905003,303.2635387,0.01053703,-0.415690932,3.893388389,40.20447878,10.18486361,29.2770195,4.086693595,0.118597467,2.907089575,1.17960402,0.074571064,39.05373939,1.006707051,74.84187086,400.9300655,-0.00131328
2,10:43:05,55.00000112,0,-0.762636471,0.123417545,404.1654801,1.249414697,0.987032998,28.44369698,6,1.420000017,1,2.840000033,30.1146946,28.44369698,30.007864,400.3569946,400.6714172,28.5653553,30.01957321,64.48868561,67.77998352,500.0245667,0.033391058,2.384369612,96.83943939,-4.353809357,0.305068791,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833374278,0.001249415,301.593697,303.2646946,0.005342569,-0.414763593,3.894111639,40.21204236,10.19246915,29.27919579,4.087207214,0.118277571,2.907078641,1.180128573,0.074368709,39.13915852,1.008720519,74.82476256,401.0339381,-0.001422924
3,10:43:07,57.00000107,0,-0.813710899,0.123281919,404.8664743,1.249201474,0.987897994,28.4480381,6,1.420000017,1,2.840000033,30.11550713,28.4480381,30.00745773,400.3102722,400.6860657,28.56683731,30.02082062,64.49208832,67.78105164,500.0192566,0.009661934,2.408802986,96.83932495,-4.353809357,0.305068791,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833365428,0.001249201,301.5980381,303.2655071,0.001545909,-0.415184944,3.895093997,40.22223409,10.20141347,29.28177261,4.087815436,0.118153,2.907196003,1.180619432,0.074289913,39.20699606,1.010433127,74.80775257,401.0728649,-0.001517726
4,10:43:09,59.00000103,0,-0.850259667,0.123179248,405.3720186,1.248990205,0.988514533,28.45115662,6,1.420000017,1,2.840000033,30.11598396,28.45115662,30.00694275,400.2793579,400.6990967,28.56801987,30.02177811,64.49433136,67.78177643,500.0115967,-0.00185901,2.405317783,96.83921051,-4.353809357,0.305068791,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833352661,0.00124899,301.6011566,303.265984,-0.000297442,-0.415462151,3.895799823,40.22957025,10.20779215,29.28357029,4.088239797,0.118058691,2.90728529,1.180954507,0.074230258,39.25590625,1.011661923,74.79561579,401.1032694,-0.001585519
5,10:43:11,61.00000098,0,-0.875462228,0.123089878,405.7352656,1.248114942,0.988506564,28.45126343,6,1.420000017,1,2.840000033,30.11611748,28.45126343,30.00634956,400.267395,400.7177734,28.56942558,30.02217865,64.49728394,67.78227234,500.0067139,0.008004298,2.448481083,96.83898926,-4.353809357,0.305068791,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833344523,0.001248115,301.6012634,303.2661175,0.001280688,-0.414984326,3.895824,40.22991183,10.20773318,29.28369045,4.088268164,0.117976595,2.907317436,1.180950728,0.07417833,39.29099302,1.012521262,74.79520551,401.1339263,-0.001632382
