OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 11:08:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:08:52 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:55 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:55 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:55 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:08:55 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:08:57,10.50000522,0,10.16016803,0.178991724,296.0139917,2.361545803,1.304416438,30.8073101,6,1.420000017,1,2.840000033,30.34943962,30.8073101,30.01039124,412.7997131,399.4734802,29.87312698,32.61496353,66.52928162,72.66257477,499.9256592,1199.884277,2.812196732,96.81547546,-5.315906525,0.12577039,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833209432,0.002361546,303.9573101,303.4994396,191.9814801,0.967323661,4.462049639,46.08818598,13.47322245,30.57837486,4.404053446,0.168379559,3.157633202,1.246420244,0.106141843,28.65873535,0.741010371,71.37313379,394.6438229,0.018375127
2,11:08:59,12.50000517,0,9.938067849,0.179248389,298.2539753,2.362982175,1.303461446,30.80387497,6,1.420000017,1,2.840000033,30.34965324,30.80387497,30.00971603,412.5732422,399.5133057,29.87229919,32.61568832,66.53199768,72.65385437,499.9462585,1199.875488,2.77154398,96.81577301,-5.315906525,0.12577039,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833243764,0.002362982,303.953875,303.4996532,191.9800738,0.967086135,4.461174524,46.07900536,13.46331704,30.57676411,4.403647731,0.168606673,3.157713077,1.245934653,0.106286242,28.87568917,0.746543284,71.3910389,394.7892242,0.017971336
3,11:09:01,14.50000513,0,9.975333733,0.179800966,298.1433012,2.368154598,1.302543842,30.80169678,6,1.420000017,1,2.840000033,30.34975052,30.80169678,30.00879669,412.579071,399.472229,29.8699894,32.61933517,66.52896118,72.65706635,499.953186,1199.876587,2.825531483,96.81607056,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83325531,0.002368155,303.9516968,303.4997505,191.9802496,0.964733922,4.460619697,46.07313302,13.45379785,30.57572365,4.403385678,0.169095497,3.158075856,1.245309823,0.106597047,28.86506288,0.746342998,71.41288801,394.7304331,0.018046934
4,11:09:03,16.50000509,0,9.976585657,0.179986383,298.2322668,2.370486227,1.302563661,30.80262947,6,1.420000017,1,2.840000033,30.34997368,30.80262947,30.00793839,412.5922546,399.4826355,29.86942101,32.62149429,66.52690125,72.66007996,499.9483337,1199.862793,2.907241106,96.81633759,-5.315906525,0.12577039,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833247223,0.002370486,303.9526295,303.4999737,191.9780426,0.963397234,4.460857265,46.07545974,13.45396545,30.57630157,4.403531235,0.169259481,3.158293604,1.245237631,0.106701315,28.87375582,0.746546258,71.41566383,394.7402445,0.018049451
5,11:09:05,18.50000504,0,9.811900968,0.179809216,299.7716094,2.368545765,1.302706096,30.80303383,6,1.420000017,1,2.840000033,30.35002136,30.80303383,30.0074234,412.4949646,399.5836182,29.8711853,32.62100983,66.52984619,72.65866852,499.9478455,1199.851685,2.947343826,96.81656647,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833246409,0.002368546,303.9530338,303.5000214,191.9762652,0.964330751,4.460960262,46.07641466,13.45540483,30.5765276,4.403588161,0.169102793,3.158254166,1.245333995,0.106601686,29.02285794,0.750209958,71.41151404,394.9195104,0.017742418
6,11:09:07,20.500005,0,9.774050396,0.179671379,300.072817,2.366684285,1.302625503,30.80253792,6,1.420000017,1,2.840000033,30.34999275,30.80253792,30.00701523,412.4645081,399.5995483,29.87282753,32.62046814,66.53290558,72.65779114,499.9522705,1199.846436,2.891534328,96.81677246,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833253784,0.002366684,303.9525379,303.4999928,191.9754254,0.965352798,4.460833945,46.07501191,13.45454377,30.57626534,4.403522107,0.168980877,3.158208441,1.245313666,0.106524167,29.05208164,0.750933824,71.41119722,394.9534329,0.017672378
7,11:09:10,23.00000494,0,9.855930248,0.179647812,299.2327358,2.36684652,1.302874915,30.80373764,6,1.420000017,1,2.840000033,30.35012436,30.80373764,30.00670242,412.493866,399.5310364,29.8732338,32.6210022,66.53380585,72.65797424,499.9630127,1199.807861,2.778774261,96.81690979,-5.315906525,0.12577039,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833271688,0.002366847,303.9537376,303.5001244,191.9692535,0.96504257,4.461139542,46.078103,13.45710081,30.576931,4.403689766,0.168960031,3.158264627,1.245425139,0.106510913,28.97078879,0.748959927,71.40740504,394.8459992,0.017824327
8,11:09:12,25.0000049,0,9.832421356,0.179684333,299.4523034,2.367395507,1.302929832,30.80435181,6,1.420000017,1,2.840000033,30.35044479,30.80435181,30.00615311,412.4491882,399.5146484,29.87362289,32.6219635,66.53438568,72.65745544,499.9743652,1199.75769,2.727381706,96.81716919,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833290609,0.002367396,303.9543518,303.5004448,191.9612262,0.964620891,4.461295991,46.07959547,13.45763197,30.5773983,4.403807466,0.168992335,3.15836616,1.245441307,0.106531453,28.99212432,0.749540235,71.40751187,394.8407862,0.017782072
9,11:09:14,27.00000485,0,9.964014631,0.179823475,298.2213665,2.36907983,1.302909646,30.80507088,6,1.420000017,1,2.840000033,30.35066986,30.80507088,30.00564575,412.5284729,399.4355774,29.87369919,32.62395859,66.53436279,72.65955353,499.9799805,1199.717896,2.696935177,96.81748199,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833299967,0.00236908,303.9550709,303.5006699,191.954859,0.963601738,4.461479169,46.08133859,13.45738,30.57787037,4.403926371,0.169115405,3.158569523,1.245356848,0.106609705,28.87304178,0.746606921,71.41039048,394.699162,0.018027253
10,11:09:16,29.00000481,0,10.05545719,0.17988934,297.3468414,2.369994717,1.302965108,30.80585289,6,1.420000017,1,2.840000033,30.35083008,30.80585289,30.00540352,412.5786743,399.375946,29.87407684,32.62535858,66.53442383,72.66202545,499.9864807,1199.694824,2.628201246,96.81773376,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833310801,0.002369995,303.9558529,303.5008301,191.9511676,0.962994598,4.461678389,46.08327644,13.45791786,30.57834148,4.404045038,0.169173658,3.158713281,1.245331757,0.106646745,28.78844733,0.744528669,71.41102399,394.5960633,0.018197609
11,11:09:18,31.00000476,0,10.11071594,0.180023363,296.8589829,2.371136633,1.302682318,30.80537033,6,1.420000017,1,2.840000033,30.35080338,30.80537033,30.00538635,412.6008606,399.3316345,29.87439919,32.62695313,66.53513336,72.66520691,499.9953613,1199.671021,2.553781271,96.81790161,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833325602,0.002371137,303.9553703,303.5008034,191.947359,0.962423505,4.461555455,46.0819268,13.45497368,30.57808685,4.4039809,0.169292184,3.158873138,1.245107762,0.106722109,28.7412638,0.743389597,71.4177061,394.5254844,0.018302598
12,11:09:20,33.00000472,0,10.29765311,0.1802021,295.0984207,2.372805418,1.302384288,30.80478287,6,1.420000017,1,2.840000033,30.35075188,30.80478287,30.00518799,412.703186,399.2091675,29.87397003,32.62845993,66.53546143,72.66777039,499.994812,1199.635498,2.485150099,96.81797791,-5.315906525,0.12577039,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833324687,0.002372805,303.9547829,303.5007519,191.9416754,0.961568861,4.4614058,46.08034475,13.45188482,30.57776737,4.403900428,0.169450238,3.159021513,1.244878915,0.106822608,28.57083237,0.739207525,71.42497896,394.3141564,0.018652885
13,11:09:22,35.00000467,0,10.41961295,0.180251419,293.9058831,2.373877978,1.302633951,30.80618858,6,1.420000017,1,2.840000033,30.35098839,30.80618858,30.00510406,412.7609863,399.1202698,29.87384415,32.6295929,66.53475952,72.66919708,499.9917297,1199.578735,2.450949192,96.81793976,-5.315906525,0.12577039,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83331955,0.002373878,303.9561886,303.5009884,191.9325934,0.960737911,4.461763911,46.08406171,13.45446881,30.57858849,4.404107255,0.169493847,3.159129959,1.244977296,0.106850337,28.45536209,0.736384257,71.42218966,394.1672848,0.018880095
14,11:09:24,37.50000462,0,10.41595983,0.180329122,293.9747252,2.374397274,1.30239077,30.8058033,6,1.420000017,1,2.840000033,30.35124588,30.8058033,30.00517464,412.750885,399.1143188,29.8747406,32.63108826,66.53530884,72.67138672,499.9916687,1199.550903,2.535062551,96.81794739,-5.315906525,0.12577039,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833319448,0.002374397,303.9558033,303.5012459,191.9281402,0.960508205,4.461665756,46.08304427,13.45195601,30.57852459,4.40409116,0.16956255,3.159274986,1.244816174,0.106894024,28.46202948,0.736567723,71.4276241,394.1630704,0.018875113
15,11:09:26,39.50000457,0,10.47735079,0.180363635,293.3766818,2.373987188,1.301934588,30.80420303,6,1.420000017,1,2.840000033,30.35138893,30.80420303,30.00522804,412.7728577,399.0628662,29.87568665,32.63157654,66.53649902,72.67224884,499.9880981,1199.571045,2.585051537,96.81798553,-5.315906525,0.12577039,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833313497,0.002373987,303.954203,303.5013889,191.9313629,0.961008614,4.461258093,46.07881551,13.44723897,30.57779598,4.403907634,0.169593064,3.159323505,1.244584129,0.106913426,28.40413934,0.735164072,71.43540403,394.0824354,0.018992315
