OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 14:59:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""14:59:15 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:59:18 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:59:18 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:59:18 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""14:59:19 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,14:59:21,12.50000421,0,0.498713281,0.015591137,336.5577128,0.307165094,1.837893312,31.79326248,6,1.420000017,1,2.840000033,30.10572433,31.79326248,30.00992775,400.8743591,399.6351318,29.24238014,29.83660316,65.89898682,67.2326355,300.8974609,1199.584961,0.156935409,96.57929993,-3.884784698,0.550277531,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501495768,0.000307165,304.9432625,303.2557243,191.9335895,1.853560335,4.719491558,48.8664917,19.02988853,30.94949341,4.498402893,0.015506012,2.881598246,1.616804647,0.009698869,32.50450828,0.842162478,59.68349179,399.3980674,0.000745245
2,14:59:23,14.50000417,0,0.543397536,0.015573387,331.922208,0.306849201,1.838075526,31.79368591,6,1.420000017,1,2.840000033,30.10606194,31.79368591,30.00957298,400.9256287,399.5975647,29.24240494,29.83602142,65.89364624,67.22807312,300.8953247,1199.570068,0.131933168,96.57887268,-3.884784698,0.550277531,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501492208,0.000306849,304.9436859,303.2560619,191.9312066,1.853681648,4.71960484,48.86788082,19.0318594,30.94987392,4.498500528,0.015488454,2.881529314,1.616971213,0.009687879,32.05667267,0.830641218,59.68019493,399.3392595,0.000812093
3,14:59:25,16.50000412,0,0.62702156,0.015570213,323.3887053,0.306754714,1.837874865,31.79306793,6,1.420000017,1,2.840000033,30.1065712,31.79306793,30.00949097,401.0669556,399.5722656,29.24309921,29.83651924,65.89159393,67.22624969,300.9020996,1199.576294,0.099436402,96.57844543,-3.884784698,0.550277531,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501503499,0.000306755,304.9430679,303.2565712,191.9322027,1.853904309,4.71943951,48.86638513,19.02986589,30.94981956,4.49848658,0.015485315,2.881564646,1.616921934,0.009685914,31.23237843,0.809337217,59.68316042,399.2742096,0.000937266
Remark=,"""14:59:26 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14:59:27,19.00000407,0,0.726432486,0.015824576,314.4667128,0.311832877,1.838424071,31.79467201,6,1.420000017,1,2.840000033,30.10661888,31.79467201,30.00890541,401.2421875,399.5758972,29.24302292,29.83536339,65.88983154,67.2243042,306.4412231,1199.57312,0.095172532,96.57816315,-3.884784698,0.550277531,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.510735372,0.000311833,304.944672,303.2566189,191.9316949,1.85104259,4.719868664,48.87097156,19.03560817,30.95064545,4.498698495,0.01573689,2.881444593,1.617253902,0.009843397,30.3706175,0.787001206,59.67829926,399.230586,0.001085895
5,14:59:29,21.00000402,0,0.798580636,0.016779308,311.8099399,0.330787631,1.839823099,31.79718399,6,1.420000017,1,2.840000033,30.10656166,31.79718399,30.00833321,401.3192444,399.6211548,29.24237251,29.82785797,65.88822174,67.21296692,328.87677,1199.565674,0.079755388,96.57809448,-3.884784698,0.550277531,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.54812795,0.000330788,304.947184,303.2565617,191.9305035,1.840843561,4.720540785,48.87796565,19.05010768,30.95187283,4.499013448,0.016680755,2.880717685,1.618295762,0.010434282,30.11400984,0.780263848,59.66685471,399.2415478,0.001193483
6,14:59:31,23.00000398,0,0.854167057,0.017802436,311.2421244,0.351061332,1.841038121,31.79717636,6,1.420000017,1,2.840000033,30.10659409,31.79717636,30.00805664,401.37323,399.6986389,29.24173737,29.81525612,65.88658905,67.19160461,356.3207092,1199.578979,0.0818877,96.57809448,-3.884784698,0.550277531,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.593867849,0.000351061,304.9471764,303.2565941,191.9326324,1.830381435,4.720538743,48.87794451,19.06268839,30.95188522,4.499016629,0.017691537,2.879500622,1.619516007,0.011067121,30.0591713,0.77869198,59.65491556,399.2926088,0.001276138
