OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 11:37:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:37:08 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:37:10 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:37:10 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:37:11 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:37:11 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:37:13,115.0000002,0,-0.7122263,0.009657633,506.7083015,0.172035544,1.66776761,30.21689796,6,1.420000017,1,2.840000033,30.2894001,30.21689796,30.00485802,400.0643921,401.3468628,27.0052948,27.3389473,60.31235504,61.0759964,300.9099731,0.702629447,1.423919439,96.78681946,-3.094287872,0.672303975,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501516622,0.000172036,303.366898,303.4394001,0.112420709,-0.077650441,4.313817367,44.5702978,17.23135051,30.25314903,4.322793498,0.009624903,2.646049756,1.676743742,0.006018496,49.0426849,1.262519652,60.03296244,401.6854211,-0.001064441
2,11:37:15,117.0000001,0,-0.741373653,0.009622242,511.9106091,0.1713968,1.667668246,30.2162075,6,1.420000017,1,2.840000033,30.289505,30.2162075,30.00470924,399.9865723,401.3277588,27.00577545,27.33820915,60.32317734,61.07778168,300.8920898,0.629777133,1.531864524,96.78681946,-3.094287872,0.672303975,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501486816,0.000171397,303.3662075,303.439505,0.100764339,-0.077343736,4.313646559,44.56853302,17.23032387,30.25285625,4.322720938,0.009589751,2.645978314,1.676742625,0.005996505,49.5461997,1.275542491,60.03331669,401.6801723,-0.001108024
3,11:37:17,119.0000001,0,-0.858202603,0.009620464,531.1264096,0.171356884,1.667586116,30.2157135,6,1.420000017,1,2.840000033,30.28966141,30.2157135,30.00445938,399.7337952,401.3080444,27.00546074,27.33782959,60.32660294,61.07804108,300.8808289,0.578000605,1.606114268,96.78669739,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501468048,0.000171357,303.3657135,303.4396614,0.092480095,-0.077328471,4.313524356,44.56732663,17.22949704,30.25268745,4.322679104,0.009587985,2.64593824,1.676740865,0.0059954,51.40597108,1.323488071,60.03416072,401.7159928,-0.001282535
4,11:37:19,121,0,-1.011152244,0.009630179,556.0739044,0.17151615,1.66745685,30.21522903,6,1.420000017,1,2.840000033,30.28994942,30.21522903,30.00450516,399.3897705,401.2689209,27.00527954,27.33795929,60.32775497,61.07797241,300.8789978,0.577652514,1.672782302,96.78658295,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501464996,0.000171516,303.365229,303.4399494,0.0924244,-0.07730245,4.313404514,44.56614112,17.22818183,30.25258923,4.322654761,0.009597635,2.645947664,1.676707096,0.006001437,53.82049308,1.385788621,60.03630657,401.7495742,-0.001511037
5,11:37:21,123,0,-1.133306483,0.009635778,575.9754577,0.17160122,1.667317961,30.21487045,6,1.420000017,1,2.840000033,30.29037857,30.21487045,30.00466728,399.0853882,401.2080688,27.00563812,27.33848,60.32859039,61.07787704,300.8814392,0.615262806,1.74513185,96.78657532,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501469065,0.000171601,303.3648705,303.4403786,0.098442047,-0.077164319,4.313315814,44.56522818,17.22674819,30.25262451,4.322663505,0.009603196,2.645997853,1.676665652,0.006004916,55.74669202,1.435602876,60.03890019,401.7467885,-0.001693666
6,11:37:23,125.4999999,0,-1.210814536,0.009631922,588.6696098,0.171518376,1.66717814,30.21444511,6,1.420000017,1,2.840000033,30.29061508,30.21444511,30.00437927,398.8155212,401.0928345,27.00617027,27.33884621,60.3299675,61.07813263,300.8860779,0.638656914,1.813037395,96.7865448,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501476796,0.000171518,303.3644451,303.4406151,0.102185104,-0.076983686,4.313210603,44.56415519,17.22530899,30.2525301,4.322640107,0.009599365,2.646032463,1.676607644,0.00600252,56.97529756,1.467664239,60.04123721,401.6683977,-0.001809921
7,11:37:25,127.4999999,0,-1.225744976,0.009610336,591.4648623,0.171130214,1.667128673,30.21408081,6,1.420000017,1,2.840000033,30.29057121,30.21408081,30.00410652,398.6739197,400.9813232,27.00652695,27.33844566,60.33122253,61.0776825,300.8901367,0.638350844,1.828421116,96.78647614,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501483561,0.00017113,303.3640808,303.4405712,0.102136133,-0.076737619,4.313120491,44.56325577,17.22481011,30.25232601,4.322589529,0.009577925,2.645991819,1.676597711,0.005989107,57.24579978,1.47504342,60.04131228,401.5639837,-0.001832718
8,11:37:27,129.4999998,0,-1.275501679,0.009576616,600.2319831,0.17051397,1.666956533,30.21309853,6,1.420000017,1,2.840000033,30.29032898,30.21309853,30.0038147,398.4071045,400.81427,27.00700188,27.33772469,60.33610535,61.07840347,300.8909607,0.625288844,1.882882595,96.78643799,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501484934,0.000170514,303.3630985,303.440329,0.100046213,-0.076337959,4.312877528,44.56076303,17.22303835,30.25171375,4.322437799,0.009544432,2.645920995,1.676516804,0.005968153,58.09431561,1.49753147,60.04278119,401.4205824,-0.001907841
9,11:37:29,131.4999998,0,-1.333144466,0.009558724,609.9691639,0.170168615,1.666688401,30.21187592,6,1.420000017,1,2.840000033,30.29005051,30.21187592,30.00357819,398.0875854,400.6099548,27.00730515,27.33734703,60.33813477,61.078125,300.9011841,0.625930071,1.906202197,96.78652191,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501501973,0.000170169,303.3618759,303.4400505,0.100148809,-0.076024174,4.312575138,44.5576001,17.22025307,30.25096321,4.322251806,0.009526659,2.645886737,1.676365068,0.005957035,59.03679385,1.522601115,60.04622958,401.2436679,-0.001995055
10,11:37:31,133.4999997,0,-1.340968099,0.009547018,611.3212182,0.169929767,1.666385846,30.21060181,6,1.420000017,1,2.840000033,30.28982735,30.21060181,30.00335884,397.8488159,400.3869324,27.00765419,27.33721733,60.33966827,61.07830429,300.9153748,0.650528967,1.901883721,96.78652191,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501525625,0.00016993,303.3606018,303.4398273,0.104084632,-0.075705435,4.312260031,44.5543444,17.21712707,30.25021458,4.322066292,0.009515032,2.645874184,1.676192108,0.00594976,59.16765449,1.5268261,60.05046944,401.0243644,-0.002008002
11,11:37:33,135.4999997,0,-1.288362504,0.00953923,602.5683504,0.16976515,1.666125692,30.20963478,6,1.420000017,1,2.840000033,30.28953171,30.20963478,30.00317764,397.7357178,400.1690979,27.00823402,27.33747101,60.34158325,61.07958603,300.9216003,0.666558862,1.906482577,96.78639221,-3.094287872,0.672303975,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501536001,0.000169765,303.3596348,303.4395317,0.106649415,-0.075495011,4.312020883,44.55193323,17.21446222,30.24958324,4.321909852,0.009507296,2.645895191,1.676014661,0.005944921,58.3204167,1.505784314,60.05442657,400.7815237,-0.001930525
