OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 15:09:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:09:13 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:09:18 Lamp: ParIn ->  0 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:09:18 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:09:18 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:09:18 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:09:20,59.00000007,0,-0.451326151,0.10745905,395.9160902,1.601120665,1.435685716,30.02772331,6,1.420000017,1,2.840000033,30.48451614,30.02772331,30.0007515,398.9822388,398.7576904,27.51048279,29.37529373,60.53009796,64.6496582,500.0251465,0.023133827,0.811515808,96.39233398,-2.57507515,-0.439926088,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833375244,0.001601121,303.1777233,303.6345161,0.003701412,-0.766007087,4.267238841,44.26948352,14.89418979,30.25611973,4.323529793,0.103541287,2.831553124,1.491976669,0.065054245,38.163276,0.992873867,66.34290649,398.9722293,-0.000750486
2,15:09:22,61.00000002,0,-0.412813838,0.107252496,395.3330776,1.60130647,1.438490509,30.03939438,6,1.420000017,1,2.840000033,30.48384666,30.03939438,30.00041389,399.0380249,398.7671509,27.51087952,29.37594795,60.53468323,64.64888,500.0137939,0.0695526,0.831996679,96.39209747,-2.57507515,-0.439926088,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833356323,0.001601306,303.1893944,303.6338467,0.011128416,-0.767747606,4.270099747,44.29927203,14.92332408,30.26162052,4.324893469,0.103349506,2.831609238,1.493284231,0.064933117,38.10698455,0.991388274,66.2968525,398.9633828,-0.000685984
3,15:09:24,62.99999998,0,-0.324226623,0.107055608,394.0113484,1.600637119,1.440420105,30.04670143,6,1.420000017,1,2.840000033,30.48287964,30.04670143,29.99970055,399.1751404,398.7982178,27.51028061,29.37460899,60.53712845,64.64805603,500.0038757,0.129343778,0.770448506,96.39180756,-2.57507515,-0.439926088,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833339793,0.001600637,303.1967014,303.6328796,0.020695004,-0.768449656,4.271891762,44.31799621,14.94338722,30.26479053,4.325679502,0.103166674,2.831471657,1.494207845,0.064817643,37.97946607,0.987996763,66.26324186,398.9523396,-0.000538518
4,15:09:26,64.99999993,0,-0.211293876,0.106931383,392.356669,1.599834292,1.441302483,30.04966545,6,1.420000017,1,2.840000033,30.48169327,30.04966545,29.99904442,399.3809204,398.8687134,27.50959587,29.37304688,60.53984833,64.64814758,499.9891968,0.140562311,0.679753184,96.39164734,-2.57507515,-0.439926088,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833315328,0.001599834,303.1996655,303.6316933,0.022489969,-0.768596022,4.272618859,44.32561303,14.95256615,30.26567936,4.325899917,0.103051306,2.831316376,1.494583541,0.064744779,37.81990567,0.983673715,66.24679111,398.9691524,-0.000350843
