OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 16:24:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:24:25 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:24:27 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:24:27 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:24:27 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:24:27 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:24:29,12.50000153,0,1.531139939,0.054401523,339.953958,1.145779282,1.99012323,31.64932251,6,1.420000017,1,2.840000033,30.13518143,31.64932251,30.00986671,400.7540894,398.3690491,26.57809639,27.91461754,59.67663193,62.68224335,500.0124207,1199.699951,0.354686409,96.40097809,-2.833345413,-0.377656877,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833354034,0.001145779,304.7993225,303.2851814,191.9519879,1.444819283,4.681119663,48.55883992,20.64422238,30.89225197,4.483736566,0.053379023,2.690996434,1.792740132,0.033452272,32.77189405,0.853364384,56.62678649,397.6412185,0.002180446
2,16:24:31,14.50000149,0,1.597237126,0.054356858,337.9514724,1.144548429,1.98960341,31.64690781,6,1.420000017,1,2.840000033,30.13556862,31.64690781,30.00919342,400.8067017,398.342926,26.5781498,27.91326141,59.67487335,62.67597198,500.0032959,1199.693359,0.330644131,96.40130615,-2.833345413,-0.377656877,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833338826,0.001144548,304.7969078,303.2855686,191.9509332,1.445849497,4.680478269,48.55202129,20.63875988,30.89123821,4.483477198,0.05333602,2.690874859,1.792602339,0.03342525,32.57896335,0.848393307,56.63168848,397.583676,0.002275099
3,16:24:33,16.50000144,0,1.707638207,0.054392562,334.7678376,1.145053255,1.989207527,31.64554596,6,1.420000017,1,2.840000033,30.13613892,31.64554596,30.00866508,400.9692383,398.3726501,26.57782173,27.91354752,59.67271423,62.67383957,499.9936829,1199.666504,0.335429579,96.40154266,-2.833345413,-0.377656877,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833322805,0.001145053,304.795546,303.2861389,191.9466363,1.445816037,4.680116569,48.54815016,20.63460264,30.89084244,4.483375944,0.053370395,2.690909042,1.792466902,0.033446851,32.27213598,0.840338405,56.63758242,397.5609207,0.002432747
4,16:24:35,18.5000014,0,1.848261689,0.054419607,330.7439284,1.145484759,1.988993649,31.64488411,6,1.420000017,1,2.840000033,30.13681412,31.64488411,30.00829506,401.2229614,398.4572754,26.57762909,27.91386986,59.67042542,62.67190552,499.9891663,1199.653442,0.355687767,96.40179443,-2.833345413,-0.377656877,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833315277,0.001145485,304.7948841,303.2868141,191.9445465,1.445759555,4.679940793,48.5462,20.63233014,30.89084911,4.483377652,0.053396433,2.690947144,1.792430508,0.033463213,31.8843082,0.830061211,56.64105805,397.5787003,0.002633126
5,16:24:37,20.50000135,0,1.954085959,0.054430615,327.7573177,1.14559329,1.988793253,31.64398956,6,1.420000017,1,2.840000033,30.13733482,31.64398956,30.0080204,401.4638672,398.5709839,26.57707787,27.91344452,59.66780472,62.66903687,499.9896545,1199.647217,0.35913226,96.40193176,-2.833345413,-0.377656877,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833316091,0.001145593,304.7939896,303.2873348,191.9435504,1.445895107,4.679703227,48.54366651,20.63022199,30.89066219,4.483329831,0.053407031,2.690909974,1.792419857,0.033469872,31.59643857,0.822331105,56.64345726,397.642105,0.002783563
6,16:24:39,22.50000131,0,1.977735865,0.054442267,327.1405907,1.145824461,1.988777765,31.64388657,6,1.420000017,1,2.840000033,30.137537,31.64388657,30.00787735,401.5603943,398.638916,26.57667351,27.91331482,59.66683197,62.66819763,499.987854,1199.642212,0.344650716,96.40195465,-2.833345413,-0.377656877,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83331309,0.001145824,304.7938866,303.287537,191.9427496,1.44580953,4.679675874,48.54337125,20.63005643,30.89071178,4.483342518,0.053418249,2.690898109,1.792444409,0.033476921,31.53699239,0.82064389,56.6437256,397.6987951,0.002816864
7,16:24:41,24.50000126,0,1.991486852,0.054461703,326.8843962,1.146222798,1.988775719,31.64372253,6,1.420000017,1,2.840000033,30.13772964,31.64372253,30.00750351,401.7088013,398.7704163,26.57573128,27.91285324,59.66424561,62.66640472,499.9821167,1199.631104,0.29749611,96.40206146,-2.833345413,-0.377656877,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833303528,0.001146223,304.7937225,303.2877296,191.9409723,1.445633472,4.679632313,48.5428656,20.63001236,30.89072609,4.483346178,0.05343696,2.690856594,1.792489584,0.03348868,31.51232965,0.81973081,56.64367954,397.8237588,0.002835556
