OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 15:24:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:24:47 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:24:48 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:24:48 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:24:48 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:24:49 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:24:51,9.500006851,0,-0.793456525,0.254613743,400.3073353,1.969552808,0.783379721,29.200243,6,1.420000017,1,2.840000033,30.09513855,29.200243,30.01119614,400.2629089,400.2730713,30.21003151,34.00295639,68.14349365,76.69663239,300.9680786,0.027732994,0.338710904,96.61601257,-5.250871181,-0.203642845,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501613464,0.001969553,302.350243,303.2451385,0.004437279,-0.896916785,4.068609783,42.11113329,8.1081769,29.64769077,4.174990307,0.233665036,3.285230062,0.889760245,0.147788578,38.67609854,1.000085602,81.63085856,400.6502425,-0.001616635
2,15:24:53,11.50000681,0,-0.819419835,0.254944246,400.4962647,1.970237059,0.782728997,29.19795418,6,1.420000017,1,2.840000033,30.09595871,29.19795418,30.01149368,400.2284851,400.2897949,30.20959091,34.00380325,68.13804626,76.69368744,300.9702148,0.026889957,0.31042698,96.61692047,-5.250871181,-0.203642845,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501617025,0.001970237,302.3479542,303.2459587,0.004302393,-0.89683948,4.068071752,42.10516887,8.101365612,29.64695644,4.174813754,0.233943361,3.285342755,0.889470999,0.147966722,38.69471575,1.000515801,81.64569874,400.6793079,-0.001669717
3,15:24:55,13.50000676,0,-0.857903425,0.255113868,400.7499225,1.970559395,0.782381774,29.19644737,6,1.420000017,1,2.840000033,30.09674454,29.19644737,30.01150131,400.148407,400.2861938,30.20883369,34.00369644,68.13296509,76.68994904,300.9678955,0.015094304,0.272607327,96.61701965,-5.250871181,-0.203642845,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501613159,0.001970559,302.3464474,303.2467445,0.002415089,-0.896708415,4.067717581,42.10145993,8.097763486,29.64659595,4.174727084,0.234086181,3.285335807,0.889391277,0.148058138,38.71926314,1.001158493,81.65328534,400.694,-0.001748233
4,15:24:57,15.50000672,0,-0.89496539,0.255182903,400.9807907,1.970650098,0.782223106,29.19559479,6,1.420000017,1,2.840000033,30.09713936,29.19559479,30.01130676,400.0569153,400.2685852,30.20827484,34.00332642,68.12949371,76.68688965,300.9668884,0.024376281,0.239822194,96.61684418,-5.250871181,-0.203642845,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.501611481,0.00197065,302.3455948,303.2471394,0.003900205,-0.896563613,4.067517195,42.09946237,8.096135951,29.64636707,4.174672057,0.234144304,3.28529409,0.889377967,0.148095341,38.74149857,1.001779319,81.65653414,400.6940089,-0.00182383
