OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 18:01:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""18:01:44 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""18:01:48 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""18:01:49 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""18:01:49 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""18:01:49 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,18:01:51,13.00000118,0,-0.154880872,0.013809198,406.4319602,0.248929492,1.682734792,30.17767143,6,1.420000017,1,2.840000033,29.88982582,30.17767143,30.00299644,400.0250549,400.0913696,26.91374588,27.20420837,61.26163483,61.9234314,500.2178955,1199.455322,0.076108374,96.35964966,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833696493,0.000248929,303.3276714,303.0398258,191.9128473,2.00356211,4.30412278,44.66727303,17.46306465,30.03374863,4.268715606,0.013742377,2.621387988,1.647327618,0.008594964,39.16364129,1.015847856,59.64303978,400.1649926,-0.000230844
2,18:01:53,15.00000114,0,-0.140359954,0.013876955,404.6879182,0.250100676,1.68244489,30.17642784,6,1.420000017,1,2.840000033,29.88891602,30.17642784,30.00203705,400.0404663,400.0888062,26.91209793,27.20395088,61.26014709,61.92435455,500.177124,1199.412354,0.075034514,96.35993195,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83362854,0.000250101,303.3264278,303.038916,191.9059723,2.002950439,4.303815745,44.66395584,17.46000496,30.03267193,4.268451682,0.013809479,2.621370856,1.647080826,0.008636961,38.99570025,1.011495228,59.6481468,400.1555266,-0.000209224
3,18:01:55,17.0000011,0,-0.119883752,0.013907549,402.301812,0.250632739,1.68233645,30.17559433,6,1.420000017,1,2.840000033,29.88845062,30.17559433,30.00105667,400.0447083,400.0682373,26.91044617,27.20293427,61.25821686,61.92361069,500.1532593,1199.396729,0.072732404,96.35995483,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833588765,0.000250633,303.3255943,303.0384506,191.9034723,2.002709728,4.303609967,44.66180972,17.45887545,30.03202248,4.268292492,0.013839775,2.621273517,1.647018975,0.008655923,38.76578443,1.005582984,59.64931705,400.1252243,-0.000178719
4,18:01:57,19.00000105,0,-0.105917444,0.013867486,400.7267251,0.250006186,1.6829511,30.1773777,6,1.420000017,1,2.840000033,29.8883419,30.1773777,30.00020981,400.0456238,400.0527039,26.9093914,27.2011528,61.25615311,61.92039108,500.1464844,1199.390625,0.101679564,96.35985565,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833577474,0.000250006,303.3273777,303.0383419,191.9024957,2.002748999,4.304050258,44.66642492,17.46527212,30.0328598,4.268497733,0.013800101,2.621099158,1.647398575,0.008631092,38.61396938,1.001684831,59.63807806,400.1030519,-0.000157877
5,18:01:59,21.00000101,0,-0.100477173,0.013825908,400.1311367,0.249319531,1.683347819,30.17847824,6,1.420000017,1,2.840000033,29.88822746,30.17847824,29.99958801,400.0457458,400.0466309,26.90893364,27.19989014,61.25515747,61.91801453,500.1532593,1199.390259,0.094605409,96.35973358,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833588765,0.00024932,303.3284782,303.0382275,191.9024371,2.002922319,4.304321986,44.66930144,17.46941131,30.03335285,4.26861859,0.013758926,2.620974167,1.647644423,0.008605322,38.55652973,1.00021124,59.63049031,400.0943929,-0.000149752
6,18:02:01,23.00000096,0,-0.097070283,0.013808117,399.7538162,0.249007187,1.683395152,30.17828751,6,1.420000017,1,2.840000033,29.88814926,30.17828751,29.99909019,400.048645,400.0455933,26.90833473,27.19892311,61.25419235,61.91632462,500.1599731,1199.410156,0.092490092,96.35968781,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833599955,0.000249007,303.3282875,303.0381493,191.9056207,2.00312958,4.304274892,44.66883393,17.46991082,30.03321838,4.268585629,0.013741306,2.62087974,1.647705889,0.008594294,38.52015293,0.99927064,59.62869183,400.0917358,-0.000144671
7,18:02:03,25.00000092,0,-0.092263054,0.013785529,399.2184875,0.248627727,1.683569427,30.17854118,6,1.420000017,1,2.840000033,29.88798332,30.17854118,29.99872971,400.0541992,400.0455627,26.90764236,27.19778824,61.25318146,61.91446304,500.1600037,1199.432983,0.088824682,96.35960388,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833600006,0.000248628,303.3285412,303.0379833,191.9092731,2.003302137,4.304337528,44.66952285,17.47173461,30.03326225,4.268596382,0.013718937,2.620768101,1.647828281,0.008580294,38.46853532,0.997932547,59.62478968,400.0894202,-0.000137498
8,18:02:05,27.00000087,0,-0.081565316,0.01377945,397.9907001,0.24853201,1.683660641,30.17836571,6,1.420000017,1,2.840000033,29.88754463,30.17836571,29.99814224,400.0646057,400.0431824,26.90637016,27.19640923,61.25141907,61.91236496,500.1522827,1199.440186,0.09292347,96.35954285,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833587138,0.000248532,303.3283657,303.0375446,191.9104254,2.003327705,4.304294201,44.66910151,17.47269228,30.03295517,4.268521109,0.013712917,2.62063356,1.647887549,0.008576526,38.35020192,0.994869348,59.62214745,400.0819546,-0.000121553
9,18:02:07,29.50000082,0,-0.058246356,0.013791245,395.2935811,0.248750926,1.683711216,30.1779232,6,1.420000017,1,2.840000033,29.88736916,30.1779232,29.99741936,400.0813599,400.0318604,26.90446472,27.19476128,61.24810791,61.90966034,500.1496582,1199.454346,0.117642663,96.3595047,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833582764,0.000248751,303.3279232,303.0373692,191.912691,2.003281807,4.304184943,44.66798534,17.47322406,30.03264618,4.26844537,0.013724597,2.620473727,1.647971643,0.008583836,38.09029368,0.988155245,59.62013433,400.0595479,-8.68035E-05
10,18:02:09,31.50000077,0,-0.051430212,0.013789226,394.5144152,0.248689946,1.683548271,30.17681885,6,1.420000017,1,2.840000033,29.88739395,30.17681885,29.99705315,400.0911255,400.0334778,26.90337944,27.19360542,61.24583817,61.90710831,500.149231,1199.462036,0.116810791,96.35956573,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833582052,0.00024869,303.3268188,303.037394,191.9139215,2.003482318,4.30391228,44.66512741,17.47152198,30.0321064,4.268313063,0.013722598,2.620364009,1.647949053,0.008582585,38.01523772,0.986203498,59.62153977,400.0579252,-7.66476E-05
11,18:02:11,33.50000073,0,-0.050156206,0.013812604,394.3682681,0.249062055,1.683232645,30.17523956,6,1.420000017,1,2.840000033,29.88747215,30.17523956,29.99690628,400.100769,400.0414124,26.90216064,27.1928196,61.24320984,61.90477753,500.1518555,1199.476563,0.095557958,96.35961914,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833586426,0.000249062,303.3252396,303.0374722,191.9162457,2.003552547,4.303522385,44.6610564,17.4682368,30.03135586,4.268129101,0.01374575,2.62028974,1.647839361,0.008597075,38.00117612,0.985818608,59.62588465,400.0652542,-7.4753E-05
12,18:02:13,35.50000068,0,-0.043418302,0.013851235,393.5933703,0.24970066,1.682871281,30.17349052,6,1.420000017,1,2.840000033,29.88771439,30.17349052,29.99696922,400.1184082,400.0506592,26.90065193,27.19205666,61.2396431,61.90252686,500.1513672,1199.490234,0.095385216,96.35973358,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833585612,0.000249701,303.3234905,303.0377144,191.9184332,2.003534264,4.303090616,44.65652255,17.4644659,30.03060246,4.267944444,0.013784008,2.620219335,1.647725109,0.00862102,37.9265523,0.983858822,59.63115948,400.0712982,-6.47156E-05
13,18:02:15,37.50000064,0,-0.040483994,0.013851553,393.2702427,0.249670305,1.682634939,30.17204475,6,1.420000017,1,2.840000033,29.88801575,30.17204475,29.99718475,400.1330872,400.0618286,26.8993969,27.1907692,61.23616791,61.89917374,500.1468811,1199.492432,0.092507578,96.35986328,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833578135,0.00024967,303.3220448,303.0380157,191.9187848,2.00379431,4.302733741,44.65275888,17.46198968,30.03003025,4.267804204,0.013784323,2.620098802,1.647705401,0.008621217,37.89546682,0.983023659,59.63359134,400.0810728,-6.03429E-05
14,18:02:17,39.50000059,0,-0.039866594,0.013843953,393.2118826,0.249457087,1.68212513,30.16958237,6,1.420000017,1,2.840000033,29.88840485,30.16958237,29.99740219,400.1401672,400.0682678,26.898592,27.18971825,61.23310471,61.8956871,500.1426392,1199.48291,0.091536731,96.35998535,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833571065,0.000249457,303.3195824,303.0384048,191.9172613,2.004276853,4.302125982,44.64639515,17.4566769,30.02899361,4.267550144,0.013776796,2.620000852,1.647549292,0.008616506,37.88989124,0.982861962,59.64016854,400.0872185,-5.94283E-05
15,18:02:19,41.50000055,0,-0.041598371,0.013838817,393.4213512,0.249266589,1.681472302,30.16657448,6,1.420000017,1,2.840000033,29.88895988,30.16657448,29.99743652,400.14328,400.0735474,26.89782906,27.18873596,61.22968292,61.89212418,500.138031,1199.46582,0.093616709,96.36017609,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833563385,0.000249267,303.3165745,303.0389599,191.914527,2.004832396,4.301383686,44.63860343,17.44986747,30.02776718,4.267249591,0.01377171,2.619911385,1.647338206,0.008613323,37.91015068,0.983372567,59.64898085,400.0933212,-6.2018E-05
16,18:02:21,43.5000005,0,-0.047051078,0.013821381,394.0592356,0.248903468,1.681137974,30.16457176,6,1.420000017,1,2.840000033,29.88944435,30.16457176,29.99747658,400.14151,400.0784912,26.89657021,27.18705559,61.22577286,61.88760757,500.1350098,1199.451416,0.078706905,96.36025238,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.83355835,0.000248903,303.3145718,303.0394444,191.9122223,2.005330011,4.300889512,44.63343968,17.44638409,30.02700806,4.267063566,0.013754442,2.619751538,1.647312028,0.008602515,37.9716474,0.984954813,59.65226512,400.100857,-7.01499E-05
17,18:02:24,46.00000045,0,-0.050528824,0.013801619,394.4696649,0.248625987,1.681654111,30.16578484,6,1.420000017,1,2.840000033,29.88999367,30.16578484,29.99775505,400.1445923,400.0858765,26.89467049,27.18483353,61.21996307,61.88084793,500.1335754,1199.445068,0.08044029,96.3601532,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833555959,0.000248626,303.3157848,303.0399937,191.9112066,2.005363116,4.301188835,44.63659191,17.45175838,30.02788925,4.267279505,0.013734871,2.619534723,1.647744782,0.008590266,38.01115734,0.985962485,59.64238745,400.1098954,-7.53208E-05
18,18:02:26,48.0000004,0,-0.052277087,0.013773098,394.6873932,0.248220073,1.682365274,30.16814232,6,1.420000017,1,2.840000033,29.89025688,30.16814232,29.99807739,400.1521606,400.0957336,26.89378357,27.18347549,61.21657944,61.87678146,500.1297607,1199.443481,0.098782204,96.3602066,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833549601,0.00024822,303.3181423,303.0402569,191.9109527,2.005271586,4.301770589,44.64260446,17.45912896,30.0291996,4.267600628,0.013706625,2.619405315,1.648195313,0.008572588,38.03215875,0.986482384,59.63027963,400.1205837,-7.79089E-05
19,18:02:28,50.00000036,0,-0.057426212,0.013717025,395.3075042,0.247288032,1.68286668,30.16959381,6,1.420000017,1,2.840000033,29.89030266,30.16959381,29.99819946,400.150238,400.1004333,26.89334679,27.18195724,61.21475983,61.87316895,500.1196289,1199.442627,0.108074389,96.36032104,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833532715,0.000247288,303.3195938,303.0403027,191.910816,2.005539303,4.302128807,44.64626892,17.46431168,30.02994823,4.267784103,0.013651091,2.619262127,1.648521976,0.008537831,38.09195801,0.988020685,59.62077203,400.127731,-8.55676E-05
20,18:02:30,52.00000031,0,-0.059645676,0.013678893,395.575602,0.246668473,1.683304766,30.17080879,6,1.420000017,1,2.840000033,29.89024544,30.17080879,29.99795341,400.1428833,400.0960388,26.89264488,27.18054008,61.21301651,61.86979294,500.1067505,1199.438843,0.105820462,96.36026001,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833511251,0.000246668,303.3208088,303.0402454,191.9102106,2.005664956,4.302428675,44.64940915,17.46886907,30.03052711,4.267925979,0.013613324,2.61912391,1.648802069,0.008514194,38.11776786,0.988701621,59.61249979,400.1243915,-8.88631E-05
21,18:02:32,54.00000027,0,-0.060954681,0.013661331,395.7338399,0.246441196,1.683900368,30.1728344,6,1.420000017,1,2.840000033,29.89010048,30.1728344,29.99775696,400.1429749,400.0978088,26.89193535,27.17956924,61.21141052,61.86738586,500.1003723,1199.416992,0.105785668,96.36018372,0.574984074,0.033661675,0.024086263,0.002536614,0.043857798,0.003375145,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833500621,0.000246441,303.3228344,303.0401005,191.9067145,2.005438565,4.302928654,44.65463315,17.4750639,30.03146744,4.268156449,0.01359593,2.619028286,1.649128163,0.008503308,38.13298552,0.989092745,59.60256627,400.1267838,-9.07976E-05
