OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 12:01:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:01:40 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:01:42 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:01:42 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:01:42 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:01:42 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:01:45,11.50000263,0,1.195289698,0.011250491,215.2620847,0.28537991,2.380158895,30.40754318,6,1.420000017,1,2.840000033,30.14052582,30.40754318,29.99633026,399.8945313,398.3215942,20.164711,20.50061226,45.37071609,46.11803055,499.3064575,1198.761475,1.171459198,96.63353729,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832177429,0.00028538,303.5575432,303.2905258,191.8018317,1.986286147,4.361205574,45.13138705,24.63077479,30.2740345,4.327972337,0.011206098,1.981046679,2.346925658,0.007007786,20.80153669,0.540422834,43.79521955,397.7534108,0.001316091
2,12:01:47,13.50000258,0,1.201288516,0.011259754,214.5622723,0.285584488,2.379909775,30.40699959,6,1.420000017,1,2.840000033,30.14109612,30.40699959,29.99650574,399.9019775,398.3217163,20.1656723,20.5018177,45.37048721,46.12168121,499.3008728,1198.836792,1.18103385,96.6333847,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832168121,0.000285584,303.5569996,303.2910961,191.8138824,1.986473103,4.361069812,45.1300534,24.6282357,30.27404785,4.32797565,0.011215288,1.981160037,2.346815612,0.007013537,20.7338786,0.538665766,43.79953906,397.7506813,0.001322836
3,12:01:49,15.50000254,0,1.210613713,0.011249548,213.1129727,0.285300046,2.379684194,30.40639496,6,1.420000017,1,2.840000033,30.14178658,30.40639496,29.99637604,399.9188843,398.3275452,20.16681671,20.50262833,45.37067413,46.12269211,499.2989502,1198.862061,1.198686957,96.6332016,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832164917,0.0002853,303.556395,303.2917866,191.8179254,1.986837838,4.360918811,45.12857629,24.62594796,30.27409077,4.327986297,0.011205163,1.981234616,2.34675168,0.007007201,20.59378885,0.535019421,43.80273842,397.7520774,0.001333197
4,12:01:51,17.50000249,0,1.23246133,0.011234524,209.8318144,0.284899581,2.379505793,30.40572357,6,1.420000017,1,2.840000033,30.14204788,30.40572357,29.99607086,399.9484863,398.3310547,20.16743851,20.50278473,45.37119675,46.1228447,499.289978,1198.864624,1.201589823,96.63298798,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832149963,0.0002849,303.5557236,303.2920479,191.8183356,1.987170352,4.360751143,45.12694096,24.62415623,30.27388573,4.327935428,0.011190257,1.98124535,2.346690078,0.006997874,20.2766752,0.526777443,43.80453773,397.7452016,0.001357336
5,12:01:53,20.00000244,0,1.267046554,0.011257,205.3422944,0.285446165,2.379328861,30.40517044,6,1.420000017,1,2.840000033,30.14184761,30.40517044,29.99595261,399.990448,398.3311768,20.16720963,20.50320244,45.37116241,46.12423706,499.2849731,1198.879028,1.1645087,96.63291168,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832141622,0.000285446,303.5551704,303.2918476,191.8206402,1.986973877,4.360613011,45.12554714,24.6223447,30.27350903,4.327841972,0.011212556,1.98128415,2.346557822,0.007011827,19.8428238,0.515506459,43.80740757,397.7288835,0.001395574
6,12:01:55,22.00000239,0,1.284054853,0.011286662,203.4426404,0.286180657,2.379206326,30.40498543,6,1.420000017,1,2.840000033,30.14190292,30.40498543,29.99590874,400.0184326,398.3383789,20.16713905,20.50399399,45.37104034,46.1257782,499.2881775,1198.891235,1.154697299,96.63290405,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832146962,0.000286181,303.5549854,303.2919029,191.8225934,1.986663532,4.36056681,45.12507259,24.6210786,30.27344418,4.327825884,0.011241984,1.981360484,2.3464654,0.00703024,19.65925315,0.510728193,43.81028146,397.7280007,0.001414404
7,12:01:57,24.00000235,0,1.296412157,0.011313688,202.1559844,0.286849233,2.379088951,30.40476418,6,1.420000017,1,2.840000033,30.14197731,30.40476418,29.9958744,400.0389709,398.34375,20.16700745,20.50464821,45.37072754,46.12699127,499.2895203,1198.886108,1.15594697,96.63285065,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.8321492,0.000286849,303.5547642,303.2919773,191.8217731,1.986362308,4.360511559,45.12452577,24.61987756,30.27337074,4.327807666,0.011268797,1.981422608,2.346385058,0.007047017,19.53490905,0.507491292,43.81287104,397.7274977,0.001428102
8,12:01:59,26.0000023,0,1.31561331,0.011358926,200.215653,0.287953514,2.378772386,30.4039917,6,1.420000017,1,2.840000033,30.14202309,30.4039917,29.99572754,400.0649109,398.3460693,20.16700554,20.50594902,45.37047195,46.12997055,499.2845764,1198.878296,1.162224889,96.63275146,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832140961,0.000287954,303.5539917,303.2920231,191.8205231,1.985911957,4.360318662,45.12257589,24.61662687,30.27300739,4.327717525,0.011313676,1.981546275,2.34617125,0.007075099,19.34738944,0.502617368,43.81877223,397.7206898,0.001449473
9,12:02:01,28.00000226,0,1.337118784,0.011415956,198.1643242,0.289344369,2.378364413,30.40291786,6,1.420000017,1,2.840000033,30.14191628,30.40291786,29.99548149,400.0950317,398.3496704,20.1668644,20.50744629,45.37021637,46.13301086,499.2819519,1198.858032,1.170295835,96.63251495,0.668875575,0.006088515,0.020177756,0.001031028,0.043341607,0.003010123,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832136587,0.000289344,303.5529179,303.2919163,191.8172809,1.98531759,4.360050523,45.1199115,24.61246521,30.27241707,4.32757108,0.011370251,1.98168611,2.34588497,0.007110499,19.14911702,0.497463256,43.82611058,397.7140682,0.001473438
