OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 12:28:51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""12:28:51 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:28:53 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:28:53 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:28:53 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""12:28:53 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,12:28:55,30.50000251,0,-0.687977989,0.008981868,505.3415721,0.229908853,2.398718479,30.49401665,6,1.420000017,1,2.840000033,30.0815506,30.49401665,29.99256325,399.8761902,401.066925,20.08980179,20.53987122,45.31582642,46.25917435,300.2024231,-0.012203667,6.558848381,96.59898376,1.153526783,-0.033000592,0.022963509,0.001852165,0.020617824,0.004452274,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500337372,0.000229909,303.6440166,303.2315506,-0.001952587,-0.170468899,4.382849165,45.37158668,24.83171547,30.28778362,4.331384572,0.008953551,1.984130686,2.347253886,0.005598507,48.81548232,1.259993135,43.58364097,401.3939568,-0.000747011
2,12:28:57,32.50000247,0,-0.678547341,0.008971902,503.8235331,0.229612725,2.39829033,30.49266434,6,1.420000017,1,2.840000033,30.08159447,30.49266434,29.99199295,399.892334,401.0645142,20.09123611,20.54074669,45.32598495,46.2959938,300.1882324,0.009133374,6.542743206,96.59919739,1.153526783,-0.033000592,0.022963509,0.001852165,0.020617824,0.004452274,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500313721,0.000229613,303.6426643,303.2315945,0.00146134,-0.17009328,4.382509974,45.36797502,24.82722833,30.2871294,4.331222155,0.008943648,1.984219644,2.347002511,0.005592311,48.66894892,1.256215684,43.58922758,401.3870631,-0.000736879
3,12:29:00,35.00000241,0,-0.700031726,0.008945329,507.9678495,0.228878591,2.397703756,30.49067688,6,1.420000017,1,2.840000033,30.08172226,30.49067688,29.99096107,399.8612976,401.0769958,20.09361267,20.5416832,45.33435059,46.31575012,300.1898499,0.025886681,6.582679749,96.59908295,1.153526783,-0.033000592,0.022963509,0.001852165,0.020617824,0.004452274,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500316416,0.000228879,303.6406769,303.2317223,0.004141869,-0.169410274,4.382011515,45.36286869,24.82118549,30.28619957,4.330991325,0.008917242,1.984307759,2.346683566,0.005575793,49.06922843,1.26650956,43.59620483,401.4097574,-0.000760289
4,12:29:02,37.00000237,0,-0.731179931,0.008932766,513.6377224,0.228527908,2.397380055,30.48971558,6,1.420000017,1,2.840000033,30.08179283,30.48971558,29.99050522,399.8125916,401.0907898,20.09523582,20.54260826,45.33893967,46.32431793,300.1973267,0.005084878,6.785158157,96.59875488,1.153526783,-0.033000592,0.022963509,0.001852165,0.020617824,0.004452274,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500328878,0.000228528,303.6397156,303.2317928,0.00081358,-0.169133108,4.381770435,45.36052707,24.81791881,30.2857542,4.330880766,0.008904758,1.98439038,2.346490386,0.005567983,49.61676444,1.280602137,43.60050935,401.4383577,-0.00079414
