OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 13:23:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""13:23:37 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:23:39 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:23:39 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:23:39 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""13:23:39 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,13:23:41,11.50000374,0,5.916708359,0.027540486,35.56060357,0.842475363,2.871693305,32.63219452,6,1.420000017,1,2.840000033,30.35556602,32.63219452,29.99351501,400.2293091,392.7216797,20.53504753,21.52564812,45.57110596,47.77021408,499.2974243,1199.697266,2.990452528,96.48672485,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832162374,0.000842475,305.7821945,303.505566,191.9515582,1.429643962,4.948632593,51.28822229,29.76257418,31.49388027,4.639986815,0.027275981,2.076939287,2.563047528,0.017071057,3.431126172,0.090549123,40.35583531,389.9091599,0.006123829
2,13:23:43,13.5000037,0,5.899996485,0.027525596,36.37312728,0.84197752,2.871540647,32.63133621,6,1.420000017,1,2.840000033,30.35607147,32.63133621,29.99378204,400.2485962,392.7611084,20.53470421,21.52473831,45.56797409,47.765625,499.2883606,1199.706787,3.075813293,96.48677826,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832147268,0.000841978,305.7813362,303.5060715,191.9530816,1.430097303,4.948393299,51.28571384,29.76097553,31.49370384,4.639940308,0.027261376,2.076852653,2.563087656,0.017061903,3.509525867,0.092608781,40.35591795,389.9565326,0.006105803
3,13:23:45,15.50000365,0,5.889730827,0.027548047,37.25117484,0.842513873,2.87106365,32.62956619,6,1.420000017,1,2.840000033,30.35647583,32.62956619,29.9938736,400.254303,392.7787476,20.53384781,21.52453041,45.56517029,47.76341248,499.27948,1199.725708,3.334914446,96.48694611,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832132467,0.000842514,305.7795662,303.5064758,191.956109,1.430168853,4.947899856,51.28051053,29.75598012,31.49302101,4.639760317,0.027283398,2.076836206,2.562924111,0.017075705,3.594252099,0.094840098,40.36051275,389.9790516,0.006095521
4,13:23:47,17.50000361,0,5.880828199,0.027576297,38.10539841,0.843301424,2.870838244,32.62876129,6,1.420000017,1,2.840000033,30.35639191,32.62876129,29.99367142,400.2471924,392.7819824,20.53291321,21.52451897,45.56323624,47.76307678,499.2809448,1199.740967,3.824504137,96.48704529,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832134908,0.000843301,305.7787613,303.5063919,191.9585504,1.429907307,4.947675481,51.27813237,29.75361341,31.4925766,4.639643175,0.027311108,2.076837236,2.562805939,0.017093071,3.676677302,0.09701412,40.36315207,389.9865183,0.006086589
5,13:23:50,20.00000355,0,5.868508898,0.027592446,39.00018697,0.843719002,2.870601054,32.62773514,6,1.420000017,1,2.840000033,30.35592079,32.62773514,29.99310303,400.228363,392.777832,20.53191757,21.52400589,45.56186295,47.76272202,499.2854614,1199.751099,4.216517448,96.48707581,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832142436,0.000843719,305.7777351,303.5059208,191.9601715,1.429798727,4.947389442,51.27515162,29.75114573,31.49182796,4.639445849,0.027326947,2.076788388,2.562657462,0.017102999,3.763013997,0.099293249,40.36507557,389.988224,0.006074101
6,13:23:52,22.00000351,0,5.861944477,0.027603711,39.50319687,0.844044017,2.870543585,32.62744904,6,1.420000017,1,2.840000033,30.3558445,32.62744904,29.99266052,400.2131348,392.7703247,20.53133202,21.52380562,45.56078339,47.7622757,499.2839966,1199.755005,4.327258587,96.48693848,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832139994,0.000844044,305.777449,303.5058445,191.9607965,1.42967436,4.947309694,51.27439809,29.75059247,31.49164677,4.63939809,0.027337996,2.076766108,2.562631982,0.017109923,3.811542526,0.100575818,40.36557195,389.983837,0.00606745
7,13:23:54,24.00000346,0,5.857867918,0.027610593,39.81073758,0.844353887,2.870878874,32.62859726,6,1.420000017,1,2.840000033,30.35588264,32.62859726,29.99239159,400.2017212,392.7636719,20.53084564,21.52368355,45.55960846,47.76185226,499.2840881,1199.766113,4.546779156,96.48677826,0.723759949,0.000870294,0.027743278,0.009033669,0.050459631,0.009656868,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832140147,0.000844354,305.7785973,303.5058826,191.9625738,1.429384369,4.947629756,51.27780039,29.75411684,31.49223995,4.63955444,0.027344746,2.076750882,2.562803559,0.017114154,3.841209809,0.101360539,40.36250628,389.979122,0.006062843
