OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 15:55:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:55:59 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:56:00 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:56:00 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:56:01 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:56:01 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:56:03,9.500004057,0,4.717462432,0.120323561,321.2055015,1.568901419,1.260423867,30.39299774,6,1.420000017,1,2.840000033,30.09191895,30.39299774,29.99473572,400.342804,393.9420166,30.28512573,32.10683823,68.21324921,72.3150177,500.1433411,1198.873291,0.157756448,96.46388245,0.870749295,0.134617448,0.020036288,0.007764418,0.032723535,0.006636008,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833572235,0.001568901,303.5429977,303.2419189,191.8197223,1.343099203,4.357574135,45.17311583,13.06627761,30.24245834,4.320144685,0.11543296,3.097150268,1.222994416,0.072569608,30.98472974,0.815362383,71.13544052,391.6995609,0.008567249
2,15:56:05,11.50000401,0,4.699834535,0.12022932,321.4474143,1.568380571,1.26095006,30.39440918,6,1.420000017,1,2.840000033,30.09273529,30.39440918,29.9958992,400.3759155,393.9964905,30.28398514,32.10507584,68.2075119,72.30857086,500.1489258,1198.838379,0.108797044,96.46376038,0.870749295,0.134617448,0.020036288,0.007764418,0.032723535,0.006636008,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833581543,0.001568381,303.5444092,303.2427353,191.8141363,1.343211567,4.357926402,45.1768248,13.07174896,30.24357224,4.320420606,0.115346222,3.096976342,1.223444263,0.072514758,31.00802634,0.815863649,71.12477609,391.7624142,0.008532587
3,15:56:07,14.00000396,0,4.641495338,0.12014603,322.238624,1.567508176,1.261083502,30.39434433,6,1.420000017,1,2.840000033,30.09308052,30.39434433,29.99603081,400.3450623,394.0358582,30.28352356,32.10363388,68.20375061,72.30345154,500.1407166,1198.787109,0.129761487,96.46343231,0.870749295,0.134617448,0.020036288,0.007764418,0.032723535,0.006636008,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833567861,0.001567508,303.5443443,303.2430805,191.8059332,1.343608937,4.357910216,45.17681065,13.07317677,30.24371243,4.320455333,0.115269558,3.096826714,1.223628619,0.072466279,31.0842437,0.817790101,71.12082237,391.8295136,0.00842476
4,15:56:09,16.00000391,0,4.59534897,0.120100849,322.8552512,1.566845581,1.261004724,30.39349747,6,1.420000017,1,2.840000033,30.09288406,30.39349747,29.99570847,400.2986145,394.0450134,30.28297424,32.10233307,68.20317841,72.30151367,500.1364746,1198.755859,0.171854317,96.46321106,0.870749295,0.134617448,0.020036288,0.007764418,0.032723535,0.006636008,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833560791,0.001566846,303.5434975,303.2428841,191.8009332,1.343972359,4.357698854,45.17472315,13.07239008,30.24319077,4.32032611,0.11522797,3.09669413,1.22363198,0.07243998,31.14365424,0.819335965,71.12083589,391.8606046,0.00834034
