OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 15:02:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""15:02:33 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:02:34 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:02:34 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:02:34 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""15:02:34 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,15:02:36,9.500000503,0,-1.029737115,0.009554628,564.1922552,0.135222203,1.317780536,30.39813614,6,1.420000017,1,2.840000033,30.25325012,30.39813614,29.99833488,400.282196,402.2310791,31.25191689,31.51359558,69.76612854,70.34454346,300.2786255,-0.237513438,0.231954381,96.50045013,0.576378226,0.160540223,0.025092408,0.001348329,0.029114954,0.001639593,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500464376,0.000135222,303.5481361,303.4032501,-0.038002149,-0.087422511,4.358856695,45.16928873,13.65569315,30.32569313,4.340805036,0.009522592,3.041076159,1.299728877,0.00595449,54.44480659,1.402657041,68.6677957,402.7205668,-0.001755803
2,15:02:38,11.50000046,0,-1.032716689,0.009487737,565.8866629,0.134292232,1.317908596,30.39795113,6,1.420000017,1,2.840000033,30.25185204,30.39795113,29.99785042,400.2704468,402.2261658,31.25204468,31.51194191,69.76950073,70.34804535,300.2581177,-0.162901893,0.137421876,96.49998474,0.576378226,0.160540223,0.025092408,0.001348329,0.029114954,0.001639593,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500430196,0.000134292,303.5479511,303.401852,-0.026064302,-0.08698969,4.35881051,45.16902797,13.65708606,30.32490158,4.340608154,0.009456146,3.040901913,1.299706241,0.005912922,54.60805433,1.406886749,68.66371445,402.7170698,-0.001760794
3,15:02:40,13.50000041,0,-1.054386469,0.009415665,570.8593869,0.133238732,1.317545924,30.39570618,6,1.420000017,1,2.840000033,30.25107765,30.39570618,29.9975071,400.2266235,402.2265015,31.25214005,31.51000023,69.77207947,70.34790802,300.2566223,-0.116060659,0.131054282,96.49965668,0.576378226,0.160540223,0.025092408,0.001348329,0.029114954,0.001639593,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500427704,0.000133239,303.5457062,303.4010777,-0.018569705,-0.086180863,4.358250128,45.16337444,13.65337421,30.32339191,4.340232678,0.009384552,3.040704204,1.299528474,0.005868132,55.08773485,1.41924857,68.66764095,402.7277063,-0.001797796
4,15:02:42,15.50000037,0,-1.076683432,0.009342599,576.0404566,0.132146937,1.316940353,30.39254379,6,1.420000017,1,2.840000033,30.25058556,30.39254379,29.9972744,400.1855164,402.2307739,31.25240517,31.50814629,69.77418518,70.34629822,300.2643433,-0.072707802,0.143408686,96.49950409,0.576378226,0.160540223,0.025092408,0.001348329,0.029114954,0.001639593,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500440572,0.000132147,303.5425438,303.4005856,-0.011633248,-0.085196256,4.357460844,45.15526671,13.64712042,30.32156467,4.339778254,0.009311966,3.040520491,1.299257763,0.005822723,55.5876184,1.432114333,68.67572821,402.7425777,-0.001835962
