OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 10:52:49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:52:49 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:51 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:51 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:51 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:52:51 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:52:53,10.50000001,0,13.48648709,0.138355779,209.9098693,3.008578491,2.129688083,30.46875,6,1.420000017,1,2.840000033,30.16600227,30.46875,29.99552536,400.7193909,383.1255493,19.70317078,23.234972,44.50211334,52.25346375,499.2366333,1199.038086,7.860818863,96.70024109,0.813885987,-0.023429804,0.062972352,0.008046628,0.061007246,0.00724257,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832061056,0.003008578,303.61875,303.3160023,191.8460895,0.626543662,4.376515477,45.25857875,22.02360675,30.31737614,4.338736746,0.131928635,2.246827394,2.091909352,0.083009713,20.29833497,0.547887944,51.95334801,376.7147193,0.018599437
2,10:52:55,12.49999997,0,13.43601908,0.138134667,210.2672902,3.00447558,2.130027792,30.46925545,6,1.420000017,1,2.840000033,30.16606331,30.46925545,29.99626541,400.663208,383.1321411,19.70586014,23.23280144,44.42920303,52.24396133,499.2438965,1199.078003,7.795340061,96.70010376,0.813885987,-0.023429804,0.062972352,0.008046628,0.061007246,0.00724257,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832073161,0.003004476,303.6192554,303.3160633,191.8524762,0.62859662,4.376642101,45.25995248,22.02715104,30.31765938,4.338807169,0.131727574,2.24661431,2.092192859,0.082882356,20.33286878,0.548811409,51.94352647,376.7453011,0.018524829
3,10:52:58,14.99999991,0,13.3533028,0.137877034,210.958309,3.000235423,2.130808284,30.47116661,6,1.420000017,1,2.840000033,30.16663551,30.47116661,29.9966774,400.5603333,383.1307678,19.70775032,23.22969818,44.39252853,52.23408127,499.2477417,1199.096558,7.776821613,96.7000351,0.813885987,-0.023429804,0.062972352,0.008046628,0.061007246,0.00724257,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832079569,0.003000235,303.6211666,303.3166355,191.8554449,0.630556151,4.377120913,45.26493614,22.03523796,30.31890106,4.339115904,0.131493266,2.246312629,2.092803274,0.082733943,20.39967589,0.550616987,51.92697075,376.7832472,0.018403062
4,10:53:00,16.99999987,0,13.30248719,0.137684723,211.3327414,2.996980753,2.131336647,30.47221756,6,1.420000017,1,2.840000033,30.1673069,30.47221756,29.99653625,400.4827881,383.1158752,19.70877838,23.22690964,44.37752151,52.2264061,499.2485962,1199.092896,7.481510639,96.70023346,0.813885987,-0.023429804,0.062972352,0.008046628,0.061007246,0.00724257,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.832080994,0.002996981,303.6222176,303.3173069,191.854859,0.6321164,4.377384231,45.26756632,22.04065668,30.31976223,4.339330037,0.13131834,2.246047584,2.093282453,0.082623145,20.43592543,0.551615725,51.91484151,376.7925099,0.018328297
