OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wed Jan 20 2016 10:45:54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:45:54 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:56 Log Option: Logged values are 15 s averages""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:56 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:56 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:56 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:45:56 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:45:58,32.50000113,0,-1.000268754,0.0833655,404.721353,1.988652389,2.290958825,31.13618088,6,1.420000017,1,2.840000033,30.02148819,31.13618088,29.99815941,400.3935852,400.7997742,19.44306374,23.32524872,44.0609436,52.86453247,300.1814575,0.025039839,3.76500392,96.70069122,0.533452332,-0.024224596,0.015908681,0.004305118,0.011411677,0.005274719,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500302429,0.001988652,304.2861809,303.1714882,0.004006374,-1.140466613,4.546526499,47.01648397,23.69123525,30.57883453,4.404169233,0.080988169,2.255567674,2.148601559,0.050825957,39.13683459,1.009784384,49.26328194,401.275254,-0.001227998
2,10:46:01,35.00000107,0,-0.991337842,0.08381352,404.5285791,1.988552516,2.279100769,31.0906105,6,1.420000017,1,2.840000033,30.02126884,31.0906105,29.99868965,400.4092712,400.7976685,19.44417381,23.32587051,44.07003784,52.87115097,300.203949,0.021093408,4.040576458,96.70111084,0.533452332,-0.024224596,0.015908681,0.004305118,0.011411677,0.005274719,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500339915,0.001988553,304.2406105,303.1712688,0.003374945,-1.134287235,4.534738359,46.89437712,23.5685066,30.55593967,4.398405431,0.081410936,2.25563759,2.142767841,0.051092372,39.11836296,1.009308713,49.40562754,401.268903,-0.00122057
3,10:46:03,37.00000103,0,-1.010561044,0.084157951,404.8803657,1.989023393,2.270679929,31.05865288,6,1.420000017,1,2.840000033,30.02160835,31.05865288,29.99901581,400.3737488,400.8001709,19.44505882,23.32759285,44.07303619,52.87507629,300.2097473,0.026558988,4.129004002,96.7012558,0.533452332,-0.024224596,0.015908681,0.004305118,0.011411677,0.005274719,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500349579,0.001989023,304.2086529,303.1716084,0.004249438,-1.130142289,4.526487452,46.80898314,23.48139029,30.54013062,4.394429323,0.081735865,2.255807523,2.1386218,0.05129714,39.15243982,1.010180123,49.5088185,401.2805432,-0.001246801
