OPEN 6.3.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tue Jan 19 2016 16:36:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-3659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#2.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,CsMchSD,HsMchSD,CrMchSD,HrMchSD,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""16:36:15 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:36:16 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:36:16 CO2 Mixer: CO2S -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:36:16 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""16:36:16 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,16:36:18,10.50000012,0,-0.998037071,0.006069976,648.3354307,0.109673595,1.679243088,30.47229767,6,1.420000017,1,2.840000033,30.11256027,30.47229767,29.99782562,398.0520935,399.9592896,27.81142616,28.02449799,62.44181442,62.92211914,300.180603,-0.035021503,0.060336221,96.27866364,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500301005,0.000109674,303.6222977,303.2625603,-0.00560344,-0.103518486,4.377404303,45.46598528,17.44148729,30.29242897,4.332537976,0.00605703,2.698161215,1.634376761,0.003786805,62.42086885,1.621003556,60.25994059,400.4337086,-0.001501913
2,16:36:20,12.50000008,0,-1.023192774,0.006110116,653.1398823,0.110405861,1.679374402,30.47256851,6,1.420000017,1,2.840000033,30.11100006,30.47256851,29.99660683,398.0064697,399.9633789,27.80932236,28.02381897,62.44333267,62.9257164,300.1777954,-0.03207738,0.125031143,96.2787323,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500296326,0.000110406,303.6225685,303.2610001,-0.005132381,-0.104126011,4.377472166,45.46665771,17.44283874,30.29178429,4.33237789,0.006096999,2.698097765,1.634280125,0.003811801,62.88347988,1.632999211,60.25800977,400.4497557,-0.001539658
3,16:36:22,14.50000003,0,-1.040584702,0.006106788,657.7904858,0.110358397,1.679566507,30.47285271,6,1.420000017,1,2.840000033,30.11027718,30.47285271,29.99612999,397.9802856,399.9720154,27.80814743,28.0225544,62.44360352,62.92580795,300.1745911,-0.042286642,0.139090359,96.27876282,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500290985,0.000110358,303.6228527,303.2602772,-0.006765863,-0.104257504,4.377543376,45.46738292,17.44482852,30.29156494,4.332323424,0.006093685,2.697976868,1.634346556,0.003809728,63.33125417,1.644591273,60.25407484,400.4666595,-0.00156566
4,16:36:24,16.49999999,0,-1.034424081,0.006069052,657.853045,0.109677538,1.679561997,30.47233391,6,1.420000017,1,2.840000033,30.11008263,30.47233391,29.99558067,397.9873657,399.9673157,27.80818558,28.02126884,62.4444046,62.92430878,300.1762695,-0.033008669,0.118360482,96.27870178,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500293783,0.000109678,303.6223339,303.2600826,-0.005281387,-0.103857767,4.377413383,45.46606157,17.44479273,30.29120827,4.332234859,0.00605611,2.697851387,1.634383472,0.003786229,63.33723714,1.644767008,60.25252806,400.4590313,-0.001556381
5,16:36:26,18.49999994,0,-1.021235672,0.006043932,655.5197374,0.109210961,1.679354898,30.47139168,6,1.420000017,1,2.840000033,30.11000252,30.47139168,29.9948082,398.0085754,399.9625244,27.80880356,28.02097893,62.44578934,62.92385101,300.1783752,-0.019080501,0.105922282,96.27866364,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500297292,0.000109211,303.6213917,303.2600025,-0.00305288,-0.103483179,4.377177303,45.46362753,17.44264861,30.2906971,4.332107934,0.006031097,2.697822405,1.634285529,0.003770586,63.11256431,1.638952895,60.25499103,400.4479709,-0.001536643
6,16:36:29,20.99999989,0,-1.016225108,0.006034664,654.6220975,0.109032398,1.679180428,30.47081184,6,1.420000017,1,2.840000033,30.10965729,30.47081184,29.99406052,398.0219421,399.9660339,27.80943871,28.02126884,62.44803619,62.92516327,300.1759033,-0.025385989,0.121935219,96.27870941,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500293172,0.000109032,303.6208118,303.2596573,-0.004061758,-0.103373684,4.377032028,45.46209702,17.44082818,30.29023457,4.331993089,0.006021868,2.6978516,1.634141488,0.003764815,63.0261707,1.636694224,60.25769736,400.4490987,-0.001529168
7,16:36:31,22.99999984,0,-1.016896858,0.006030166,655.0031004,0.108949176,1.679148023,30.4706974,6,1.420000017,1,2.840000033,30.10931587,30.4706974,29.99361992,398.0273438,399.9728394,27.80963516,28.02130318,62.4495697,62.92627716,300.1765137,-0.040127691,0.1233024,96.27872467,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500294189,0.000108949,303.6206974,303.2593159,-0.00642043,-0.103389627,4.377003356,45.46179201,17.44048884,30.29000664,4.331936496,0.006017389,2.697855333,1.634081162,0.003762014,63.06286316,1.637618948,60.25814676,400.4562234,-0.001530163
8,16:36:33,24.9999998,0,-1.019249395,0.006024204,655.8942754,0.10884344,1.679175253,30.47065926,6,1.420000017,1,2.840000033,30.10866165,30.47065926,29.99287224,398.0340881,399.9843445,27.80946541,28.02092552,62.45145416,62.92752075,300.1801453,-0.049313545,0.125155851,96.27870941,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500300242,0.000108843,303.6206593,303.2586617,-0.007890167,-0.103437132,4.376993799,45.46169995,17.44077443,30.28966045,4.331850542,0.006011453,2.697818546,1.634031996,0.003758301,63.14865435,1.639799868,60.25734193,400.4688468,-0.001533634
9,16:36:35,26.99999975,0,-1.018162709,0.006003001,656.5602443,0.108460874,1.679171618,30.47056961,6,1.420000017,1,2.840000033,30.10829544,30.47056961,29.9924202,398.0457153,399.9940796,27.810009,28.02072334,62.45350266,62.92832565,300.1838074,-0.060351074,0.117646679,96.2787323,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500306346,0.000108461,303.6205696,303.2582954,-0.009656172,-0.103304153,4.376971339,45.46145586,17.44073252,30.28943253,4.331793951,0.005990339,2.697799722,1.633994229,0.003745098,63.212788,1.641424905,60.25693716,400.4780654,-0.001531953
10,16:36:37,28.99999971,0,-1.015592747,0.00597397,657.1925348,0.107936663,1.679159779,30.47067261,6,1.420000017,1,2.840000033,30.10811043,30.47067261,29.99209595,398.0628052,400.0063782,27.81141281,28.021101,62.45676422,62.92950058,300.1947632,-0.057144836,0.111892603,96.27877808,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500324605,0.000107937,303.6206726,303.2581104,-0.009143173,-0.103076585,4.376997144,45.46170227,17.44060127,30.28939152,4.331783769,0.00596143,2.697837364,1.633946405,0.003727018,63.27369422,1.642955139,60.25703337,400.4891423,-0.001528047
11,16:36:39,30.99999966,0,-1.01810981,0.005966815,658.1984186,0.107814989,1.679271583,30.47139359,6,1.420000017,1,2.840000033,30.10771751,30.47139359,29.99185753,398.0772095,400.0258179,27.81237602,28.02181816,62.45994949,62.93176651,300.2084045,-0.047105622,0.109847307,96.27877045,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500347341,0.000107815,303.6213936,303.2577175,-0.007536899,-0.103149224,4.377177781,45.46358206,17.4417639,30.28955555,4.331824496,0.005954305,2.697906198,1.633918298,0.003722562,63.37053445,1.645389845,60.25587389,400.5097785,-0.001531725
12,16:36:41,32.99999962,0,-1.021566245,0.005972493,658.869632,0.107933533,1.679519863,30.47254562,6,1.420000017,1,2.840000033,30.10713387,30.47254562,29.99189758,398.0858459,400.0411987,27.81257439,28.02223969,62.46248245,62.93442917,300.2184753,-0.045649864,0.118828282,96.27876282,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500364126,0.000107934,303.6225456,303.2571339,-0.007303978,-0.103441383,4.377466431,45.46658373,17.44434405,30.28983974,4.331895058,0.005959959,2.697946568,1.63394849,0.003726099,63.43515303,1.647004444,60.25262752,400.5268024,-0.001536777
13,16:36:43,35.49999956,0,-1.023926311,0.005968589,659.677713,0.107889818,1.679930826,30.47414017,6,1.420000017,1,2.840000033,30.10668945,30.47414017,29.99220848,398.0921326,400.0521545,27.81256485,28.02213669,62.46445465,62.93618011,300.2307434,-0.035166889,0.105964899,96.27870941,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500384572,0.00010789,303.6241402,303.2566895,-0.005626702,-0.103677781,4.377865981,45.47075889,17.4486222,30.29041481,4.332037843,0.005956072,2.697935155,1.634102687,0.003723668,63.51291883,1.648979278,60.24639162,400.5388801,-0.001540122
14,16:36:45,37.49999952,0,-1.026302235,0.005965335,660.4605707,0.107841778,1.680093948,30.47484207,6,1.420000017,1,2.840000033,30.10664368,30.47484207,29.99259949,398.0950928,400.059845,27.81281662,28.02228928,62.46556473,62.93689346,300.2391052,-0.013954392,0.087102465,96.27864075,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500398509,0.000107842,303.6248421,303.2566437,-0.002232703,-0.103717221,4.37804187,45.47261818,17.45032891,30.29074287,4.3321193,0.005952831,2.697947922,1.634171378,0.003721641,63.58824601,1.650904431,60.24404182,400.5476999,-0.001543601
15,16:36:47,39.49999947,0,-1.026200298,0.00595421,660.9422823,0.10763677,1.680026369,30.47475243,6,1.420000017,1,2.840000033,30.10647202,30.47475243,29.99297523,398.096344,400.0610352,27.81369019,28.0227623,62.46767426,62.93839264,300.2423096,0.005728971,0.081485376,96.27862549,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500403849,0.000107637,303.6247524,303.256472,0.000916635,-0.10359075,4.378019406,45.47239206,17.44962977,30.29061222,4.332086859,0.005941752,2.697993036,1.634093823,0.003714712,63.63461446,1.652103615,60.24527643,400.5488416,-0.001543475
16,16:36:49,41.49999943,0,-1.025800263,0.005932247,661.8405187,0.107246052,1.680111728,30.47519112,6,1.420000017,1,2.840000033,30.10610199,30.47519112,29.99319267,398.0960388,400.0602417,27.81469345,28.02300644,62.47099304,62.94024658,300.2425232,0.026497744,0.08197102,96.27866364,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500404205,0.000107246,303.6251911,303.256102,0.004239639,-0.103468643,4.378129339,45.47351587,17.45050943,30.29064655,4.332095384,0.005919881,2.698017611,1.634077773,0.003701035,63.72112068,1.654352144,60.24391983,400.547858,-0.001542843
17,16:36:51,43.49999939,0,-1.0219988,0.005922793,661.2528889,0.10707926,1.680169286,30.47540665,6,1.420000017,1,2.840000033,30.10552597,30.47540665,29.99304199,398.0949097,400.0516663,27.81499672,28.02298737,62.47392273,62.94216919,300.2401733,0.049437013,0.068447381,96.2786026,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500400289,0.000107079,303.6254066,303.255526,0.007909922,-0.103451644,4.37818335,45.47410569,17.45111832,30.29046631,4.332050629,0.005910467,2.698014064,1.634036565,0.003695147,63.66450411,1.652918722,60.24290446,400.5374755,-0.001537139
18,16:36:53,45.49999934,0,-1.011896037,0.005920256,658.6624225,0.107017235,1.679915631,30.47439957,6,1.420000017,1,2.840000033,30.10501099,30.47439957,29.99276733,398.1013794,400.0380554,27.81513786,28.02301407,62.47608185,62.94392395,300.2314453,0.056170113,0.063488483,96.27855682,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500385742,0.000107017,303.6243996,303.255011,0.008987218,-0.103341525,4.377930983,45.47150609,17.44849202,30.28970528,4.331861671,0.00590794,2.698015352,1.633846319,0.003693567,63.41506747,1.646499411,60.24663278,400.5190623,-0.001522108
19,16:36:55,47.4999993,0,-1.004986964,0.005906473,657.4382152,0.106751003,1.679640424,30.47341537,6,1.420000017,1,2.840000033,30.10469627,30.47341537,29.99271965,398.1070862,400.0302429,27.81594849,28.02331543,62.47864151,62.94564819,300.2199402,0.054122638,0.051109672,96.27854156,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500366567,0.000106751,303.6234154,303.2546963,0.008659622,-0.10312159,4.377684364,45.46895178,17.44563635,30.28905582,4.331700423,0.005894214,2.698043939,1.633656484,0.003684983,63.29719253,1.64347128,60.25076004,400.5079656,-0.001511861
20,16:36:57,49.49999925,0,-1.008222974,0.00588983,659.0656575,0.10643699,1.679420295,30.47278595,6,1.420000017,1,2.840000033,30.10451889,30.47278595,29.99271202,398.0993958,400.0293579,27.81723976,28.02400589,62.48175812,62.94768143,300.2064209,0.052445468,0.054715917,96.27839661,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500344035,0.000106437,303.6227859,303.2545189,0.008391275,-0.102906822,4.377526649,45.46738212,17.44337623,30.28865242,4.331600267,0.00587764,2.698106354,1.633493913,0.003674618,63.45378476,1.647543223,60.25432327,400.5086188,-0.001516816
21,16:37:00,51.9999992,0,-1.011236868,0.005874552,660.57959,0.106158544,1.67937121,30.47284317,6,1.420000017,1,2.840000033,30.10424042,30.47284317,29.99268913,398.0938721,400.0301819,27.81846428,28.02470016,62.4853363,62.95000839,300.1906738,0.04425643,0.070388876,96.27827454,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.50031779,0.000106159,303.6228432,303.2542404,0.007081029,-0.102828584,4.377540986,45.46758869,17.44288852,30.28854179,4.331572801,0.005862425,2.698169776,1.633403025,0.003665103,63.59946312,1.651324375,60.25538315,400.5108755,-0.001521369
22,16:37:02,53.99999915,0,-1.009758031,0.00586059,660.8258739,0.10592185,1.679606901,30.47390556,6,1.420000017,1,2.840000033,30.10399818,30.47390556,29.9927597,398.0970154,400.0305786,27.81925011,28.02502823,62.48799133,62.95170593,300.187561,0.049707741,0.080895446,96.27823639,0.39799583,0.028645441,0.025479082,0.002402434,0.014017073,0.001356691,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.500312602,0.000105922,303.6239056,303.2539982,0.007953238,-0.102878256,4.377807194,45.47037169,17.44534346,30.28895187,4.331674614,0.005848521,2.698200293,1.633474322,0.003656408,63.6231497,1.6519384,60.25196316,400.5105692,-0.001519059
