OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 10:33:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""10:33:03 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:04 Log AvgTime changed to 15 s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:04 Lamp: Off""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:04 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:04 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""10:33:04 Flow: Fixed -> 300 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,10:33:06,31.00000165,0,-0.55524164,0.005496384,552.5892007,0.068577882,1.167929155,29.40390015,6,1.420000017,1,2.840000033,29.93870163,29.40390015,30.01329041,399.1607361,400.2164612,30.2798233,30.41282463,69.12454987,69.43470001,299.9619751,-0.030095303,0.065090671,96.95920563,-4.173048973,0.195487291,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499936625,6.85779E-05,302.5539001,303.0887016,-0.004815248,0.039688431,4.116732472,42.45839728,12.04557265,29.67130089,4.180670319,0.005485767,2.948803317,1.231867002,0.003429557,53.57860993,1.380725818,70.61380097,400.4803965,-0.000979017
2,10:33:08,33.00000161,0,-0.530209521,0.005467564,546.1725378,0.068198617,1.16758337,29.40173531,6,1.420000017,1,2.840000033,29.93865204,29.40173531,30.01233482,399.2122803,400.2182312,30.27885437,30.41111946,69.13460541,69.44062042,299.9640503,-0.013840509,0.053207435,96.95910645,-4.173048973,0.195487291,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499940084,6.81986E-05,302.5517353,303.088652,-0.002214481,0.040213354,4.116218339,42.45313813,12.04201867,29.67019367,4.1804038,0.005457058,2.948634969,1.231768831,0.003411604,52.95640123,1.364686801,70.61864048,400.4702674,-0.000934968
3,10:33:10,35.00000156,0,-0.474998204,0.005482303,529.7924009,0.068366662,1.16732501,29.40082741,6,1.420000017,1,2.840000033,29.93893433,29.40082741,30.01188278,399.3341064,400.2294617,30.27886772,30.41145515,69.13809204,69.44361115,299.9720154,0.00534775,0.075984992,96.95944214,-4.173048973,0.195487291,1,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499953359,6.83667E-05,302.5508274,303.0889343,0.00085564,0.040329761,4.116002736,42.45076751,12.03931236,29.66988087,4.180328507,0.00547174,2.948677726,1.23165078,0.003420785,51.36837564,1.323721644,70.62378639,400.4552531,-0.000837701
4,10:33:12,37.00000152,0,-0.410682954,0.005498818,510.8446644,0.068550696,1.166963899,29.40010071,6,1.420000017,1,2.840000033,29.93937302,29.40010071,30.01157188,399.4844971,400.2510376,30.28032303,30.41326332,69.14151764,69.44723511,299.9805908,0.017818937,0.073782831,96.95987701,-4.173048973,0.195487291,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.499967651,6.85507E-05,302.5501007,303.089373,0.00285103,0.040421832,4.115830171,42.44879735,12.03553403,29.66973686,4.180293845,0.005488192,2.948866271,1.231427574,0.003431073,49.53143583,1.276310656,70.63181553,400.4462566,-0.000724374
