OPEN 6.2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sat Jan 23 2016 11:44:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-4101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-02 or -02B LED Source,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A/D AvgTime=,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Log AvgTime=,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/BALI#1.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs
in,in,in,in,out,out,out,out,out,out,in,out,in,out,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,in,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out,out
Remark=,"""11:44:48 Launched AutoProg /User/Configs/AutoProgs/AutoLog2""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:44:50 Lamp: ParIn ->  1200 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:44:50 CO2 Mixer: CO2R -> 400 uml""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:44:50 Coolers: Tblock -> 30.00 C""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:44:50 Flow: Fixed -> 500 umol/s""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,11:44:52,9.500016328,0,10.48392414,0.088957098,186.0484922,1.345842897,1.451483226,31.34892082,6,1.420000017,1,2.840000033,30.19487381,31.34892082,30.01028061,399.9954834,386.7910156,30.94909286,32.51148987,69.6096344,73.12612915,500.0345764,1200.329224,0.295657247,96.90200806,-4.787094116,-0.034646064,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833390961,0.001345843,304.4989208,303.3448738,192.0526715,1.394415339,4.601911879,47.49036652,14.97887665,30.77189732,4.45303525,0.086255329,3.150428653,1.302606597,0.054145977,18.02847249,0.481005206,68.14275322,381.8074602,0.018711092
2,11:44:54,11.50001628,0,10.46696478,0.088842812,186.1365421,1.345332579,1.452739261,31.35327911,6,1.420000017,1,2.840000033,30.19535828,31.35327911,30.01007843,400.0010376,386.8156433,30.9482193,32.5102005,69.60690308,73.12159729,499.9786987,1200.314209,0.322365463,96.9023056,-4.787094116,-0.034646064,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833297831,0.001345333,304.5032791,303.3453583,192.0502691,1.394088601,4.603052645,47.50199302,14.99179252,30.7743187,4.45365111,0.086147875,3.150313384,1.303337726,0.054078229,18.03706008,0.481202209,68.12167215,381.8401495,0.018673446
3,11:44:56,13.50001624,0,10.4619011,0.088763906,186.0799837,1.345331789,1.453984167,31.35790634,6,1.420000017,1,2.840000033,30.19595718,31.35790634,30.01039886,400.0188293,386.8386841,30.94772148,32.50979614,69.60438538,73.11896515,499.9487,1200.30188,0.344135702,96.90248108,-4.787094116,-0.034646064,0.333333343,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833247833,0.001345332,304.5079063,303.3459572,192.0482965,1.393480224,4.604264073,47.51440852,15.00461238,30.77693176,4.454315809,0.086073682,3.150279906,1.304035904,0.054031451,18.0316121,0.481027341,68.10169019,381.8655973,0.018657694
4,11:44:58,15.50001619,0,10.46197134,0.088700757,185.9513134,1.345051157,1.454679634,31.36034584,6,1.420000017,1,2.840000033,30.19614029,31.36034584,30.01029587,400.0278625,386.8475342,30.9474411,32.50921631,69.60307312,73.11688995,499.9405518,1200.299316,0.342641622,96.90246582,-4.787094116,-0.034646064,0.666666687,-0.219565243,2.737391472,1,0,0.159999996,111115,0.833234253,0.001345051,304.5103458,303.3461403,192.0478863,1.393293252,4.604902856,47.52100803,15.01179172,30.77824306,4.454649404,0.086014302,3.150223222,1.304426182,0.053994013,18.0191408,0.480683724,68.09007158,381.8744141,0.018654205
